0 0 92 197 0 200 13 205 90 228 30 217 15 216 33 225 27 212 95 229 121 240 99 233 126 260 134 261 142 285 137 273 11 244 45 281 150 300 154 297 30 272 56 310 
1 32 209 328 213 325 219 340 241 366 234 351 229 347 243 357 227 342 241 370 253 375 246 379 275 405 274 400 298 427 285 423 257 385 293 436 312 435 309 440 286 414 322 454 
2 64 342 477 337 460 354 495 382 511 364 507 359 498 373 523 354 478 382 537 390 522 392 554 421 550 412 566 440 588 435 586 399 538 449 607 447 603 455 614 426 567 466 626 
3 96 490 641 473 601 508 656 523 665 520 672 510 651 535 698 491 623 549 707 535 674 567 718 563 716 578 741 600 746 599 757 552 693 619 782 616 773 627 799 581 742 638 805 
4 128 722 851 666 800 742 875 727 864 770 895 702 825 786 915 694 828 796 931 751 884 834 959 779 892 842 963 819 946 822 939 747 876 846 975 839 972 866 995 807 928 890 1028 
5 160 864 976 813 931 887 999 877 996 907 1029 837 947 929 1044 843 959 943 1050 896 1011 972 1091 904 1016 979 1099 958 1094 954 1069 888 1003 987 1116 986 1110 1008 1140 941 1075 1040 1176 
6 192 991 1135 944 1072 1011 1155 1012 1144 1047 1199 962 1088 1057 1211 975 1111 1062 1231 1025 1160 1104 1257 1028 1173 1111 1265 1114 1250 1081 1243 1019 1152 1128 1289 1122 1262 1152 1321 1089 1229 1188 1353 
7 224 1147 1296 1084 1216 1167 1332 1159 1304 1213 1360 1101 1236 1224 1378 1125 1265 1244 1396 1172 1325 1269 1433 1185 1340 1277 1439 1264 1404 1255 1416 1164 1311 1304 1464 1274 1421 1333 1487 1241 1383 1365 1523 
8 256 1380 1525 1269 1406 1420 1557 1365 1486 1434 1573 1305 1439 1460 1593 1339 1458 1480 1602 1389 1519 1502 1625 1405 1538 1520 1645 1465 1582 1488 1613 1382 1510 1540 1661 1475 1606 1552 1683 1438 1562 1584 1709 
9 288 1537 1646 1420 1544 1570 1682 1499 1609 1588 1717 1452 1570 1607 1725 1473 1592 1614 1740 1531 1650 1637 1774 1551 1675 1657 1792 1595 1722 1626 1763 1523 1642 1674 1819 1618 1770 1697 1849 1575 1698 1722 1864 
10 320 1662 1815 1557 1683 1694 1842 1622 1782 1730 1895 1583 1721 1737 1907 1605 1749 1752 1911 1662 1814 1786 1946 1687 1830 1804 1962 1735 1900 1775 1938 1655 1802 1831 2005 1785 1928 1861 2028 1710 1859 1876 2052 
11 352 1828 1992 1695 1826 1854 2010 1797 1943 1909 2070 1734 1878 1919 2085 1761 1903 1924 2101 1827 1968 1958 2132 1842 1998 1974 2135 1913 2045 1950 2111 1815 1965 2017 2165 1940 2088 2040 2209 1871 2018 2064 2235 
12 384 2063 2200 1895 2037 2091 2252 2004 2129 2136 2268 1935 2074 2147 2276 1984 2101 2167 2292 2044 2166 2199 2336 2048 2177 2211 2340 2108 2225 2191 2320 2024 2142 2231 2353 2136 2253 2284 2412 2073 2205 2287 2421 
13 416 2217 2333 2052 2169 2265 2384 2141 2261 2280 2399 2091 2212 2288 2417 2115 2229 2306 2427 2180 2292 2349 2493 2189 2311 2352 2514 2237 2368 2332 2465 2154 2278 2365 2517 2268 2401 2424 2572 2219 2340 2434 2602 
14 448 2348 2482 2182 2305 2396 2535 2275 2421 2411 2555 2226 2363 2431 2598 2242 2387 2439 2622 2307 2452 2505 2662 2325 2474 2526 2682 2380 2534 2477 2635 2293 2432 2530 2698 2414 2562 2584 2751 2352 2490 2614 2774 
15 480 2498 2647 2318 2462 2547 2703 2433 2578 2567 2713 2375 2510 2613 2764 2400 2532 2634 2780 2465 2598 2674 2827 2486 2658 2694 2841 2546 2674 2648 2812 2444 2592 2710 2867 2575 2710 2763 2905 2503 2650 2787 2932 
16 512 2729 2862 2533 2679 2786 2923 2634 2755 2796 2934 2577 2699 2837 2966 2593 2735 2846 2986 2651 2775 2889 3019 2714 2851 2897 3039 2746 2871 2869 2991 2659 2787 2933 3056 2770 2899 2965 3095 2706 2827 2999 3120 
17 544 2876 2997 2693 2811 2937 3057 2774 2890 2947 3061 2711 2826 2982 3108 2749 2870 2998 3131 2788 2902 3033 3167 2863 2981 3051 3194 2884 3027 3006 3140 2799 2918 3068 3204 2912 3046 3111 3243 2840 2972 3132 3284 
18 576 3010 3152 2823 2951 3072 3227 2904 3039 3075 3239 2838 2973 3124 3278 2883 3018 3147 3299 2915 3062 3179 3342 2994 3152 3208 3371 3040 3179 3155 3322 2930 3082 3216 3379 3059 3219 3255 3431 2984 3115 3296 3455 
19 608 3164 3328 2963 3093 3242 3392 3051 3191 3252 3399 2987 3120 3295 3447 3032 3151 3312 3458 3074 3223 3354 3510 3165 3294 3383 3525 3192 3333 3335 3494 3094 3236 3391 3535 3234 3353 3445 3580 3127 3279 3468 3624 
20 640 3406 3561 3150 3276 3467 3593 3249 3384 3470 3621 3194 3324 3511 3641 3214 3356 3530 3665 3291 3412 3568 3694 3352 3480 3592 3734 3399 3539 3543 3669 3299 3420 3588 3718 3419 3548 3648 3766 3335 3452 3683 3822 
21 672 3576 3702 3288 3415 3605 3728 3396 3527 3633 3752 3336 3467 3656 3780 3369 3481 3680 3795 3424 3547 3712 3842 3492 3615 3746 3887 3552 3674 3681 3802 3432 3551 3732 3859 3564 3699 3779 3928 3464 3585 3834 3980 
