0 0 129 237 133 274 133 245 46 233 137 265 129 262 141 273 13 242 0 253 50 250 25 259 158 282 29 305 172 319 184 313 85 306 36 325 76 299 32 333 188 330 190 341 197 338 199 349 
1 32 249 382 286 405 257 385 246 359 279 407 275 395 286 426 254 376 269 397 264 382 278 418 294 420 322 457 332 463 327 466 321 454 337 475 311 445 345 489 343 478 353 511 350 486 361 515 
2 64 394 537 417 569 400 554 371 502 419 580 414 553 439 615 390 530 410 566 397 545 432 602 432 591 472 626 475 639 480 650 466 619 487 667 458 603 501 674 491 656 525 694 498 673 528 717 
3 96 550 716 581 745 567 737 515 680 592 767 565 732 629 793 543 693 578 759 557 713 614 783 605 762 639 826 651 804 663 829 631 798 679 859 615 791 686 862 668 835 706 902 685 857 732 921 
4 128 820 953 816 945 867 1021 764 893 847 997 836 962 895 1025 776 922 891 1029 784 925 899 1035 848 966 920 1049 888 1006 943 1061 868 990 965 1085 860 982 968 1109 892 1018 972 1117 916 1050 992 1129 
5 160 966 1091 957 1078 1033 1153 905 1022 1009 1132 974 1093 1040 1164 934 1052 1044 1177 938 1063 1047 1197 981 1113 1062 1215 1023 1145 1073 1220 1002 1138 1098 1242 998 1121 1121 1266 1030 1167 1133 1281 1062 1189 1141 1306 
6 192 1103 1258 1094 1238 1165 1336 1035 1178 1144 1318 1105 1257 1176 1356 1070 1214 1189 1368 1077 1226 1209 1382 1128 1273 1229 1408 1157 1326 1233 1425 1152 1304 1254 1432 1133 1285 1280 1478 1180 1342 1293 1490 1201 1374 1319 1506 
7 224 1271 1453 1251 1415 1348 1525 1191 1353 1330 1522 1269 1434 1369 1529 1227 1377 1380 1576 1239 1402 1395 1583 1286 1459 1421 1592 1338 1493 1437 1612 1316 1462 1444 1627 1297 1465 1492 1660 1356 1520 1502 1672 1387 1538 1519 1707 
8 256 1578 1715 1498 1636 1638 1763 1428 1576 1611 1751 1526 1652 1642 1767 1452 1592 1654 1791 1478 1620 1666 1795 1534 1660 1686 1811 1587 1714 1706 1835 1542 1668 1710 1847 1566 1684 1730 1855 1591 1720 1742 1871 1599 1736 1786 1947 
9 288 1727 1850 1648 1769 1775 1903 1588 1699 1765 1883 1665 1792 1782 1923 1607 1737 1803 1945 1632 1749 1812 1963 1673 1798 1825 1969 1727 1858 1851 1990 1680 1808 1859 2010 1696 1827 1868 2036 1732 1869 1885 2060 1748 1893 1960 2137 
