0 0 19 226 9 219 1 234 0 227 24 242 19 235 108 214 107 211 111 250 110 243 115 258 114 251 4 282 4 271 162 310 161 311 16 291 14 287 28 302 26 299 168 314 167 319 37 330 49 323 
1 32 239 363 231 359 249 372 240 378 257 389 250 384 227 351 223 339 266 393 255 392 270 405 263 400 298 426 283 425 325 469 324 467 303 444 300 436 317 449 312 453 326 489 331 488 342 494 336 493 
2 64 375 539 373 525 384 548 391 543 402 565 399 561 366 514 351 518 406 593 407 589 418 597 412 592 438 613 437 616 481 661 479 664 458 641 448 624 463 653 465 644 501 678 501 686 506 697 506 694 
3 96 551 734 537 712 560 743 555 737 578 753 573 758 526 702 530 708 605 757 601 777 612 773 604 780 627 792 629 783 673 832 676 848 654 818 636 810 665 828 656 841 690 864 698 869 716 898 706 876 
4 128 817 955 830 963 845 979 863 991 861 990 875 1019 793 950 798 955 877 1006 906 1023 893 1014 914 1039 897 1022 918 1043 926 1054 938 1063 902 1019 926 1047 929 1068 962 1087 949 1078 970 1099 961 1094 983 1123 
5 160 969 1097 975 1106 997 1119 1004 1124 1003 1139 1032 1158 962 1076 968 1090 1023 1143 1036 1167 1030 1159 1051 1176 1034 1178 1062 1187 1066 1197 1076 1215 1031 1173 1061 1208 1081 1219 1101 1233 1092 1241 1111 1269 1106 1272 1136 1297 
6 192 1109 1280 1118 1281 1131 1293 1139 1308 1155 1309 1170 1328 1090 1230 1102 1255 1160 1329 1179 1345 1174 1341 1188 1369 1190 1362 1199 1375 1209 1396 1227 1399 1185 1378 1220 1395 1231 1404 1245 1423 1253 1432 1282 1465 1284 1460 1309 1493 
7 224 1292 1463 1293 1468 1306 1481 1321 1496 1321 1497 1340 1508 1242 1421 1268 1428 1342 1500 1357 1518 1354 1536 1382 1557 1374 1551 1387 1580 1408 1575 1412 1584 1390 1576 1408 1587 1416 1580 1442 1611 1445 1607 1478 1645 1475 1637 1505 1683 
8 256 1564 1709 1577 1722 1604 1737 1601 1742 1612 1745 1629 1758 1537 1689 1549 1682 1640 1765 1649 1774 1652 1773 1660 1790 1656 1781 1665 1794 1664 1789 1677 1810 1688 1817 1701 1822 1716 1849 1713 1842 1668 1797 1737 1866 1720 1861 1757 1890 
9 288 1721 1860 1735 1856 1749 1881 1755 1877 1758 1884 1770 1898 1702 1832 1694 1821 1778 1905 1788 1908 1788 1929 1805 1931 1793 1935 1807 1944 1801 1949 1823 1953 1829 1975 1836 1991 1864 2014 1854 2000 1809 1971 1878 2045 1873 2032 1905 2069 
10 320 1872 2027 1870 2034 1893 2061 1892 2060 1896 2073 1911 2095 1844 1993 1833 1974 1917 2089 1920 2107 1944 2115 1947 2130 1947 2130 1956 2147 1961 2137 1965 2161 1989 2171 2003 2198 2029 2211 2012 2202 1984 2163 2059 2242 2044 2231 2083 2258 
11 352 2039 2222 2048 2211 2074 2252 2075 2240 2085 2255 2110 2282 2006 2179 1986 2163 2102 2269 2120 2295 2127 2301 2142 2305 2144 2317 2159 2339 2150 2320 2173 2348 2187 2357 2210 2374 2223 2397 2218 2392 2175 2344 2256 2423 2243 2406 2270 2426 
12 384 2343 2499 2338 2478 2358 2513 2361 2502 2386 2519 2377 2514 2302 2451 2290 2430 2390 2539 2385 2538 2394 2528 2405 2546 2426 2543 2413 2551 2446 2567 2453 2574 2458 2579 2461 2590 2470 2604 2485 2607 2466 2615 2491 2619 2478 2627 2513 2650 
13 416 2511 2631 2490 2622 2526 2647 2515 2630 2540 2663 2527 2663 2463 2584 2447 2558 2551 2688 2552 2672 2541 2674 2559 2694 2558 2709 2568 2702 2580 2714 2587 2723 2591 2730 2603 2757 2616 2761 2621 2765 2628 2775 2631 2779 2642 2805 2665 2826 
14 448 2643 2817 2638 2803 2661 2830 2642 2825 2675 2850 2675 2855 2598 2760 2580 2722 2700 2875 2687 2862 2686 2859 2707 2882 2721 2899 2714 2898 2726 2915 2738 2935 2743 2927 2770 2954 2773 2963 2778 2958 2787 2975 2791 2978 2818 2991 2840 3075 
15 480 2831 3007 2815 2991 2843 3010 2837 3001 2862 3053 2867 3044 2777 2940 2735 2922 2888 3057 2874 3047 2874 3069 2894 3067 2913 3073 2910 3074 2928 3090 2948 3128 2939 3128 2969 3137 2976 3134 2970 3149 2987 3156 2990 3157 3003 3180 3093 3238 
16 512 3094 3223 3092 3226 3120 3263 3105 3242 3146 3288 3134 3291 3023 3157 3041 3178 3170 3296 3118 3275 3194 3312 3189 3311 3198 3332 3193 3319 3219 3337 3217 3355 3238 3365 3197 3327 3242 3376 3253 3375 3246 3388 3257 3403 3271 3404 3306 3427 
17 544 3235 3344 3239 3362 3278 3408 3254 3376 3303 3421 3303 3442 3171 3293 3190 3334 3310 3454 3289 3404 3328 3467 3326 3448 3345 3487 3331 3458 3352 3509 3367 3508 3378 3525 3341 3482 3391 3543 3387 3549 3401 3554 3415 3581 3422 3582 3439 3603 
18 576 3359 3500 3379 3536 3420 3599 3396 3560 3434 3607 3455 3626 3320 3440 3351 3495 3466 3646 3419 3598 3479 3654 3461 3647 3501 3670 3470 3655 3521 3694 3520 3717 3538 3734 3494 3672 3555 3750 3562 3744 3566 3758 3594 3779 3594 3754 3616 3819 
19 608 3512 3685 3548 3718 3611 3774 3573 3755 3621 3803 3638 3820 3455 3614 3507 3696 3658 3807 3612 3778 3666 3828 3659 3849 3682 3843 3667 3876 3706 3865 3731 3898 3746 3890 3684 3879 3762 3924 3756 3928 3770 3978 3795 3956 3769 3925 3831 4002 
20 640 3765 3922 3842 3984 3853 3986 3854 4007 3885 4014 3899 4051 3709 3842 3810 3947 3899 4042 3895 4043 3917 4054 3923 4059 3937 4067 3955 4083 3941 4078 3982 4123 3965 4106 3958 4091 4005 4150 4014 4144 4049 4194 4026 4167 3993 4110 4066 4207 
21 672 3936 4079 3996 4122 4000 4121 4022 4141 4029 4153 4063 4203 3854 4013 3959 4102 4057 4192 4055 4174 4066 4207 4071 4219 4082 4241 4098 4223 4093 4252 4137 4304 4118 4272 4103 4253 4162 4330 4157 4325 4208 4391 4181 4346 4125 4290 4220 4388 
22 704 4102 4253 4136 4292 4133 4306 4159 4321 4170 4347 4216 4381 4038 4166 4119 4271 4204 4370 4187 4361 4220 4404 4234 4422 4256 4415 4235 4430 4264 4431 4316 4497 4285 4478 4265 4451 4342 4523 4339 4517 4406 4586 4358 4525 4302 4490 4402 4597 
23 736 4266 4463 4305 4481 4318 4498 4333 4508 4363 4527 4396 4588 4178 4348 4284 4450 4383 4563 4373 4544 4417 4577 4434 4609 4427 4606 4442 4613 4445 4640 4510 4677 4491 4665 4466 4635 4535 4692 4529 4716 4598 4760 4537 4699 4503 4668 4610 4760 
24 768 4545 4694 4590 4753 4601 4722 4612 4759 4637 4762 4657 4821 4438 4574 4548 4681 4654 4798 4648 4785 4667 4812 4692 4833 4685 4823 4680 4826 4717 4846 4732 4894 4737 4875 4700 4837 4793 4926 4776 4901 4830 4966 4764 4913 4741 4890 4852 4989 
25 800 4709 4831 4767 4893 4735 4874 4772 4909 4777 4905 4838 4969 4590 4754 4696 4816 4811 4944 4798 4926 4824 4965 4846 4990 4840 4985 4840 5011 4858 5007 4908 5066 4891 5050 4849 5014 4939 5095 4916 5081 4978 5138 4927 5103 4904 5049 5001 5171 
26 832 4854 4998 4911 5047 4889 5034 4921 5092 4917 5098 4981 5136 4774 4902 4841 4970 4958 5122 4938 5120 4977 5139 5002 5194 4997 5189 5024 5202 5019 5221 5080 5270 5063 5241 5027 5223 5109 5317 5093 5282 5150 5341 5115 5290 5061 5237 5183 5358 
27 864 5010 5191 5060 5222 5046 5192 5105 5281 5111 5314 5148 5347 4914 5074 4984 5151 5137 5318 5132 5288 5152 5328 5206 5354 5207 5348 5214 5387 5235 5390 5291 5433 5254 5432 5238 5415 5333 5488 5301 5453 5353 5522 5305 5474 5249 5395 5371 5540 
28 896 5280 5434 5329 5482 5276 5417 5377 5506 5384 5529 5409 5539 5151 5269 5241 5403 5413 5557 5381 5542 5468 5597 5434 5574 5472 5601 5454 5606 5496 5633 5495 5630 5536 5665 5489 5618 5540 5673 5518 5666 5580 5717 5557 5690 5524 5649 5613 5746 
29 928 5447 5591 5494 5625 5429 5568 5519 5634 5542 5680 5552 5673 5281 5435 5416 5561 5569 5705 5556 5701 5614 5758 5587 5719 5616 5773 5619 5757 5645 5801 5643 5802 5681 5845 5633 5766 5689 5849 5680 5833 5729 5957 5703 5883 5663 5827 5761 5924 
30 960 5617 5749 5642 5790 5590 5737 5650 5818 5693 5870 5688 5861 5450 5627 5586 5715 5719 5882 5714 5869 5770 5944 5732 5913 5785 5980 5769 5959 5813 6000 5817 6015 5857 6036 5778 5963 5862 6044 5845 6027 5970 6140 5895 6055 5839 6016 5936 6119 
31 992 5761 5934 5803 5966 5750 5915 5830 6016 5883 6085 5873 6078 5642 5797 5727 5898 5895 6096 5881 6038 5956 6124 5925 6092 5992 6143 5974 6137 6013 6165 6031 6198 6049 6219 5975 6140 6057 6248 6039 6201 6152 6308 6067 6245 6032 6200 6132 6303 
32 1024 6063 6208 6052 6195 5995 6112 6094 6247 6159 6288 6162 6311 5916 6056 5982 6115 6196 6324 6142 6280 6215 6352 6194 6331 6235 6364 6207 6348 6267 6400 6262 6407 6295 6444 6230 6371 6347 6472 6274 6423 6371 6524 6322 6463 6287 6420 6378 6531 
33 1056 6220 6362 6208 6345 6125 6303 6261 6374 6302 6427 6326 6461 6068 6237 6131 6279 6337 6477 6298 6431 6365 6496 6344 6481 6377 6533 6360 6512 6412 6554 6420 6567 6457 6637 6383 6549 6484 6647 6438 6597 6536 6701 6476 6657 6432 6582 6544 6734 
34 1088 6384 6532 6367 6511 6321 6453 6386 6563 6442 6624 6473 6646 6252 6404 6304 6432 6489 6656 6446 6614 6510 6702 6494 6668 6548 6751 6526 6700 6566 6755 6579 6775 6652 6832 6561 6759 6660 6844 6609 6795 6718 6912 6669 6851 6594 6776 6746 6900 
35 1120 6547 6738 6523 6683 6465 6627 6578 6761 6636 6777 6660 6814 6422 6567 6445 6617 6668 6845 6626 6806 6717 6875 6680 6864 6765 6909 6712 6884 6769 6923 6790 6962 6848 6998 6771 6931 6856 7047 6807 6982 6930 7073 6863 7013 6788 6941 6913 7068 
36 1152 6819 6972 6774 6927 6733 6868 6846 6983 6867 7004 6926 7055 6690 6812 6719 6880 6927 7056 6898 7027 6956 7097 6966 7119 6991 7116 7002 7127 7003 7168 7044 7179 7067 7209 7018 7151 7123 7244 7067 7200 7139 7284 7103 7235 7040 7196 7134 7275 
37 1184 6985 7128 6942 7102 6880 7041 6997 7150 7022 7167 7075 7201 6824 6964 6892 7065 7068 7204 7040 7182 7110 7245 7131 7295 7130 7287 7139 7288 7183 7331 7191 7343 7222 7393 7166 7321 7260 7422 7212 7384 7296 7444 7248 7411 7212 7365 7287 7455 
38 1216 7144 7301 7116 7255 7055 7200 7162 7332 7180 7325 7213 7396 6978 7132 7083 7227 7221 7421 7195 7364 7259 7433 7309 7491 7305 7481 7302 7483 7343 7541 7355 7551 7405 7569 7335 7504 7436 7621 7398 7611 7457 7657 7423 7615 7377 7549 7467 7635 
39 1248 7313 7490 7267 7439 7218 7368 7344 7500 7338 7499 7408 7567 7147 7297 7239 7424 7435 7603 7376 7585 7445 7619 7503 7680 7493 7660 7495 7660 7553 7705 7564 7713 7584 7757 7516 7693 7633 7788 7623 7764 7669 7829 7630 7800 7561 7713 7648 7828 
40 1280 7576 7702 7570 7707 7452 7581 7582 7719 7636 7773 7622 7771 7388 7517 7526 7647 7676 7825 7646 7807 7724 7849 7758 7904 7736 7885 7726 7867 7784 7921 7842 7967 7840 7961 7790 7943 7865 8001 7814 7955 7901 8031 7878 7999 7792 7929 7902 8047 
41 1312 7714 7880 7720 7886 7593 7765 7731 7903 7785 7942 7784 7916 7529 7684 7659 7806 7837 7974 7823 7985 7861 8012 7919 8080 7900 8056 7879 8021 7936 8081 7981 8156 7973 8147 7956 8102 8015 8168 7970 8133 8043 8200 8011 8194 7945 8092 8062 8219 
