0 0 14 218 10 219 19 222 15 231 26 242 21 239 138 286 102 215 101 214 105 247 0 202 3 279 7 266 26 287 47 282 157 296 156 302 51 307 57 306 165 316 164 322 58 327 68 338 65 355 106 238 109 251 71 358 74 497 75 510 78 505 
1 32 233 378 232 369 235 383 243 390 255 403 254 395 298 465 230 361 227 362 259 401 216 409 292 439 280 435 299 454 295 446 308 480 315 516 319 523 318 526 328 545 334 562 339 639 351 641 372 645 254 476 265 433 370 661 509 726 523 842 517 834 
2 64 391 578 383 568 396 596 402 593 416 616 409 605 477 687 379 536 377 538 417 621 423 628 451 689 447 636 466 697 458 703 492 705 529 718 537 721 539 728 557 817 574 748 652 917 654 976 659 941 488 844 446 661 673 1072 738 905 864 1088 853 1085 
3 96 591 781 580 805 610 829 606 808 629 901 617 903 699 954 548 751 550 732 633 874 640 905 702 915 649 961 709 856 717 862 718 870 731 908 733 906 740 911 832 1056 761 914 932 1093 988 1193 953 1102 858 1058 673 963 1084 1254 919 1061 1102 1318 1101 1299 
4 128 855 992 980 1151 887 1061 872 1009 983 1124 989 1157 1095 1240 845 997 859 1008 1016 1165 1015 1148 1092 1221 1019 1156 1028 1185 955 1117 1036 1214 1039 1188 1041 1229 1067 1224 1124 1285 1131 1296 1236 1385 1439 1623 1244 1463 1251 1475 1096 1257 1482 1739 1311 1617 1562 1751 1649 1894 
5 160 1004 1132 1164 1312 1075 1201 1023 1142 1139 1301 1169 1354 1253 1396 1010 1149 1020 1169 1177 1358 1161 1309 1233 1393 1174 1347 1200 1366 1129 1258 1226 1377 1200 1387 1241 1432 1239 1409 1300 1438 1308 1527 1398 1588 1635 1892 1476 1707 1487 1729 1270 1467 1752 1938 1630 1834 1764 1961 1907 2300 
6 192 1160 1304 1329 1496 1213 1400 1161 1301 1317 1499 1367 1533 1408 1608 1173 1298 1192 1372 1374 1554 1325 1511 1405 1597 1359 1531 1381 1565 1272 1456 1389 1569 1399 1595 1446 1686 1421 1675 1451 1700 1539 1707 1600 1835 1905 2265 1721 1966 1742 1931 1479 1726 2093 2301 1850 2079 1973 2121 2312 2546 
7 224 1326 1478 1508 1682 1416 1592 1315 1485 1512 1676 1545 1699 1620 1786 1310 1521 1385 1538 1568 1727 1523 1695 1609 1819 1546 1705 1577 1761 1468 1659 1582 1772 1607 1847 1698 1848 1688 1868 1714 1878 1719 1889 1849 2036 2277 2521 1978 2098 1945 2289 1738 1963 2313 2541 2092 2280 2134 2457 2562 2842 
8 256 1630 1763 1771 1922 1682 1823 1661 1810 1783 1907 1809 1968 1906 2050 1669 1826 1638 1815 1917 2038 1834 1970 1930 2118 1846 2030 1933 2170 1855 2021 1962 2094 1914 2057 2033 2174 1976 2105 2037 2234 2068 2226 2102 2250 2598 2767 2241 2458 2534 2715 2057 2279 2630 2783 2537 2702 2606 2791 3001 3239 
9 288 1775 1969 1934 2087 1835 1974 1823 1967 1919 2178 1988 2150 2065 2227 1842 2010 1828 1968 2052 2181 1986 2132 2134 2351 2043 2196 2182 2362 2035 2202 2106 2259 2069 2239 2189 2412 2118 2387 2246 2415 2242 2451 2267 2423 2780 2945 2470 2673 2727 2956 2294 2523 2800 2967 2714 2965 2806 3120 3251 3478 
10 320 1989 2133 2107 2254 1993 2149 1986 2154 2191 2363 2166 2335 2240 2426 2022 2158 1981 2117 2198 2399 2145 2374 2365 2566 2209 2398 2374 2587 2214 2414 2271 2526 2251 2523 2424 2638 2399 2575 2427 2658 2464 2687 2435 2671 2959 3170 2686 2966 2968 3274 2536 2844 2980 3288 2980 3215 3132 3414 3492 3691 
11 352 2146 2334 2272 2463 2161 2344 2167 2340 2375 2544 2350 2514 2439 2646 2171 2343 2130 2326 2411 2563 2386 2563 2579 2764 2410 2580 2600 2774 2427 2600 2540 2743 2535 2700 2651 2802 2587 2758 2676 2928 2704 2923 2683 2947 3185 3384 2979 3155 3287 3524 2857 3053 3302 3553 3230 3472 3426 3622 3706 3928 
12 384 2482 2647 2617 2766 2502 2651 2481 2625 2722 2859 2621 2758 2726 2867 2513 2662 2522 2663 2717 2854 2747 2875 2881 3022 2759 2895 2893 3042 2658 2795 2925 3070 2890 3095 2993 3133 2922 3115 3144 3343 3035 3186 3152 3347 3626 3817 3362 3516 3735 3909 3206 3407 3759 3940 3686 3907 3815 3984 4182 4386 
13 416 2662 2801 2779 2924 2664 2810 2639 2795 2874 3034 2771 2917 2879 3050 2674 2845 2675 2830 2870 3047 2887 3079 3034 3188 2907 3082 3054 3211 2809 2978 3082 3299 3108 3341 3145 3308 3127 3371 3355 3531 3200 3375 3360 3513 3833 4095 3532 3771 3922 4178 3422 3675 3957 4205 3921 4171 3997 4235 4402 4624 
14 448 2827 2983 2941 3130 2822 2991 2807 2986 3046 3226 2935 3094 3063 3262 2863 3046 2844 3084 3066 3255 3096 3318 3202 3371 3097 3338 3227 3403 2990 3182 3315 3512 3357 3523 3323 3508 3388 3603 3543 3755 3387 3627 3528 3772 4107 4368 3784 3972 4190 4440 3687 3895 4217 4460 4185 4378 4247 4496 4637 4879 
15 480 2995 3208 3142 3289 3004 3190 2998 3176 3238 3427 3106 3286 3277 3457 3061 3214 3098 3284 3268 3453 3331 3498 3385 3611 3351 3501 3415 3631 3199 3354 3526 3716 3535 3695 3520 3721 3616 3760 3775 3952 3640 3779 3785 3973 4380 4612 3984 4146 4452 4634 3909 4157 4474 4681 4390 4611 4509 4766 4895 5176 
16 512 3330 3472 3414 3592 3273 3418 3274 3431 3566 3690 3438 3604 3570 3704 3458 3620 3483 3611 3567 3703 3574 3753 3710 3872 3683 3828 3834 3992 3522 3693 3886 4059 3867 4012 3890 4083 3900 4044 4090 4267 3967 4168 4114 4287 4846 4995 4333 4490 4854 5009 4373 4598 4882 5068 4859 5054 5014 5159 5453 5743 
