0 0 356018 356429 169430 169848 123021 123443 67999 68750 292001 292412 74812 75359 14 542 477 903 187766 188232 0 544 1337 1767 6 593 156377 156784 6821 7250 20040 20524 26228 26686 151010 151484 26733 27198 54537 54944 79785 80388 162370 162866 85864 86280 119520 120004 134755 135177 207440 207866 140133 140539 164216 164615 173998 174419 278619 279039 
1 32 356441 356860 169860 170297 123455 123875 68763 69236 292424 292853 75398 75887 557 1009 916 1359 188245 189044 556 980 1780 2206 605 1116 156797 157279 7263 7738 20536 21018 26700 27182 151496 151916 27210 27646 54957 55425 80400 80842 162878 163359 86292 86725 120016 120537 135189 135611 207879 208318 140552 141015 164627 165031 174431 174855 279051 279480 
2 64 356872 357289 170311 170724 123887 124298 69266 69817 292866 293323 75916 76442 1021 1444 1371 1798 189068 189611 992 1408 2219 2638 1129 1585 157291 157702 7750 8209 21030 21449 27194 27652 151930 152464 27658 28149 55437 55854 80854 81268 163372 163822 86737 87167 120549 120973 135623 136060 208331 208784 141027 141457 165043 165695 174867 175281 279493 279920 
3 96 357301 357719 170736 171447 124310 124729 69830 70295 293337 293753 76519 77010 1456 1906 1811 2299 189638 190112 1421 1848 2650 3365 1597 2029 157716 158166 8229 9010 21461 21918 27665 28094 152476 152968 28162 28601 55867 56314 81283 81706 163834 164282 87180 87603 120985 121427 136072 136511 208796 209270 141469 141873 165707 166133 175293 175713 279932 280360 
4 128 357762 358173 171511 171933 124772 125190 70349 70808 293803 294229 77067 77546 1954 2352 2347 2822 190214 190883 1895 2315 3412 3951 2079 2516 158296 158719 9057 9541 21970 22392 28144 28575 153017 153550 28649 29085 56363 56791 81750 82158 164327 164748 87650 88063 121482 121903 136560 137110 209331 209768 141918 142329 166181 166599 175756 176161 280415 280841 
5 160 358185 358607 171946 172381 125202 125709 70820 71314 294241 294659 77626 78186 2364 2829 2836 3351 190927 191528 2327 2772 3964 4422 2530 2992 158731 159202 9553 10004 22404 23208 28587 29029 153562 154149 29097 29552 56803 57377 82170 82594 164761 165224 88075 88642 121915 122358 137122 137558 209780 210231 142342 142929 166612 167032 176173 176589 280855 281288 
6 192 358619 359035 172393 172823 125728 126172 71331 71800 294672 295086 78227 78676 2841 3381 3363 3789 191543 192076 2785 3379 4434 4856 3004 3483 159214 159626 10016 10510 23220 23639 29042 29615 154162 154599 29564 30005 57389 57888 82606 83055 165236 165756 88654 89086 122370 122853 137571 138011 210243 210711 142942 143419 167044 167457 176601 177211 281300 281725 
7 224 359047 359604 172835 173269 126184 126622 71831 72449 295101 295511 78696 79131 3396 3941 3801 4222 192091 192753 3393 3804 4869 5316 3497 3956 159638 160115 10522 10972 23651 24066 29629 30079 154612 155040 30018 30475 57900 58380 83076 83560 165770 166231 89098 89529 122865 123281 138023 138445 210723 211155 143431 143859 167469 167874 177223 177643 281738 282160 
8 256 359647 360064 173317 173716 126676 127104 72507 72957 295559 295972 79177 79644 3993 4464 4269 4690 192941 193391 3852 4259 5360 5812 4005 4459 160267 160678 11024 11493 24111 24530 30125 30582 155108 155584 30617 31085 58431 58898 83616 84103 166275 166722 89579 89988 123324 123739 138488 138929 211202 211727 143907 144334 167917 168322 177686 178096 282209 282646 
9 288 360076 360505 173728 174265 127116 127566 72971 73455 295986 296410 79660 80220 4476 4949 4702 5184 193427 194020 4272 4690 5825 6279 4471 4904 160690 161201 11505 12062 24543 24960 30594 31033 155596 156039 31098 31827 58911 59371 84115 84558 166734 167182 90002 90419 123751 124167 138941 139377 211739 212170 144347 144798 168334 168741 178108 178527 282660 283119 
10 320 360517 360939 174277 174691 127581 128029 73470 73924 296422 296979 80232 80727 4962 5445 5196 5613 194039 194618 4703 5113 6291 6741 4916 5330 161213 161631 12075 12505 24972 25393 31045 31695 156052 156474 31839 32317 59383 59831 84570 85010 167194 167657 90432 90876 124179 124596 139389 140011 212182 212651 144810 145258 168753 169158 178539 178959 283135 283563 
11 352 360951 361374 174703 175106 128049 128563 73946 74445 296991 297395 80739 81181 5458 5874 5625 6164 194634 195319 5126 5558 6759 7276 5343 5784 161643 162059 12517 13003 25406 26043 31710 32166 156488 156992 32329 32754 59843 60323 85022 85450 167669 168110 90888 91559 124608 125020 140023 140448 212665 213098 145270 145832 169170 169580 178971 179387 283576 284036 
12 384 361417 361834 175149 175549 128618 129062 74514 74954 297440 297855 81239 81669 5918 6352 6214 6642 195417 196177 5627 6173 7340 7791 5840 6299 162117 162546 13049 13461 26089 26573 32213 32665 157037 157457 32801 33231 60368 60795 85502 85980 168158 168662 91604 92038 125063 125693 140496 140927 213207 213636 145898 146315 169624 170025 179430 179981 284091 284502 
13 416 361846 362429 175561 175968 129075 129507 74969 75430 297867 298289 81683 82128 6364 6811 6654 7106 196226 196750 6188 6685 7804 8247 6311 6792 162558 162992 13475 13969 26586 27010 32677 33120 157470 157976 33244 33693 60807 61304 85993 86463 168674 169116 92053 92485 125705 126128 140940 141361 213648 214093 146328 146754 170037 170446 179994 180418 284514 284945 
14 448 362442 362869 175980 176383 129519 129953 75447 75889 298301 298710 82158 82652 6823 7310 7119 7541 196770 197342 6697 7152 8260 8702 6804 7222 163004 163422 13981 14658 27025 27441 33132 33549 157989 158501 33705 34122 61317 61827 86475 86932 169128 169580 92497 92922 126140 126569 141375 141792 214105 214542 146768 147205 170458 170860 180430 180846 284957 285524 
15 480 362881 363295 176395 176793 129966 130384 75903 76463 298722 299134 82683 83130 7326 7797 7555 8001 197360 198038 7164 7599 8715 9154 7234 7657 163445 163896 14670 15112 27453 27874 33562 33994 158513 158927 34135 34742 61840 62306 86945 87382 169592 170026 92938 93413 126581 127007 141804 142232 214554 214983 147217 147626 170872 171476 180860 181268 285537 285963 
16 512 363342 363744 176836 177245 130437 130849 76527 77218 299187 299737 83240 83724 7865 8297 8054 8486 198253 198755 7645 8175 9230 9704 7704 8110 163944 164358 15161 15589 27919 28397 34063 34590 158984 159387 34827 35257 62353 62957 87428 87852 170070 170489 93462 93921 127051 127480 142277 142800 215041 215473 147669 148076 171520 171919 181311 181725 286011 286431 
17 544 363756 364177 177257 177663 130861 131444 77236 77684 299749 300165 83737 84307 8309 9012 8499 9105 198773 199681 8188 8640 9716 10211 8122 8548 164372 164823 15601 16089 28409 28973 34603 35048 159399 159962 35269 35790 62969 63384 87864 88321 170501 170931 93933 94448 127493 127944 142812 143240 215485 215923 148089 148536 171931 172331 181737 182150 286443 286888 
18 576 364189 364603 177675 178076 131457 131886 77696 78122 300177 300599 84322 84956 9024 9450 9118 9549 199713 200332 8652 9113 10224 10655 8560 9172 164835 165274 16102 16561 28985 29486 35060 35492 159974 160394 35802 36244 63396 63825 88333 88825 170943 171535 94461 94935 127957 128559 143252 143680 215938 216379 148548 149000 172343 172745 182162 182578 286900 287342 
19 608 364615 365030 178088 178483 131901 132328 78135 78604 300611 301015 85003 85539 9462 9882 9561 10069 200394 201047 9125 9612 10667 11103 9185 9667 165287 165766 16576 17076 29503 29910 35504 35995 160408 160829 36256 36747 63838 64261 88837 89267 171548 172011 94949 95463 128572 128995 143692 144126 216391 216868 149012 149438 172757 173158 182592 183007 287354 287788 
20 640 365074 365488 178528 178945 132382 132836 78659 79120 301061 301464 85587 86003 9928 10382 10166 10615 201112 201893 9672 10131 11151 11873 9712 10119 165853 166308 17124 17661 29980 30400 36104 36527 160879 161294 36806 37470 64309 64766 89321 89789 172059 172529 95519 96003 129041 129458 144169 144584 216924 217343 149490 149909 173201 173595 183053 183457 287835 288348 
21 672 365500 365915 178957 179397 132857 133289 79141 79587 301476 301893 86034 86509 10394 10957 10628 11075 201922 202893 10144 10576 11885 12338 10131 10646 166320 166763 17673 18178 30413 30871 36540 36975 161306 161750 37482 37912 64778 65243 89801 90243 172541 172983 96022 96494 129470 129892 144597 145027 217355 217843 149921 150343 173607 174012 183469 183882 288360 288804 
22 704 365927 366346 179409 180039 133303 133770 79602 80217 301905 302312 86523 86959 10969 11386 11087 11776 202905 203455 10589 11030 12350 12778 10659 11109 166775 167218 18190 18707 30883 31324 36988 37516 161762 162184 37924 38359 65255 65948 90255 90680 172995 173432 96508 97222 129904 130321 145039 145594 217855 218308 150355 150799 174024 174430 183894 184318 288816 289258 
23 736 366358 366785 180051 180507 133784 134342 80229 80652 302327 302769 86974 87386 11398 12051 11788 12206 203473 204245 11043 11497 12791 13219 11122 11839 167238 167686 18722 19182 31340 31962 37529 38111 162197 162761 38371 38847 65960 66397 90692 91119 173445 173878 97237 97691 130333 130747 145606 146013 218321 218779 150811 151391 174442 174846 184330 184749 289270 289695 
24 768 366831 367253 180551 180970 134393 134820 80697 81135 302820 303238 87434 87848 12103 12513 12253 12681 204358 205087 11546 12059 13265 13714 11909 12344 167733 168133 19234 19639 32033 32497 38175 38608 162805 163232 38898 39313 66453 66873 91163 91626 173928 174397 97752 98233 130790 131405 146056 146475 218857 219283 151441 151885 174889 175289 184792 185206 289741 290165 
25 800 367270 367715 180982 181408 134835 135266 81148 81621 303250 303662 87860 88328 12525 13067 12694 13132 205104 205775 12072 12502 13727 14188 12357 12777 168145 168590 19652 20306 32513 32936 38620 39063 163244 163696 39325 39762 66885 67323 91638 92141 174409 174856 98245 98701 131417 131846 146488 146911 219300 219749 151898 152343 175301 175710 185218 185783 290177 290643 
26 832 367727 368163 181420 181857 135279 135704 81633 82061 303675 304081 88340 88814 13079 13510 13144 13559 205802 206227 12514 12931 14201 14702 12791 13250 168602 169009 20319 20735 32948 33419 39075 39550 163708 164131 39774 40325 67335 67770 92154 92605 174869 175318 98713 99145 131858 132272 146923 147339 219761 220221 152355 152785 175722 176126 185795 186211 290657 291225 
27 864 368183 368627 181869 182291 135716 136140 82073 82503 304094 304511 88830 89309 13522 14014 13572 13996 206253 206761 12949 13373 14719 15231 13263 13673 169021 169431 20748 21172 33432 33846 39564 40265 164143 164562 40337 40762 67783 68217 92618 93062 175338 175890 99159 99676 132284 132697 147352 147768 220234 220710 152797 153237 176148 176552 186223 186640 291237 291679 
28 896 368676 369099 182334 182904 136190 136611 82548 83050 304565 304964 89361 89774 14535 14981 14051 14657 206843 207268 13480 13900 15284 15748 13740 14156 169475 169896 21219 21625 33889 34292 40311 40760 164609 165038 40821 41237 68260 68845 93106 93528 175940 176368 99729 100174 132750 133156 147811 148218 220774 221229 153285 153701 176596 177173 186683 187162 291723 292165 
29 928 369111 369551 182916 183323 136623 137187 83063 83515 304976 305439 89786 90232 15007 15653 14669 15093 207281 207708 13912 14384 15760 16312 14168 14745 169908 170356 21637 22052 34305 34798 40772 41204 165052 165633 41249 41681 68858 69406 93540 93972 176380 176816 100186 100755 133168 133600 148230 148660 221241 221682 153713 154338 177186 177598 187174 187593 292177 292634 
30 960 369564 370006 183335 183747 137199 137709 83527 83953 305451 305860 90247 90692 15827 16941 15105 15540 207722 208138 14396 14865 16324 16756 14757 15272 170369 170824 22064 22533 34811 35311 41216 41636 165645 166063 41694 42132 69418 69850 93984 94438 176828 177281 100767 101230 133612 134251 148672 149084 221694 222145 154352 154777 177610 178068 187605 188028 292647 293091 
31 992 370018 370443 183759 184167 137723 138164 83965 84375 305872 306286 90704 91128 17005 17890 15552 15989 208152 208704 14878 15381 16768 17179 15284 15696 170838 171486 22549 23253 35333 35813 41648 42093 166075 166511 42145 42685 69862 70290 94450 94896 177293 177797 101244 101703 134264 134692 149098 149530 222160 222580 154790 155254 178082 178505 188040 188639 293111 293573 
32 1024 370487 371106 184210 184610 138209 138647 84419 84883 306344 306749 91188 91691 17946 18464 16032 16449 208752 209211 15467 15915 17251 17780 15742 16139 171547 171966 23366 23856 35872 36328 42152 42588 166556 166974 42734 43298 70342 70813 94953 95407 177864 178304 101754 102207 134736 135160 149583 150005 222628 223099 155298 155701 178549 178960 188682 189092 293617 294053 
33 1056 371118 371547 184622 185070 138661 139111 84896 85312 306761 307187 91708 92168 18482 18925 16461 16890 209223 209665 15928 16385 17792 18235 16151 16566 171978 172396 23870 24333 36340 36794 42600 43164 166987 167421 43313 43734 70825 71241 95425 95867 178318 178836 102220 102957 135172 135603 150017 150455 223112 223556 155713 156178 178972 179394 189104 189521 294066 294491 
34 1088 371559 371981 185082 185492 139123 139557 85324 85940 307201 307654 92190 92640 18949 19980 16902 17466 209690 210141 16397 16837 18247 18750 16578 16990 172408 172815 24345 24795 36808 37465 43177 43616 167433 167859 43746 44217 71253 71676 95881 96311 178848 179274 102970 103420 135615 136056 150467 150891 223568 224048 156190 156601 179406 179982 189533 189943 294503 294923 
35 1120 371993 372414 185504 185986 139570 140083 85952 86374 307674 308084 92658 93120 20024 20773 17479 17899 210161 210618 16849 17557 18762 19316 17003 17526 172827 173247 24807 25302 37477 37905 43628 44086 167871 168305 44229 44644 71697 72167 96323 97155 179288 179723 103432 103885 136068 136515 150903 151474 224068 224522 156613 157076 179994 180412 189955 190379 294935 295362 
36 1152 372457 372878 186029 186434 140140 140570 86419 86823 308127 308526 93190 93617 20852 21355 17946 18361 210687 211110 17605 18058 19365 19834 17582 18026 173322 173737 25347 26041 37953 38426 44134 44589 168406 168821 44694 45167 72223 72632 97213 97662 179771 180193 103949 104401 136558 137144 151529 151958 224584 225019 157122 157535 180456 180864 190426 190836 295410 295827 
37 1184 372890 373315 186446 186857 140582 141021 86835 87270 308539 308957 93630 94423 21368 21880 18373 18848 211126 211618 18070 18497 19846 20452 18039 18472 173753 174278 26053 26498 38438 38876 44601 45051 168833 169328 45179 45614 72644 73087 97674 98192 180205 180643 104413 104871 137156 137625 151970 152422 225031 225711 157547 157963 180876 181291 190848 191511 295839 296275 
