0 0 1 247 2 249 3 250 0 244 5 259 6 261 7 258 4 248 11 267 12 269 13 263 9 260 15 279 16 281 17 274 
1 32 261 506 263 508 262 510 257 502 271 519 274 521 275 519 261 505 280 528 283 530 276 523 272 513 292 536 293 538 286 534 
2 64 518 777 520 775 522 778 514 767 531 785 533 787 531 794 517 771 541 797 543 795 538 790 525 784 548 805 550 807 546 802 
3 96 789 1037 789 1035 791 1040 780 1028 798 1052 802 1050 807 1051 783 1031 809 1058 808 1056 806 1048 796 1038 817 1068 823 1066 814 1064 
4 128 1082 1325 1082 1327 1091 1333 1072 1322 1097 1341 1098 1344 1103 1358 1081 1326 1109 1358 1106 1356 1095 1346 1088 1338 1113 1365 1114 1370 1111 1362 
5 160 1337 1589 1339 1587 1347 1594 1334 1583 1353 1604 1357 1602 1370 1612 1339 1586 1372 1619 1368 1617 1361 1609 1350 1592 1377 1626 1382 1629 1375 1627 
6 192 1601 1852 1599 1850 1606 1859 1595 1847 1616 1873 1614 1870 1624 1875 1601 1852 1631 1889 1631 1887 1621 1871 1604 1864 1638 1898 1641 1894 1642 1895 
7 224 1864 2117 1862 2115 1872 2120 1859 2108 1885 2137 1882 2135 1890 2138 1865 2111 1901 2150 1899 2148 1883 2135 1876 2118 1910 2155 1906 2153 1908 2154 
8 256 2163 2422 2162 2419 2168 2420 2152 2412 2189 2444 2186 2442 2191 2447 2161 2416 2198 2457 2195 2454 2183 2443 2168 2429 2205 2465 2206 2462 2199 2459 
9 288 2434 2696 2431 2694 2432 2696 2425 2682 2456 2714 2456 2712 2460 2719 2428 2685 2469 2728 2466 2725 2455 2716 2442 2695 2477 2735 2474 2733 2472 2734 
10 320 2708 2973 2706 2970 2708 2982 2694 2960 2727 2987 2724 2985 2731 2994 2698 2965 2740 3004 2738 3002 2728 2998 2707 2976 2747 3017 2745 3014 2747 3011 
11 352 2985 3246 2982 3244 2995 3257 2972 3230 2999 3256 2997 3254 3006 3260 2977 3233 3016 3276 3015 3274 3014 3276 2989 3249 3029 3286 3026 3284 3024 3279 
12 384 3292 3549 3289 3547 3306 3561 3275 3531 3304 3563 3301 3560 3310 3565 3279 3535 3328 3582 3325 3580 3322 3581 3295 3556 3332 3595 3329 3592 3330 3586 
13 416 3561 3822 3559 3820 3573 3832 3543 3803 3575 3833 3572 3831 3578 3841 3549 3812 3594 3852 3593 3850 3593 3850 3568 3830 3607 3863 3604 3860 3600 3854 
14 448 3834 4095 3832 4093 3844 4109 3815 4082 3845 4112 3843 4113 3853 4122 3824 4086 3864 4133 3863 4127 3863 4126 3843 4107 3875 4140 3872 4140 3866 4134 
15 480 4107 4361 4105 4359 4121 4384 4094 4356 4124 4382 4125 4384 4138 4390 4099 4364 4145 4399 4141 4399 4139 4393 4121 4382 4152 4412 4152 4414 4146 4407 
16 512 4407 4655 4403 4657 4432 4678 4401 4649 4430 4675 4431 4677 4436 4691 4409 4653 4446 4693 4443 4690 4448 4703 4429 4676 4458 4706 4459 4706 4456 4707 
17 544 4667 4916 4669 4914 4690 4933 4661 4911 4687 4933 4691 4935 4704 4954 4666 4919 4705 4953 4702 4952 4715 4967 4689 4936 4718 4964 4719 4965 4720 4968 
18 576 4928 5179 4926 5180 4945 5200 4924 5178 4945 5197 4947 5199 4966 5222 4931 5182 4965 5216 4964 5213 4980 5235 4949 5198 4976 5229 4977 5229 4982 5239 
