0 0 0 254 1 251 2 252 3 253 13 278 5 259 6 260 7 261 11 266 11 264 12 272 13 269 19 290 15 275 16 280 17 277 28 286 24 280 25 284 26 291 30 302 
1 32 267 521 263 519 264 521 265 519 293 549 271 527 273 527 273 530 282 541 279 530 285 535 283 537 303 558 287 539 292 543 290 546 301 555 293 548 299 551 303 554 314 569 
2 64 533 797 533 799 534 795 531 794 568 828 540 803 542 808 542 806 554 823 543 815 550 812 553 810 572 839 551 819 558 825 563 822 573 831 560 824 563 829 568 830 581 855 
3 96 809 1064 812 1071 809 1069 807 1067 842 1099 816 1074 824 1077 819 1075 840 1094 827 1079 826 1084 825 1086 851 1111 834 1082 837 1094 834 1096 843 1102 837 1093 842 1103 844 1100 867 1114 
4 128 1115 1370 1125 1367 1118 1373 1114 1365 1155 1411 1132 1383 1125 1378 1126 1382 1147 1399 1144 1400 1133 1389 1134 1394 1167 1423 1141 1395 1146 1401 1142 1402 1159 1415 1152 1408 1149 1413 1150 1407 1175 1431 
5 160 1382 1631 1379 1633 1385 1629 1377 1627 1424 1680 1398 1652 1390 1644 1397 1646 1412 1677 1414 1664 1406 1652 1406 1655 1435 1687 1410 1655 1415 1660 1414 1662 1427 1684 1421 1668 1425 1670 1420 1668 1443 1705 
6 192 1643 1900 1645 1913 1641 1898 1639 1897 1694 1957 1665 1926 1659 1917 1661 1919 1690 1953 1677 1938 1667 1925 1669 1927 1700 1973 1671 1935 1674 1939 1676 1940 1697 1969 1681 1947 1682 1947 1682 1944 1717 1978 
7 224 1912 2166 1925 2189 1910 2162 1909 2164 1971 2224 1940 2192 1932 2181 1934 2183 1966 2219 1952 2204 1938 2190 1941 2192 1985 2237 1948 2203 1951 2201 1955 2203 1982 2227 1959 2218 1959 2211 1956 2207 1992 2240 
8 256 2210 2487 2240 2502 2205 2467 2208 2468 2282 2544 2244 2506 2229 2483 2231 2485 2270 2524 2264 2530 2241 2499 2239 2498 2298 2562 2256 2522 2253 2507 2252 2509 2290 2557 2269 2538 2269 2523 2255 2521 2303 2573 
9 288 2499 2763 2514 2786 2479 2740 2480 2738 2558 2827 2519 2789 2496 2761 2499 2759 2536 2799 2543 2802 2511 2770 2511 2768 2575 2839 2534 2792 2519 2780 2522 2778 2569 2830 2550 2817 2536 2788 2533 2786 2585 2842 
10 320 2775 3044 2799 3067 2752 3014 2750 3015 2844 3110 2804 3079 2773 3045 2771 3046 2811 3068 2814 3091 2783 3053 2781 3050 2851 3126 2805 3087 2795 3061 2793 3062 2843 3114 2829 3104 2802 3069 2798 3070 2854 3134 
11 352 3056 3322 3080 3350 3026 3282 3027 3284 3122 3381 3092 3356 3057 3318 3059 3320 3080 3340 3108 3368 3065 3325 3063 3327 3138 3393 3099 3359 3073 3335 3074 3337 3129 3390 3116 3380 3081 3339 3082 3341 3146 3409 
12 384 3369 3635 3398 3655 3326 3599 3328 3600 3433 3690 3407 3676 3367 3620 3368 3622 3385 3657 3422 3691 3379 3640 3380 3642 3441 3702 3414 3682 3383 3652 3384 3654 3449 3718 3430 3704 3391 3660 3392 3662 3462 3722 
13 416 3647 3913 3667 3925 3611 3871 3612 3869 3703 3961 3692 3952 3632 3889 3634 3891 3669 3924 3703 3970 3653 3909 3655 3911 3714 3977 3695 3959 3664 3920 3666 3922 3730 3991 3716 3975 3673 3928 3674 3930 3735 3994 
14 448 3925 4190 3937 4207 3883 4142 3881 4143 3973 4237 3964 4235 3902 4164 3903 4162 3936 4194 3982 4247 3921 4182 3923 4184 3990 4257 3971 4251 3933 4196 3937 4201 4004 4271 3987 4263 3941 4204 3942 4209 4007 4274 
15 480 4202 4464 4219 4482 4154 4412 4155 4410 4249 4512 4248 4514 4176 4435 4174 4438 4207 4472 4259 4521 4195 4452 4196 4454 4269 4530 4267 4524 4208 4463 4213 4468 4284 4545 4275 4533 4216 4471 4221 4473 4287 4548 
16 512 4509 4763 4526 4784 4458 4706 4453 4705 4565 4819 4578 4829 4483 4728 4485 4729 4518 4767 4574 4821 4503 4746 4507 4748 4581 4827 4582 4837 4514 4765 4519 4766 4593 4839 4590 4849 4527 4773 4525 4774 4597 4851 
17 544 4775 5024 4796 5045 4718 4968 4717 4970 4831 5077 4841 5090 4740 4990 4741 4992 4780 5027 4833 5079 4759 5003 4760 5005 4842 5088 4850 5097 4777 5021 4778 5022 4855 5099 4861 5108 4785 5031 4786 5033 4863 5106 
18 576 5036 5288 5057 5312 4980 5236 4982 5237 5089 5349 5102 5364 5002 5251 5004 5253 5039 5292 5091 5351 5016 5269 5017 5274 5100 5361 5109 5371 5034 5290 5035 5291 5113 5369 5121 5379 5043 5297 5045 5299 5120 5377 
19 608 5300 5547 5324 5577 5248 5495 5249 5493 5362 5613 5376 5624 5263 5513 5266 5515 5305 5550 5363 5611 5282 5533 5286 5535 5374 5626 5384 5634 5302 5548 5303 5550 5381 5631 5391 5640 5309 5553 5311 5555 5389 5639 
20 640 5592 5842 5625 5887 5547 5798 5539 5799 5665 5911 5670 5924 5560 5810 5559 5807 5596 5846 5658 5912 5580 5827 5579 5825 5677 5929 5682 5932 5598 5847 5600 5845 5681 5941 5690 5940 5606 5855 5603 5853 5689 5953 
21 672 5854 6101 5899 6150 5811 6065 5811 6063 5923 6177 5936 6188 5822 6078 5819 6067 5859 6104 5926 6179 5841 6086 5838 6088 5943 6190 5945 6196 5860 6103 5857 6102 5955 6207 5952 6199 5867 6114 5865 6112 5965 6210 
22 704 6113 6363 6162 6418 6077 6333 6075 6334 6189 6448 6202 6463 6091 6345 6080 6342 6116 6367 6191 6455 6098 6357 6101 6359 6202 6456 6209 6468 6115 6365 6115 6370 6219 6473 6212 6479 6126 6377 6124 6378 6223 6484 
23 736 6375 6621 6430 6680 6346 6602 6346 6597 6460 6710 6475 6727 6360 6605 6354 6612 6380 6624 6467 6719 6369 6615 6375 6622 6468 6723 6480 6730 6379 6624 6382 6632 6486 6736 6491 6739 6389 6633 6390 6643 6496 6749 
24 768 6665 6919 6723 7001 6654 6909 6645 6908 6758 7020 6787 7051 6658 6921 6660 6922 6669 6923 6771 7027 6670 6933 6668 6930 6770 7032 6783 7046 6678 6941 6685 6946 6782 7044 6795 7062 6686 6949 6688 6954 6795 7056 
25 800 6931 7190 7013 7275 6922 7188 6920 7186 7033 7297 7063 7327 6936 7196 6935 7194 6936 7193 7039 7306 6950 7202 6943 7205 7046 7304 7059 7316 6953 7212 6958 7215 7057 7315 7074 7339 6961 7218 6966 7221 7068 7324 
26 832 7202 7466 7287 7552 7201 7464 7199 7465 7309 7580 7340 7609 7209 7483 7206 7481 7205 7474 7319 7589 7215 7491 7218 7488 7316 7584 7328 7601 7225 7500 7229 7496 7330 7596 7352 7614 7230 7508 7235 7509 7338 7605 
27 864 7478 7738 7564 7826 7476 7738 7477 7740 7593 7855 7621 7884 7495 7755 7495 7755 7486 7741 7603 7861 7503 7763 7500 7761 7597 7858 7616 7874 7512 7773 7510 7771 7608 7863 7628 7894 7520 7777 7521 7780 7617 7873 
28 896 7782 8039 7875 8146 7788 8041 7792 8043 7914 8177 7932 8195 7803 8062 7801 8060 7786 8044 7912 8171 7815 8080 7812 8081 7902 8162 7924 8188 7823 8088 7825 8090 7922 8181 7940 8203 7828 8096 7828 8097 7926 8189 
29 928 8051 8309 8158 8433 8053 8311 8055 8309 8192 8447 8207 8470 8074 8333 8072 8331 8056 8312 8183 8454 8092 8352 8093 8350 8174 8444 8200 8462 8100 8357 8102 8359 8195 8452 8216 8473 8109 8367 8110 8364 8202 8460 
30 960 8321 8584 8445 8718 8323 8585 8321 8583 8459 8723 8487 8759 8345 8616 8343 8614 8324 8592 8467 8739 8364 8624 8367 8626 8462 8719 8476 8747 8370 8636 8373 8634 8467 8740 8486 8763 8379 8644 8376 8642 8472 8744 
31 992 8596 8857 8730 8993 8597 8853 8595 8855 8736 9005 8771 9035 8628 8887 8628 8889 8604 8860 8754 9021 8639 8894 8638 8896 8731 8995 8760 9024 8649 8902 8646 8904 8752 9011 8776 9036 8656 8915 8654 8913 8757 9014 
32 1024 8901 9151 9040 9297 8898 9157 8900 9159 9055 9312 9088 9349 8938 9188 8936 9185 8905 9155 9072 9321 8942 9200 8948 9201 9043 9296 9076 9337 8954 9212 8952 9209 9063 9316 9084 9341 8962 9220 8960 9217 9067 9321 
33 1056 9163 9415 9309 9571 9169 9423 9171 9425 9325 9577 9361 9618 9201 9457 9197 9459 9168 9418 9333 9599 9215 9464 9214 9466 9308 9569 9352 9602 9225 9472 9222 9474 9328 9580 9353 9614 9232 9483 9229 9480 9335 9593 
34 1088 9427 9683 9583 9841 9435 9687 9437 9689 9590 9854 9631 9899 9469 9730 9471 9733 9430 9688 9611 9875 9477 9742 9479 9740 9583 9842 9615 9879 9484 9746 9487 9748 9594 9858 9626 9895 9495 9754 9492 9756 9605 9871 
35 1120 9695 9947 9853 10106 9699 9947 9701 9949 9866 10122 9913 10171 9743 9997 9745 9999 9700 9950 9891 10142 9755 10004 9752 10006 9855 10108 9892 10156 9758 10014 9760 10016 9872 10123 9907 10157 9766 10021 9768 10023 9883 10140 
36 1152 9991 10241 10150 10412 9990 10240 9992 10243 10170 10427 10222 10479 10050 10299 10048 10298 9995 10245 10189 10438 10062 10317 10064 10319 10158 10411 10201 10454 10066 10329 10068 10332 10174 10431 10209 10458 10074 10337 10076 10339 10186 10443 
37 1184 10253 10503 10424 10675 10252 10499 10255 10501 10442 10695 10491 10744 10311 10562 10310 10564 10258 10506 10450 10709 10331 10581 10331 10583 10423 10677 10466 10722 10341 10591 10344 10594 10446 10698 10473 10725 10349 10599 10351 10601 10455 10707 
38 1216 10515 10767 10687 10949 10511 10763 10513 10765 10708 10968 10757 11019 10574 10833 10576 10834 10518 10771 10721 10982 10594 10849 10595 10851 10689 10956 10734 10994 10604 10861 10606 10864 10712 10972 10739 11002 10611 10874 10614 10875 10719 10984 
39 1248 10779 11030 10961 11217 10775 11022 10777 11024 10981 11234 11031 11291 10845 11096 10846 11098 10784 11033 10995 11248 10864 11114 10865 11116 10969 11231 11006 11261 10873 11127 10877 11129 10985 11237 11014 11274 10886 11133 10887 11135 10996 11247 
40 1280 11074 11331 11263 11532 11065 11321 11067 11322 11287 11546 11335 11598 11144 11401 11146 11402 11078 11335 11295 11558 11160 11421 11162 11423 11278 11533 11307 11570 11172 11433 11174 11436 11294 11559 11319 11587 11180 11441 11182 11443 11298 11567 
41 1312 11343 11595 11544 11803 11333 11585 11334 11587 11558 11823 11610 11864 11413 11672 11414 11674 11348 11610 11571 11831 11435 11691 11435 11693 11545 11805 11582 11844 11445 11701 11448 11704 11571 11832 11600 11861 11453 11709 11455 11711 11579 11844 
42 1344 11607 11876 11815 12077 11597 11854 11599 11856 11838 12103 11877 12143 11684 11949 11686 11950 11622 11880 11843 12104 11704 11965 11705 11967 11817 12078 11856 12127 11714 11977 11716 11980 11845 12119 11873 12139 11721 11989 11724 11991 11857 12124 
