0 0 10 265 8 266 8 262 9 264 2 253 12 274 12 271 1 251 14 273 4 256 27 295 13 276 29 297 16 278 16 279 28 305 18 285 29 298 0 250 17 284 27 293 20 290 25 287 26 292 47 309 50 322 47 315 48 316 
1 32 278 540 279 538 275 534 279 536 267 523 286 549 283 544 263 517 288 551 269 525 308 576 289 547 312 577 294 556 291 556 319 572 298 559 310 573 263 515 299 558 305 564 302 567 299 564 308 566 322 580 336 584 327 580 328 582 
2 64 554 816 550 818 547 809 548 811 535 794 561 830 557 825 529 779 566 832 537 796 588 854 559 827 589 861 568 842 570 837 585 855 572 852 585 858 527 778 576 839 576 844 588 850 577 845 579 847 593 868 596 866 593 861 595 863 
3 96 828 1086 831 1084 821 1076 823 1078 806 1058 845 1104 840 1097 791 1036 846 1106 808 1056 866 1122 841 1099 875 1134 854 1114 849 1104 868 1124 865 1126 870 1132 790 1034 851 1106 856 1116 862 1124 857 1115 859 1117 881 1141 878 1139 873 1131 875 1134 
4 128 1139 1397 1137 1394 1121 1377 1123 1378 1102 1351 1152 1406 1145 1395 1079 1328 1154 1409 1100 1352 1177 1435 1147 1396 1186 1447 1168 1425 1153 1403 1175 1432 1178 1434 1184 1445 1077 1327 1155 1408 1170 1426 1181 1437 1170 1423 1167 1420 1199 1455 1205 1457 1194 1443 1187 1440 
5 160 1410 1662 1407 1664 1389 1634 1390 1636 1363 1607 1418 1673 1407 1653 1340 1584 1421 1671 1364 1609 1447 1694 1410 1655 1459 1714 1438 1695 1415 1667 1444 1691 1446 1703 1458 1712 1339 1582 1422 1670 1438 1699 1450 1705 1436 1684 1433 1683 1467 1722 1470 1720 1455 1700 1453 1702 
6 192 1674 1926 1676 1928 1646 1899 1648 1900 1619 1870 1685 1940 1666 1914 1596 1844 1683 1938 1621 1871 1707 1962 1667 1916 1729 1990 1708 1972 1679 1941 1703 1963 1716 1978 1725 1993 1594 1843 1682 1939 1715 1970 1717 1980 1697 1949 1696 1951 1734 1998 1732 2000 1713 1970 1714 1971 
7 224 1939 2184 1941 2186 1911 2158 1912 2160 1882 2127 1952 2201 1926 2173 1856 2100 1950 2199 1883 2129 1974 2219 1929 2184 2002 2252 1984 2236 1954 2203 1975 2221 1991 2246 2005 2254 1855 2098 1952 2201 1983 2234 1992 2243 1961 2209 1965 2214 2010 2261 2013 2261 1982 2229 1983 2229 
8 256 2227 2494 2230 2495 2202 2461 2203 2462 2170 2428 2246 2515 2223 2496 2143 2397 2244 2523 2172 2429 2272 2533 2232 2497 2303 2572 2282 2548 2252 2513 2273 2546 2299 2564 2310 2573 2141 2396 2245 2514 2283 2543 2294 2561 2264 2525 2270 2530 2311 2580 2314 2585 2280 2553 2281 2542 
9 288 2506 2761 2507 2763 2473 2726 2474 2728 2440 2695 2527 2790 2508 2768 2409 2663 2535 2802 2441 2697 2545 2807 2509 2770 2584 2843 2560 2813 2528 2784 2559 2816 2576 2835 2587 2846 2408 2661 2526 2783 2555 2811 2574 2833 2537 2799 2543 2801 2592 2851 2597 2853 2565 2819 2554 2810 
10 320 2773 3033 2775 3035 2738 2997 2740 2998 2707 2968 2802 3072 2780 3042 2675 2933 2814 3087 2709 2969 2821 3089 2782 3040 2856 3129 2825 3093 2796 3069 2829 3095 2848 3112 2858 3122 2673 2932 2795 3066 2823 3096 2845 3109 2814 3077 2813 3074 2863 3137 2865 3134 2831 3098 2823 3087 
11 352 3045 3302 3047 3304 3009 3262 3010 3264 2980 3235 3084 3351 3054 3307 2945 3199 3099 3353 2981 3237 3101 3358 3052 3305 3142 3401 3105 3369 3082 3342 3107 3367 3125 3387 3135 3398 2944 3197 3078 3340 3108 3368 3121 3385 3090 3349 3086 3347 3149 3407 3146 3405 3110 3363 3099 3356 
12 384 3345 3611 3347 3609 3306 3562 3307 3563 3278 3535 3399 3660 3357 3625 3242 3496 3402 3663 3280 3537 3409 3673 3355 3623 3447 3707 3416 3675 3393 3652 3418 3682 3435 3699 3444 3704 3240 3495 3390 3650 3415 3676 3432 3695 3401 3661 3398 3658 3455 3715 3452 3712 3422 3685 3410 3674 
13 416 3623 3880 3621 3878 3574 3827 3575 3829 3547 3803 3672 3932 3637 3892 3508 3763 3675 3934 3549 3805 3687 3942 3635 3890 3719 3979 3687 3945 3664 3924 3694 3951 3711 3970 3716 3976 3507 3761 3662 3922 3688 3947 3709 3968 3674 3934 3670 3932 3727 3986 3724 3984 3697 3953 3687 3940 
14 448 3892 4152 3890 4151 3839 4096 3841 4098 3815 4075 3944 4209 3904 4162 3775 4034 3946 4211 3817 4077 3954 4222 3902 4160 3991 4262 3957 4226 3937 4207 3963 4228 3982 4250 3989 4259 3773 4033 3935 4205 3959 4229 3981 4243 3947 4214 3945 4212 3998 4270 3996 4267 3966 4235 3952 4220 
15 480 4164 4420 4163 4418 4108 4361 4110 4363 4087 4343 4221 4481 4174 4427 4046 4300 4223 4483 4089 4345 4234 4497 4172 4426 4274 4533 4241 4498 4219 4482 4240 4503 4264 4520 4272 4531 4045 4298 4217 4480 4242 4500 4255 4518 4226 4487 4224 4485 4283 4539 4279 4537 4248 4504 4233 4496 
16 512 4463 4714 4461 4711 4404 4648 4406 4650 4386 4632 4526 4777 4470 4712 4343 4592 4528 4780 4388 4634 4546 4793 4471 4713 4579 4827 4545 4796 4526 4774 4556 4814 4567 4819 4577 4824 4341 4591 4532 4775 4547 4798 4565 4816 4542 4789 4541 4787 4587 4840 4590 4841 4554 4805 4548 4802 
17 544 4726 4969 4723 4967 4660 4903 4662 4905 4644 4890 4789 5036 4724 4967 4604 4847 4792 5038 4646 4892 4808 5056 4725 4969 4839 5086 4808 5061 4786 5034 4826 5074 4834 5081 4836 5089 4603 4845 4788 5032 4811 5063 4829 5079 4801 5047 4799 5045 4852 5096 4853 5098 4817 5070 4815 5060 
