0 0 3 253 0 246 1 247 2 248 7 261 4 250 5 255 6 257 13 267 9 254 10 263 11 264 17 273 
1 32 265 516 259 507 259 507 260 509 275 525 262 510 267 512 269 514 280 529 267 518 275 522 276 524 285 540 
2 64 528 787 519 772 519 769 521 770 537 803 526 776 525 777 527 782 544 799 531 788 534 785 536 790 552 817 
3 96 800 1054 785 1033 781 1029 783 1031 815 1073 789 1036 789 1036 794 1038 812 1057 800 1048 797 1045 803 1047 831 1076 
4 128 1100 1348 1077 1329 1073 1318 1075 1319 1121 1374 1089 1333 1086 1330 1087 1331 1104 1352 1093 1345 1095 1338 1096 1343 1128 1378 
5 160 1360 1604 1342 1589 1332 1575 1332 1577 1387 1637 1346 1592 1343 1586 1345 1588 1365 1628 1357 1602 1350 1593 1355 1595 1390 1641 
6 192 1616 1881 1601 1856 1587 1840 1589 1839 1650 1910 1605 1860 1598 1852 1600 1851 1640 1898 1614 1872 1605 1861 1608 1859 1654 1914 
7 224 1893 2144 1868 2117 1853 2098 1853 2096 1925 2172 1873 2120 1864 2111 1864 2109 1911 2164 1884 2136 1873 2119 1871 2117 1927 2175 
8 256 2191 2444 2164 2419 2141 2398 2142 2397 2219 2479 2168 2423 2157 2410 2154 2409 2215 2475 2180 2445 2166 2422 2166 2421 2227 2492 
9 288 2456 2713 2431 2693 2411 2669 2410 2667 2491 2753 2436 2696 2424 2676 2423 2674 2488 2750 2458 2715 2434 2689 2433 2687 2504 2765 
10 320 2725 2990 2705 2968 2681 2940 2679 2941 2766 3034 2708 2972 2688 2952 2686 2949 2762 3030 2727 2992 2701 2960 2699 2961 2777 3046 
11 352 3002 3261 2980 3245 2954 3207 2954 3209 3047 3306 2985 3248 2965 3220 2962 3217 3042 3303 3004 3260 2972 3225 2974 3228 3058 3317 
12 384 3305 3578 3289 3549 3254 3509 3255 3510 3360 3618 3298 3553 3266 3521 3264 3518 3348 3610 3305 3573 3275 3529 3275 3530 3364 3626 
13 416 3590 3845 3561 3825 3523 3775 3522 3777 3630 3886 3566 3828 3534 3786 3531 3788 3622 3883 3585 3843 3541 3794 3542 3796 3638 3898 
14 448 3857 4116 3837 4103 3787 4051 3789 4050 3899 4165 3840 4109 3799 4063 3801 4062 3895 4161 3856 4121 3806 4071 3809 4074 3910 4177 
15 480 4128 4383 4116 4375 4064 4317 4063 4319 4178 4436 4122 4378 4075 4332 4076 4329 4173 4433 4133 4385 4083 4335 4086 4337 4189 4452 
16 512 4426 4683 4419 4670 4365 4609 4364 4608 4487 4732 4428 4674 4377 4621 4376 4620 4478 4728 4435 4682 4386 4633 4385 4628 4498 4752 
17 544 4695 4938 4683 4930 4622 4867 4622 4865 4745 4997 4686 4933 4635 4878 4633 4876 4740 4994 4694 4941 4645 4885 4640 4883 4764 5014 
18 576 4950 5197 4942 5195 4879 5129 4877 5130 5009 5267 4945 5203 4890 5141 4888 5142 5006 5263 4953 5208 4898 5149 4895 5146 5026 5283 
19 608 5209 5455 5207 5453 5143 5385 5143 5387 5282 5535 5215 5467 5154 5398 5154 5400 5275 5527 5221 5468 5161 5404 5159 5406 5295 5538 
20 640 5498 5743 5500 5745 5431 5675 5433 5676 5584 5840 5512 5759 5443 5687 5445 5688 5575 5827 5516 5763 5452 5699 5454 5700 5587 5835 
21 672 5755 6003 5757 6005 5688 5934 5689 5936 5852 6103 5771 6020 5700 5945 5701 5947 5839 6088 5778 6023 5711 5953 5712 5955 5847 6091 
22 704 6015 6266 6017 6267 5946 6198 5948 6199 6115 6372 6032 6284 5958 6210 5960 6211 6100 6356 6035 6288 5966 6218 5968 6219 6104 6360 
23 736 6278 6526 6279 6528 6211 6454 6213 6456 6384 6633 6299 6545 6222 6467 6224 6469 6368 6618 6300 6548 6230 6473 6231 6475 6373 6621 
24 768 6569 6825 6572 6827 6500 6755 6502 6756 6677 6932 6592 6846 6512 6767 6514 6768 6661 6924 6596 6850 6521 6775 6523 6780 6673 6937 
25 800 6837 7097 6839 7099 6769 7023 6769 7025 6944 7199 6858 7116 6780 7032 6782 7034 6936 7196 6863 7119 6787 7040 6792 7042 6949 7211 
26 832 7109 7371 7111 7372 7035 7297 7037 7298 7212 7477 7128 7389 7045 7305 7047 7310 7208 7473 7131 7393 7052 7317 7054 7318 7223 7489 
27 864 7383 7641 7384 7643 7310 7568 7311 7566 7490 7748 7404 7660 7318 7574 7322 7576 7485 7745 7405 7663 7330 7584 7330 7584 7501 7760 
28 896 7684 7940 7687 7941 7612 7866 7611 7865 7798 8056 7707 7963 7624 7878 7623 7877 7789 8052 7711 7967 7633 7890 7632 7885 7805 8072 
29 928 7952 8213 7953 8223 7879 8135 7879 8133 8071 8335 7975 8232 7891 8144 7889 8142 8064 8326 7980 8236 7902 8152 7897 8150 8084 8339 
30 960 8225 8491 8235 8501 8147 8408 8145 8407 8347 8613 8244 8509 8157 8420 8155 8415 8338 8608 8250 8514 8164 8428 8162 8423 8353 8624 
31 992 8503 8764 8513 8772 8421 8679 8419 8677 8625 8882 8521 8775 8432 8687 8427 8685 8620 8879 8526 8791 8441 8696 8435 8694 8637 8899 
32 1024 8807 9063 8817 9064 8724 8972 8722 8970 8927 9177 8821 9076 8736 8984 8734 8982 8923 9173 8837 9091 8745 8996 8743 8994 8947 9203 
33 1056 9075 9324 9077 9326 8985 9237 8983 9235 9190 9451 9088 9345 8997 9244 8996 9242 9185 9442 9103 9362 9008 9255 9006 9253 9215 9471 
34 1088 9336 9591 9338 9592 9249 9501 9247 9499 9463 9728 9357 9616 9256 9513 9254 9511 9454 9716 9374 9633 9268 9521 9265 9519 9484 9744 
35 1120 9603 9858 9604 9867 9515 9761 9513 9759 9740 9990 9628 9884 9526 9771 9523 9769 9729 9987 9646 9901 9533 9781 9531 9779 9757 10010 
36 1152 9901 10157 9914 10168 9808 10056 9806 10054 10038 10288 9928 10181 9817 10064 9818 10066 10034 10284 9948 10202 9828 10080 9827 10078 10058 10314 
37 1184 10169 10424 10180 10437 10068 10320 10067 10318 10301 10564 10193 10448 10077 10328 10079 10326 10296 10553 10214 10468 10092 10339 10090 10337 10326 10583 
38 1216 10436 10696 10449 10712 10333 10585 10331 10583 10576 10839 10460 10724 10340 10597 10338 10595 10565 10827 10481 10743 10352 10605 10349 10603 10595 10855 
39 1248 10708 10965 10725 10981 10599 10846 10597 10844 10851 11101 10736 10991 10610 10852 10607 10850 10840 11098 10755 11011 10617 10864 10615 10862 10868 11121 
40 1280 11008 11271 11026 11287 10890 11143 10888 11141 11149 11405 11038 11299 10902 11156 10900 11154 11145 11401 11058 11318 10911 11168 10909 11166 11167 11428 
41 1312 11283 11546 11300 11563 11155 11416 11153 11414 11418 11686 11311 11572 11169 11422 11168 11420 11413 11675 11330 11592 11180 11433 11178 11431 11441 11704 
42 1344 11558 11824 11575 11842 11429 11687 11427 11685 11698 11967 11584 11854 11434 11699 11432 11697 11687 11955 11605 11871 11446 11707 11443 11705 11717 11983 
43 1376 11836 12098 11855 12118 11700 11951 11698 11949 11979 12236 11866 12121 11711 11966 11709 11964 11968 12233 11883 12146 11719 11973 11717 11971 11996 12255 
44 1408 12141 12403 12163 12418 11995 12247 11996 12249 12282 12536 12167 12422 12013 12260 12009 12261 12278 12532 12191 12456 12022 12272 12018 12273 12304 12564 
45 1440 12415 12677 12430 12689 12259 12518 12262 12520 12549 12804 12435 12692 12274 12531 12275 12528 12544 12801 12468 12730 12284 12536 12285 12539 12576 12842 
