0 0 1 247 2 249 3 250 0 244 5 259 6 261 7 258 4 248 11 267 12 269 13 263 9 260 15 279 16 281 17 274 
1 32 261 506 263 508 262 510 257 502 271 521 274 523 275 523 261 505 280 528 283 530 276 524 272 513 292 536 293 538 286 534 
2 64 518 777 520 779 522 780 514 767 533 786 535 791 535 792 517 772 541 794 543 799 538 797 525 785 548 806 550 803 546 808 
3 96 790 1046 792 1044 793 1042 779 1028 798 1050 804 1052 804 1050 784 1031 808 1060 811 1061 810 1053 798 1041 819 1069 819 1068 820 1067 
4 128 1094 1337 1091 1335 1092 1338 1073 1323 1098 1349 1103 1358 1096 1346 1082 1327 1110 1366 1111 1367 1108 1363 1089 1340 1114 1378 1115 1375 1116 1372 
5 160 1350 1598 1347 1596 1350 1592 1336 1584 1361 1613 1371 1615 1358 1613 1339 1587 1379 1628 1379 1625 1375 1627 1353 1595 1390 1636 1388 1634 1384 1628 
6 192 1610 1860 1608 1862 1604 1863 1596 1849 1625 1883 1628 1880 1625 1881 1599 1853 1641 1895 1637 1893 1640 1894 1607 1861 1648 1904 1647 1905 1641 1898 
7 224 1872 2125 1874 2123 1875 2121 1862 2108 1898 2145 1896 2143 1897 2149 1865 2111 1908 2155 1907 2153 1906 2152 1873 2120 1916 2163 1917 2161 1911 2162 
8 256 2177 2431 2172 2428 2165 2429 2153 2414 2191 2445 2192 2447 2197 2453 2162 2427 2203 2459 2201 2461 2201 2457 2166 2422 2211 2472 2208 2469 2209 2470 
9 288 2443 2701 2440 2699 2441 2713 2426 2685 2457 2718 2459 2716 2465 2724 2439 2700 2471 2730 2473 2728 2471 2728 2434 2688 2484 2740 2481 2738 2482 2741 
10 320 2713 2975 2711 2972 2725 2996 2697 2962 2732 2997 2729 2995 2736 3000 2712 2978 2743 3010 2741 3007 2744 3012 2701 2967 2753 3019 2750 3016 2753 3017 
11 352 2987 3250 2984 3248 3008 3269 2974 3231 3011 3267 3009 3265 3015 3272 2991 3250 3022 3280 3019 3278 3024 3284 2979 3234 3031 3288 3028 3286 3029 3285 
12 384 3295 3554 3293 3552 3313 3572 3278 3533 3315 3569 3316 3571 3329 3590 3294 3553 3327 3583 3325 3584 3333 3597 3282 3537 3335 3591 3336 3596 3341 3603 
