0 0 3 283 0 292 10 305 11 306 11 299 13 300 6 281 7 282 15 307 11 304 14 298 15 302 18 319 19 312 18 317 19 314 22 275 22 272 21 273 22 274 27 291 26 280 25 289 26 294 
1 32 296 556 307 565 321 576 319 578 315 574 316 572 293 549 295 551 320 584 317 582 313 570 318 571 331 590 324 589 331 584 326 586 287 547 284 545 285 541 286 543 304 567 293 554 301 560 309 562 
2 64 568 838 579 848 591 859 593 861 591 858 586 856 561 827 563 829 598 866 597 865 583 847 585 849 604 874 601 872 598 867 601 869 559 821 557 824 554 814 556 815 581 850 566 836 573 839 577 841 
3 96 852 1103 860 1119 872 1126 873 1128 870 1128 868 1126 841 1093 844 1095 879 1138 877 1135 860 1118 863 1120 886 1145 884 1143 879 1136 881 1139 833 1087 837 1096 826 1083 827 1085 863 1120 851 1106 856 1108 858 1110 
4 128 1148 1407 1166 1419 1186 1434 1175 1432 1184 1437 1177 1435 1142 1393 1143 1394 1192 1449 1189 1447 1167 1422 1172 1424 1197 1453 1197 1455 1194 1438 1199 1456 1132 1395 1144 1392 1130 1379 1131 1380 1168 1421 1153 1405 1154 1410 1159 1412 
5 160 1419 1670 1431 1686 1446 1694 1444 1696 1450 1702 1449 1699 1405 1653 1406 1655 1461 1709 1459 1707 1435 1689 1436 1688 1466 1717 1467 1715 1451 1708 1468 1721 1408 1659 1404 1657 1391 1640 1392 1642 1433 1689 1417 1668 1423 1677 1427 1675 
6 192 1682 1939 1700 1966 1707 1971 1708 1968 1714 1977 1716 1974 1665 1921 1667 1923 1724 1985 1720 1982 1701 1957 1701 1954 1729 1989 1727 1990 1720 1983 1733 1988 1671 1925 1669 1928 1652 1904 1654 1903 1701 1965 1680 1940 1690 1945 1687 1942 
7 224 1951 2201 1978 2230 1984 2230 1980 2226 1990 2242 1987 2240 1933 2187 1935 2185 1997 2248 1994 2246 1969 2217 1966 2216 2004 2261 2002 2256 1995 2240 2001 2243 1937 2185 1941 2187 1916 2163 1915 2165 1978 2232 1952 2210 1958 2202 1957 2202 
8 256 2247 2520 2279 2540 2283 2541 2277 2537 2293 2552 2294 2557 2231 2492 2233 2491 2301 2564 2302 2565 2275 2528 2264 2529 2309 2572 2307 2573 2296 2554 2292 2550 2229 2494 2234 2496 2207 2467 2208 2468 2281 2538 2254 2518 2247 2510 2252 2509 
9 288 2532 2792 2552 2817 2553 2810 2549 2807 2566 2825 2569 2828 2504 2765 2503 2763 2576 2835 2577 2837 2540 2800 2541 2798 2584 2843 2585 2846 2566 2816 2562 2815 2506 2763 2508 2765 2479 2743 2480 2741 2550 2814 2530 2790 2522 2782 2522 2783 
