0 0 6 308 67 345 68 345 13 311 2 316 71 353 7 318 66 343 11 321 10 321 30 322 70 347 88 344 64 309 64 310 0 319 91 356 6 325 11 334 4 327 18 336 17 337 96 354 9 336 28 376 29 373 18 374 
1 32 320 596 358 628 359 622 324 579 328 583 365 631 331 588 359 612 335 592 336 601 337 599 361 615 358 614 322 581 323 577 331 590 368 622 338 612 346 608 339 597 357 603 349 619 366 623 351 606 388 640 385 639 386 641 
2 64 611 886 640 912 636 896 591 850 595 855 647 925 600 863 626 896 604 878 613 884 614 875 629 901 627 903 593 852 589 849 602 865 635 910 624 896 621 887 609 877 617 894 633 904 637 904 622 885 652 922 653 928 653 920 
3 96 898 1165 924 1187 908 1165 862 1117 867 1119 938 1196 876 1134 908 1156 891 1147 897 1149 891 1149 913 1169 915 1179 864 1117 861 1119 880 1135 923 1191 909 1177 900 1164 889 1150 906 1175 917 1181 916 1170 897 1153 935 1201 941 1208 932 1199 
4 128 1219 1475 1240 1504 1233 1485 1170 1421 1164 1426 1253 1512 1182 1439 1215 1470 1200 1452 1198 1450 1193 1451 1226 1481 1243 1499 1164 1418 1166 1423 1182 1441 1247 1503 1224 1488 1221 1472 1198 1453 1224 1479 1236 1496 1229 1480 1202 1465 1268 1515 1264 1525 1254 1509 
5 160 1487 1742 1517 1772 1497 1753 1433 1682 1438 1682 1526 1780 1452 1701 1483 1735 1464 1729 1462 1713 1464 1712 1493 1742 1511 1766 1430 1680 1435 1680 1456 1714 1518 1774 1501 1755 1484 1733 1466 1724 1493 1753 1508 1764 1492 1743 1477 1727 1527 1782 1537 1792 1522 1770 
6 192 1754 2023 1787 2049 1765 2023 1694 1944 1694 1945 1796 2053 1713 1971 1750 2015 1741 2009 1725 1983 1724 1988 1756 2019 1781 2038 1692 1946 1692 1947 1728 1994 1789 2052 1767 2029 1747 2002 1736 1999 1765 2030 1777 2041 1756 2016 1743 2011 1795 2059 1804 2069 1783 2039 
7 224 2035 2295 2061 2312 2035 2291 1956 2206 1957 2202 2068 2327 1983 2236 2027 2277 2021 2280 1995 2245 2000 2256 2032 2281 2050 2315 1958 2204 1959 2216 2006 2258 2066 2325 2042 2297 2017 2266 2013 2264 2042 2310 2054 2317 2028 2280 2029 2274 2073 2332 2082 2335 2051 2296 
8 256 2341 2608 2360 2621 2341 2606 2249 2510 2245 2503 2380 2645 2285 2553 2330 2593 2327 2596 2288 2549 2309 2569 2342 2615 2367 2636 2247 2504 2260 2526 2306 2564 2375 2646 2350 2605 2317 2584 2327 2581 2355 2620 2372 2638 2334 2597 2338 2602 2395 2652 2385 2650 2361 2618 
9 288 2622 2878 2633 2901 2619 2879 2522 2784 2515 2770 2657 2918 2565 2827 2605 2863 2609 2875 2561 2822 2581 2854 2627 2880 2649 2914 2516 2772 2538 2800 2576 2830 2659 2921 2617 2885 2598 2865 2596 2852 2632 2899 2652 2910 2609 2871 2616 2873 2664 2930 2664 2929 2630 2891 
10 320 2890 3163 2913 3184 2894 3173 2796 3060 2782 3043 2930 3200 2839 3107 2876 3141 2887 3159 2834 3098 2866 3144 2894 3161 2926 3195 2784 3044 2812 3074 2842 3105 2933 3211 2897 3172 2878 3156 2864 3136 2911 3183 2923 3192 2886 3160 2887 3153 2942 3219 2942 3204 2904 3177 
11 352 3177 3447 3196 3462 3185 3445 3072 3331 3055 3311 3212 3478 3119 3371 3154 3418 3171 3437 3110 3371 3158 3413 3173 3430 3207 3470 3056 3313 3086 3343 3117 3373 3223 3480 3185 3449 3171 3430 3148 3411 3197 3460 3207 3468 3174 3441 3165 3421 3231 3488 3217 3489 3192 3457 
12 384 3502 3767 3509 3773 3499 3762 3374 3637 3354 3612 3529 3793 3415 3677 3469 3728 3482 3747 3414 3676 3459 3714 3480 3748 3518 3779 3356 3613 3387 3638 3417 3694 3538 3805 3497 3761 3479 3737 3460 3716 3510 3784 3521 3789 3487 3749 3476 3736 3546 3813 3537 3806 3507 3770 
13 416 3781 4040 3785 4057 3774 4034 3649 3903 3624 3879 3805 4067 3689 3948 3743 4001 3759 4022 3688 3949 3726 3983 3760 4014 3791 4050 3625 3881 3650 3905 3706 3971 3817 4078 3774 4038 3750 4003 3730 3986 3797 4065 3802 4060 3763 4021 3749 4011 3825 4087 3818 4076 3782 4038 
14 448 4053 4320 4070 4340 4046 4313 3915 4172 3891 4152 4081 4356 3960 4228 4015 4282 4034 4303 3961 4227 3995 4257 4026 4294 4062 4341 3893 4153 3917 4174 3983 4248 4091 4358 4050 4319 4015 4279 3998 4270 4077 4350 4073 4348 4033 4302 4023 4298 4099 4367 4089 4364 4051 4317 
