0 0 2 251 3 256 0 243 1 246 6 263 7 268 4 257 5 258 12 279 13 281 9 269 10 270 16 284 17 289 
1 32 264 520 269 523 256 501 259 504 275 533 282 536 270 512 272 515 292 539 293 542 281 529 282 524 298 547 301 550 
2 64 532 793 535 796 513 770 516 767 546 801 549 804 524 778 527 779 554 814 557 816 542 790 536 787 560 822 563 824 
3 96 805 1060 808 1064 782 1026 781 1023 813 1068 817 1071 791 1039 792 1036 827 1077 828 1080 802 1045 799 1042 834 1086 836 1089 
4 128 1107 1354 1112 1358 1073 1315 1069 1313 1115 1364 1121 1370 1085 1327 1082 1325 1128 1381 1132 1382 1094 1339 1091 1337 1135 1388 1136 1390 
5 160 1367 1618 1371 1622 1328 1577 1326 1574 1376 1629 1385 1633 1340 1584 1339 1581 1393 1638 1394 1641 1351 1595 1349 1592 1401 1646 1402 1650 
6 192 1630 1892 1634 1889 1589 1836 1586 1834 1641 1900 1646 1901 1596 1848 1593 1846 1653 1908 1657 1909 1608 1856 1605 1854 1660 1916 1664 1917 
7 224 1905 2153 1903 2150 1850 2094 1847 2091 1912 2163 1913 2160 1861 2104 1858 2101 1920 2167 1921 2173 1868 2112 1866 2109 1928 2177 1929 2179 
8 256 2198 2453 2195 2450 2139 2392 2136 2390 2214 2477 2207 2466 2151 2404 2148 2402 2218 2486 2219 2481 2160 2416 2157 2414 2226 2498 2227 2489 
9 288 2465 2729 2462 2726 2405 2665 2403 2661 2489 2745 2479 2742 2418 2672 2415 2669 2500 2763 2494 2755 2428 2683 2426 2680 2510 2766 2501 2758 
10 320 2741 3007 2738 3005 2677 2936 2674 2934 2758 3024 2759 3021 2684 2948 2681 2942 2775 3037 2767 3033 2695 2956 2693 2954 2778 3048 2770 3046 
11 352 3019 3280 3017 3283 2949 3202 2947 3205 3038 3296 3036 3299 2960 3215 2955 3210 3050 3309 3045 3304 2968 3223 2966 3220 3060 3317 3058 3314 
12 384 3327 3586 3330 3588 3248 3503 3249 3505 3343 3609 3346 3606 3260 3515 3261 3517 3355 3617 3354 3614 3269 3527 3265 3525 3363 3629 3362 3626 
13 416 3598 3860 3600 3857 3516 3775 3520 3778 3622 3880 3618 3877 3529 3782 3529 3785 3630 3888 3627 3885 3539 3793 3537 3790 3641 3899 3638 3896 
14 448 3872 4134 3869 4131 3787 4049 3792 4051 3893 4153 3890 4150 3794 4057 3797 4059 3900 4171 3897 4168 3806 4069 3802 4067 3912 4179 3909 4176 
15 480 4146 4409 4143 4406 4061 4322 4063 4319 4165 4422 4162 4419 4070 4329 4071 4326 4183 4438 4180 4435 4082 4338 4079 4335 4191 4451 4188 4448 
16 512 4453 4702 4450 4700 4366 4609 4363 4607 4469 4717 4466 4713 4378 4621 4375 4619 4485 4729 4482 4726 4387 4633 4384 4627 4497 4741 4494 4742 
17 544 4714 4970 4712 4967 4622 4868 4621 4865 4731 4977 4725 4973 4635 4879 4631 4876 4743 4988 4740 4985 4645 4886 4639 4882 4753 4997 4754 5001 
18 576 4982 5236 4980 5234 4880 5131 4877 5129 4989 5248 4986 5246 4891 5143 4889 5141 5003 5256 4998 5254 4899 5151 4894 5149 5010 5268 5014 5267 
19 608 5250 5498 5247 5495 5145 5389 5142 5386 5263 5513 5258 5510 5156 5399 5153 5396 5269 5519 5266 5516 5163 5407 5161 5404 5280 5529 5279 5526 
20 640 5545 5791 5542 5789 5434 5677 5431 5675 5561 5810 5558 5807 5446 5689 5443 5687 5569 5818 5566 5815 5455 5701 5452 5695 5577 5826 5574 5823 
21 672 5803 6051 5801 6048 5690 5936 5689 5933 5822 6071 5819 6068 5703 5945 5699 5942 5830 6080 5827 6077 5713 5954 5707 5951 5838 6088 5835 6085 
22 704 6063 6319 6060 6317 5948 6199 5945 6197 6083 6336 6080 6333 5957 6207 5954 6205 6093 6348 6090 6345 5967 6215 5964 6217 6100 6356 6097 6353 
23 736 6331 6579 6329 6576 6211 6457 6209 6460 6351 6596 6347 6593 6219 6464 6218 6467 6360 6611 6357 6608 6227 6473 6230 6476 6368 6617 6365 6614 
24 768 6628 6887 6629 6885 6501 6755 6504 6757 6640 6900 6638 6897 6513 6767 6516 6769 6656 6914 6653 6911 6522 6779 6525 6781 6664 6922 6661 6919 
25 800 6899 7156 6898 7153 6768 7026 6770 7029 6912 7172 6909 7169 6780 7033 6783 7036 6927 7185 6924 7182 6791 7044 6793 7047 6934 7194 6931 7191 
26 832 7168 7430 7165 7428 7038 7296 7041 7298 7187 7449 7184 7446 7045 7308 7048 7310 7197 7463 7194 7460 7057 7316 7060 7318 7206 7471 7203 7468 
27 864 7442 7703 7440 7700 7310 7564 7312 7567 7461 7722 7458 7719 7321 7574 7322 7577 7476 7736 7473 7733 7328 7582 7330 7585 7483 7742 7480 7739 
28 896 7750 8007 7747 8005 7609 7863 7612 7866 7773 8027 7770 8024 7621 7875 7624 7878 7782 8040 7779 8036 7630 7883 7633 7886 7793 8051 7790 8048 
29 928 8019 8279 8017 8276 7877 8129 7880 8132 8039 8300 8038 8297 7888 8140 7891 8143 8053 8308 8050 8305 7895 8149 7898 8152 8063 8317 8060 8314 
30 960 8291 8558 8288 8555 8141 8403 8144 8405 8313 8573 8310 8570 8152 8415 8155 8417 8320 8587 8317 8584 8161 8423 8165 8425 8330 8599 8327 8596 
31 992 8570 8829 8567 8826 8416 8675 8418 8672 8585 8848 8582 8845 8427 8681 8429 8685 8601 8859 8598 8856 8435 8691 8437 8693 8611 8866 8608 8863 
32 1024 8873 9125 8870 9123 8719 8967 8720 8969 8897 9147 8894 9144 8731 8979 8732 8981 8906 9159 8903 9156 8740 8987 8741 8993 8913 9167 8910 9164 
33 1056 9137 9393 9135 9390 8981 9229 8982 9232 9161 9411 9158 9408 8991 9240 8995 9243 9172 9425 9169 9422 8999 9248 9005 9251 9179 9432 9176 9429 
34 1088 9405 9667 9402 9665 9241 9496 9244 9498 9424 9682 9421 9679 9253 9508 9256 9510 9437 9696 9434 9693 9261 9516 9264 9518 9444 9704 9441 9701 
35 1120 9679 9932 9677 9929 9509 9757 9512 9760 9694 9948 9691 9945 9520 9767 9523 9770 9709 9963 9706 9960 9528 9777 9530 9780 9716 9969 9713 9966 
36 1152 9979 10230 9976 10228 9804 10051 9807 10054 9995 10247 9992 10244 9813 10063 9816 10066 10011 10263 10008 10260 9824 10075 9827 10078 10016 10271 10013 10268 
37 1184 10242 10497 10240 10494 10064 10315 10067 10318 10261 10515 10256 10512 10077 10324 10079 10327 10276 10529 10273 10526 10087 10333 10090 10336 10283 10536 10280 10533 
38 1216 10509 10770 10506 10768 10327 10583 10330 10585 10528 10786 10525 10783 10336 10591 10339 10593 10541 10800 10538 10796 10346 10603 10349 10605 10548 10811 10545 10808 
39 1248 10782 11036 10780 11039 10595 10846 10598 10849 10801 11053 10795 11052 10604 10853 10606 10856 10813 11066 10810 11060 10615 10864 10617 10867 10823 11071 10820 11069 
40 1280 11083 11341 11085 11343 10890 11143 10893 11146 11103 11361 11101 11364 10902 11155 10905 11158 11112 11369 11109 11372 10911 11167 10914 11170 11119 11382 11117 11376 
41 1312 11353 11621 11355 11617 11156 11414 11159 11417 11373 11636 11377 11632 11168 11422 11171 11425 11381 11641 11384 11645 11179 11431 11182 11434 11394 11653 11390 11650 
42 1344 11633 11906 11629 11908 11427 11686 11430 11689 11648 11914 11644 11916 11434 11694 11437 11697 11654 11922 11657 11928 11444 11702 11447 11705 11665 11934 11664 11932 
43 1376 11918 12179 11921 12183 11698 11956 11701 11959 11926 12187 11929 12190 11706 11963 11709 11966 11935 12196 11941 12199 11714 11972 11717 11975 11946 12207 11944 12203 
44 1408 12227 12486 12230 12488 12001 12256 12003 12258 12235 12498 12242 12504 12013 12268 12015 12270 12248 12513 12250 12508 12017 12276 12024 12282 12251 12525 12254 12520 
45 1440 12499 12758 12500 12761 12270 12523 12271 12526 12510 12774 12521 12777 12281 12534 12283 12537 12527 12785 12522 12781 12288 12542 12294 12545 12537 12793 12532 12790 
46 1472 12770 13044 12773 13042 12535 12798 12538 12801 12788 13052 12794 13054 12547 12807 12550 12813 12798 13064 12793 13063 12555 12819 12558 12817 12805 13076 12802 13070 
47 1504 13056 13316 13055 13313 12811 13070 12814 13073 13065 13326 13066 13329 12820 13077 12825 13080 13080 13333 13075 13336 12832 13086 12830 13089 13089 13344 13082 13343 
48 1536 13365 13613 13360 13611 13115 13363 13117 13366 13374 13625 13376 13628 13127 13376 13129 13378 13383 13640 13384 13641 13131 13384 13138 13386 13390 13652 13392 13657 
49 1568 13626 13877 13623 13874 13375 13625 13380 13628 13637 13894 13640 13891 13388 13638 13391 13641 13653 13910 13654 13913 13396 13651 13398 13654 13664 13923 13670 13926 
50 1600 13889 14146 13886 14144 13637 13899 13640 13902 13907 14162 13903 14165 13650 13907 13653 13910 13924 14176 13925 14178 13663 13920 13666 13922 13935 14193 13938 14198 
51 1632 14158 14409 14156 14412 13911 14166 13914 14162 14177 14427 14177 14430 13919 14176 13923 14178 14189 14440 14192 14443 13932 14182 13934 14184 14205 14455 14210 14458 
52 1664 14458 14711 14460 14713 14211 14456 14207 14454 14474 14731 14476 14734 14223 14470 14225 14475 14487 14745 14488 14746 14232 14482 14234 14483 14500 14757 14504 14762 
53 1696 14723 14976 14725 14979 14468 14720 14466 14717 14746 14999 14748 14996 14483 14731 14488 14734 14758 15014 14758 15018 14494 14744 14495 14746 14769 15021 14774 15024 
54 1728 14988 15248 14991 15246 14732 14988 14729 14984 15011 15268 15008 15265 14743 15005 14747 15007 15026 15289 15031 15293 14756 15013 14758 15015 15033 15297 15036 15299 
55 1760 15260 15512 15258 15509 15000 15246 14996 15250 15280 15532 15278 15529 15017 15265 15020 15268 15301 15555 15306 15558 15025 15276 15027 15278 15309 15563 15311 15566 
56 1792 15556 15816 15552 15814 15290 15550 15301 15559 15579 15837 15576 15834 15311 15566 15313 15571 15604 15859 15610 15868 15323 15578 15325 15583 15609 15863 15614 15872 
57 1824 15828 16085 15826 16082 15562 15825 15572 15834 15849 16107 15846 16104 15579 15838 15585 15840 15871 16131 15880 16133 15590 15846 15595 15850 15876 16138 15885 16141 
58 1856 16097 16360 16094 16357 15837 16100 15847 16103 16119 16384 16116 16381 15851 16114 15853 16115 16143 16406 16146 16409 15858 16122 15862 16127 16150 16418 16153 16421 
59 1888 16372 16632 16369 16629 16115 16369 16116 16372 16396 16653 16393 16650 16126 16384 16128 16387 16419 16676 16422 16679 16134 16388 16139 16391 16430 16684 16433 16687 
60 1920 16677 16938 16673 16936 16414 16668 16415 16673 16698 16952 16695 16955 16430 16684 16431 16685 16725 16981 16730 16992 16439 16692 16440 16697 16729 16985 16739 17000 
61 1952 16950 17209 16948 17206 16680 16938 16686 16941 16964 17222 16967 17225 16696 16953 16698 16956 16994 17254 17004 17262 16704 16959 16709 16962 16997 17257 17012 17265 
62 1984 17221 17482 17218 17479 16950 17216 16953 17218 17234 17499 17237 17496 16970 17231 16973 17235 17266 17532 17274 17538 16971 17238 16974 17243 17269 17536 17277 17546 
63 2016 17494 17750 17491 17747 17228 17484 17230 17487 17511 17766 17508 17763 17243 17497 17247 17500 17544 17801 17550 17805 17250 17504 17255 17508 17549 17811 17558 17815 
