0 0 1 278 2 281 3 273 0 271 5 292 6 293 7 295 4 283 14 305 11 306 12 299 9 287 10 314 15 315 16 316 
1 32 291 542 294 545 285 546 284 534 306 555 305 558 307 559 295 537 317 570 318 567 312 562 301 550 326 573 327 576 328 577 
2 64 554 807 557 810 558 815 546 797 567 820 570 823 571 832 549 801 582 835 579 836 576 828 562 813 585 843 589 844 589 849 
3 96 819 1071 822 1074 829 1079 809 1057 832 1086 835 1089 845 1093 814 1060 847 1101 850 1097 840 1089 825 1076 855 1104 857 1106 862 1110 
4 128 1120 1367 1120 1364 1128 1381 1109 1354 1130 1379 1135 1380 1140 1399 1105 1350 1146 1393 1147 1398 1136 1385 1121 1374 1154 1405 1151 1406 1156 1415 
5 160 1380 1624 1376 1627 1393 1636 1368 1617 1391 1642 1393 1645 1416 1671 1362 1614 1407 1654 1410 1657 1400 1658 1386 1632 1417 1663 1418 1667 1427 1672 
6 192 1636 1887 1639 1890 1648 1912 1629 1884 1655 1908 1658 1911 1684 1937 1626 1880 1666 1922 1670 1923 1670 1925 1645 1900 1675 1931 1680 1937 1686 1945 
7 224 1899 2148 1902 2151 1924 2178 1899 2157 1921 2172 1925 2168 1949 2192 1892 2143 1935 2185 1935 2186 1939 2188 1912 2158 1943 2197 1949 2201 1957 2207 
8 256 2195 2456 2200 2459 2224 2484 2202 2461 2219 2478 2217 2474 2244 2506 2190 2452 2231 2490 2233 2491 2240 2502 2206 2465 2247 2511 2249 2515 2252 2519 
9 288 2468 2732 2471 2742 2496 2764 2473 2725 2491 2745 2486 2755 2520 2775 2464 2722 2502 2760 2504 2762 2517 2772 2479 2737 2524 2780 2527 2783 2531 2793 
10 320 2744 3009 2754 3016 2778 3043 2738 3002 2757 3021 2767 3038 2788 3063 2734 2998 2772 3035 2774 3055 2785 3047 2749 3014 2792 3054 2796 3063 2806 3068 
11 352 3022 3285 3028 3292 3055 3317 3015 3271 3033 3295 3050 3311 3075 3332 3011 3268 3047 3310 3067 3328 3062 3320 3026 3287 3066 3325 3075 3341 3082 3333 
12 384 3330 3591 3336 3594 3364 3623 3315 3571 3342 3605 3359 3618 3380 3647 3320 3575 3354 3613 3375 3634 3376 3639 3334 3596 3370 3629 3387 3646 3388 3652 
