0 0 3 281 0 279 1 282 2 285 7 294 4 291 5 296 6 298 13 307 9 304 10 309 11 310 16 319 13 316 14 321 15 326 20 331 
1 32 293 548 292 545 294 549 297 552 308 561 306 558 310 564 312 561 322 574 318 569 324 577 322 574 334 585 328 582 333 586 338 589 343 594 
2 64 560 826 557 822 561 815 564 817 573 848 570 836 576 829 573 830 586 856 581 845 590 842 586 843 597 864 594 853 598 858 601 863 606 873 
3 96 838 1089 835 1086 827 1081 829 1078 860 1112 848 1101 841 1096 842 1091 868 1127 858 1104 854 1104 855 1107 877 1130 865 1116 871 1118 876 1122 885 1142 
4 128 1137 1390 1130 1382 1127 1373 1124 1375 1161 1417 1146 1395 1143 1396 1136 1387 1173 1426 1154 1407 1151 1412 1152 1401 1181 1439 1162 1415 1163 1416 1168 1421 1189 1444 
5 160 1402 1647 1394 1644 1385 1637 1388 1634 1429 1687 1408 1664 1408 1655 1400 1649 1440 1692 1419 1671 1426 1674 1413 1660 1452 1702 1427 1674 1429 1677 1434 1682 1457 1705 
6 192 1659 1915 1656 1924 1649 1897 1646 1895 1699 1956 1678 1936 1668 1925 1661 1916 1706 1968 1683 1940 1686 1941 1672 1930 1714 1973 1686 1957 1689 1950 1694 1942 1717 1985 
7 224 1927 2178 1937 2190 1909 2157 1907 2154 1969 2223 1948 2203 1938 2185 1929 2182 1980 2226 1956 2211 1953 2202 1944 2196 1986 2230 1969 2214 1962 2205 1954 2197 1997 2250 
8 256 2225 2494 2236 2491 2201 2462 2198 2460 2271 2533 2252 2515 2229 2482 2230 2485 2283 2554 2260 2519 2257 2509 2242 2501 2279 2542 2268 2531 2253 2505 2246 2506 2296 2562 
9 288 2506 2767 2503 2770 2474 2733 2472 2736 2545 2803 2527 2788 2494 2752 2497 2756 2566 2822 2532 2791 2522 2780 2515 2771 2556 2819 2543 2800 2517 2774 2518 2777 2574 2837 
10 320 2779 3046 2782 3050 2745 3011 2748 3020 2815 3084 2801 3066 2764 3028 2768 3033 2834 3102 2805 3070 2792 3063 2788 3057 2836 3097 2812 3082 2787 3051 2789 3061 2850 3118 
11 352 3058 3320 3062 3323 3023 3284 3032 3287 3098 3356 3078 3339 3041 3300 3045 3304 3116 3374 3085 3342 3075 3331 3069 3327 3109 3371 3094 3353 3064 3324 3074 3334 3131 3394 
12 384 3364 3625 3372 3628 3328 3587 3330 3589 3403 3664 3388 3652 3345 3605 3354 3608 3428 3685 3392 3656 3377 3641 3374 3634 3415 3681 3400 3669 3373 3629 3383 3642 3443 3709 
13 416 3637 3901 3640 3917 3599 3854 3601 3857 3676 3942 3665 3923 3617 3876 3620 3873 3697 3965 3668 3926 3653 3909 3646 3905 3696 3957 3682 3941 3642 3903 3654 3912 3721 3985 
14 448 3913 4185 3934 4195 3866 4129 3869 4127 3954 4217 3935 4199 3888 4146 3886 4149 3977 4250 3938 4211 3921 4187 3917 4180 3972 4237 3953 4215 3916 4179 3924 4192 3998 4268 
15 480 4197 4461 4207 4470 4141 4395 4139 4398 4229 4486 4212 4473 4158 4414 4161 4417 4263 4522 4223 4485 4199 4453 4193 4448 4249 4514 4228 4495 4191 4445 4204 4456 4280 4544 
16 512 4506 4760 4519 4763 4438 4684 4441 4686 4530 4783 4523 4767 4469 4714 4472 4717 4574 4819 4535 4788 4500 4747 4497 4742 4566 4815 4543 4796 4496 4739 4506 4750 4590 4843 
17 544 4772 5024 4775 5027 4696 4941 4698 4944 4795 5042 4780 5040 4726 4975 4729 4972 4831 5088 4801 5051 4759 5007 4754 5002 4828 5078 4808 5062 4751 4999 4762 5009 4856 5109 
