0 0 2 291 3 296 0 284 1 286 6 303 7 308 4 297 5 298 12 317 13 321 9 309 10 311 15 332 16 333 13 322 14 327 19 340 20 341 
1 32 304 560 309 563 296 543 299 546 315 573 320 576 310 556 310 565 331 582 336 585 323 577 324 568 344 600 345 596 334 586 339 589 352 601 353 604 
2 64 572 830 575 839 555 811 558 817 585 847 588 852 568 823 578 832 594 862 597 864 589 842 581 836 615 870 609 872 598 854 602 857 614 879 616 876 
3 96 842 1093 851 1096 824 1075 829 1078 863 1121 866 1124 835 1083 844 1086 874 1127 879 1130 856 1100 851 1097 882 1135 886 1138 867 1115 870 1116 892 1143 889 1145 
4 128 1144 1399 1141 1404 1124 1374 1123 1372 1168 1418 1173 1420 1129 1382 1135 1384 1180 1436 1181 1437 1146 1398 1144 1392 1188 1445 1189 1450 1166 1410 1167 1413 1192 1453 1194 1454 
5 160 1411 1662 1416 1665 1386 1633 1386 1630 1430 1684 1433 1681 1395 1646 1396 1643 1448 1699 1451 1701 1412 1655 1404 1651 1457 1708 1462 1712 1422 1666 1425 1669 1465 1716 1467 1719 
6 192 1674 1931 1677 1928 1645 1900 1642 1898 1696 1960 1694 1952 1658 1912 1656 1910 1711 1964 1713 1969 1667 1924 1663 1918 1721 1977 1724 1981 1679 1937 1682 1934 1728 1984 1732 1993 
7 224 1943 2191 1940 2194 1913 2161 1912 2158 1973 2226 1964 2222 1925 2176 1923 2173 1978 2229 1982 2235 1939 2182 1930 2179 1989 2239 1995 2242 1949 2199 1947 2196 1996 2247 2005 2254 
8 256 2240 2507 2239 2509 2208 2463 2205 2461 2274 2532 2271 2528 2224 2481 2221 2479 2282 2544 2283 2541 2228 2489 2225 2486 2290 2560 2295 2557 2245 2501 2242 2499 2298 2568 2299 2565 
9 288 2519 2779 2521 2776 2475 2733 2473 2736 2545 2799 2540 2796 2493 2750 2491 2747 2557 2817 2554 2814 2502 2761 2498 2758 2572 2830 2569 2827 2513 2769 2511 2766 2580 2837 2577 2834 
10 320 2791 3051 2788 3048 2745 3015 2748 3013 2811 3077 2808 3074 2764 3027 2759 3025 2829 3093 2826 3090 2774 3035 2772 3033 2842 3106 2839 3103 2781 3047 2780 3041 2849 3118 2846 3115 
11 352 3063 3322 3060 3319 3029 3285 3027 3281 3089 3354 3086 3351 3042 3298 3037 3296 3105 3367 3102 3364 3048 3305 3045 3302 3120 3377 3117 3374 3059 3314 3053 3312 3130 3384 3127 3381 
12 384 3368 3635 3367 3631 3332 3585 3326 3583 3402 3656 3399 3654 3344 3597 3341 3595 3414 3677 3411 3674 3356 3614 3353 3611 3426 3689 3423 3686 3360 3621 3357 3618 3434 3693 3431 3690 
13 416 3647 3904 3643 3907 3598 3861 3596 3856 3668 3931 3666 3927 3609 3874 3607 3864 3691 3949 3687 3946 3626 3881 3623 3877 3702 3960 3699 3958 3633 3894 3630 3885 3706 3968 3702 3964 
