0 0 7 262 11 265 0 258 13 266 11 275 17 278 13 272 31 320 15 288 21 301 34 324 27 304 19 292 40 334 52 335 61 345 32 318 29 326 28 315 19 279 23 305 25 314 17 285 40 332 52 341 59 346 26 297 23 291 
1 32 276 534 277 531 270 522 278 536 289 554 290 550 284 539 333 588 300 566 313 577 336 591 318 571 307 562 347 609 348 601 357 605 331 584 339 600 327 586 293 542 317 580 327 582 298 545 344 595 353 612 358 615 310 569 303 555 
2 64 546 812 543 801 534 797 549 803 569 839 562 814 556 810 602 862 579 855 589 864 606 873 583 845 575 859 622 896 613 881 617 886 597 884 612 888 598 857 554 816 592 871 594 876 557 819 608 874 624 899 628 904 581 849 568 828 
3 96 824 1080 813 1068 809 1063 817 1072 852 1124 826 1078 823 1069 875 1131 868 1142 877 1127 888 1135 857 1115 875 1145 908 1167 894 1151 898 1158 896 1161 900 1164 870 1128 830 1085 883 1158 891 1158 831 1081 887 1137 911 1171 916 1174 861 1112 840 1098 
4 128 1123 1377 1112 1366 1111 1365 1117 1368 1176 1428 1124 1374 1118 1379 1188 1436 1196 1450 1175 1430 1194 1443 1161 1415 1200 1466 1225 1479 1207 1455 1216 1460 1222 1482 1229 1491 1182 1435 1133 1391 1216 1474 1209 1453 1127 1392 1191 1444 1228 1490 1233 1499 1170 1418 1145 1407 
5 160 1389 1639 1378 1633 1378 1625 1380 1628 1440 1693 1386 1636 1393 1641 1449 1698 1462 1718 1442 1690 1456 1708 1427 1679 1479 1736 1492 1743 1467 1719 1472 1722 1495 1747 1503 1751 1447 1694 1403 1656 1486 1739 1465 1715 1404 1659 1456 1710 1502 1754 1512 1764 1430 1681 1419 1666 
6 192 1651 1898 1645 1895 1637 1890 1640 1888 1705 1955 1648 1907 1654 1908 1711 1966 1730 2001 1702 1951 1721 1977 1692 1946 1748 2019 1756 2004 1731 1986 1735 1991 1762 2028 1763 2018 1707 1961 1669 1926 1755 2015 1727 1992 1672 1927 1723 1978 1767 2036 1776 2029 1693 1941 1678 1938 
7 224 1910 2157 1908 2154 1902 2149 1900 2146 1967 2217 1919 2169 1921 2172 1981 2226 2013 2275 1963 2214 1990 2235 1958 2209 2035 2288 2016 2272 1998 2243 2003 2247 2040 2298 2032 2287 1974 2224 1939 2187 2027 2280 2005 2257 1943 2185 1990 2241 2048 2299 2041 2290 1953 2206 1950 2202 
8 256 2200 2464 2198 2460 2195 2453 2189 2455 2260 2517 2215 2480 2219 2481 2278 2537 2322 2586 2258 2522 2288 2552 2261 2533 2342 2609 2323 2582 2300 2560 2305 2573 2350 2613 2335 2595 2284 2544 2234 2497 2334 2594 2304 2566 2232 2508 2302 2561 2355 2625 2339 2605 2259 2524 2250 2511 
9 288 2476 2731 2472 2728 2465 2720 2467 2723 2529 2787 2492 2753 2493 2762 2550 2811 2598 2863 2534 2790 2564 2826 2545 2800 2624 2879 2597 2859 2572 2829 2585 2839 2626 2882 2609 2867 2557 2814 2509 2765 2607 2872 2578 2844 2520 2779 2574 2836 2637 2902 2617 2875 2536 2797 2523 2782 
