0 0 3 249 0 246 1 251 2 253 7 262 
1 32 261 505 258 501 263 506 265 509 274 524 
2 64 517 766 513 764 518 767 521 772 536 791 
3 96 778 1025 776 1022 779 1027 784 1030 803 1058 
4 128 1071 1315 1066 1313 1071 1316 1073 1319 1101 1353 
5 160 1327 1575 1325 1572 1328 1576 1331 1579 1365 1616 
6 192 1587 1836 1584 1834 1588 1837 1591 1840 1628 1883 
7 224 1848 2095 1846 2092 1849 2096 1852 2099 1895 2146 
8 256 2138 2398 2135 2396 2140 2399 2142 2402 2189 2451 
9 288 2410 2668 2408 2664 2411 2669 2414 2672 2463 2725 
10 320 2680 2940 2676 2938 2681 2941 2684 2944 2737 3003 
11 352 2952 3209 2950 3206 2953 3210 2956 3213 3015 3277 
12 384 3252 3507 3249 3505 3254 3508 3256 3513 3320 3582 
13 416 3519 3777 3517 3774 3520 3778 3525 3781 3594 3855 
14 448 3789 4048 3786 4046 3790 4049 3793 4052 3867 4133 
15 480 4060 4317 4058 4314 4061 4319 4064 4322 4145 4406 
16 512 4360 4605 4357 4603 4362 4606 4367 4609 4449 4700 
17 544 4617 4864 4615 4861 4618 4865 4621 4868 4712 4963 
18 576 4876 5125 4873 5123 4877 5126 4880 5129 4975 5231 
19 608 5137 5384 5135 5381 5138 5385 5141 5388 5243 5494 
20 640 5427 5672 5424 5670 5429 5673 5431 5676 5537 5789 
21 672 5684 5931 5682 5928 5685 5932 5688 5935 5801 6052 
22 704 5943 6192 5940 6190 5944 6193 5947 6196 6064 6320 
23 736 6204 6451 6202 6448 6205 6452 6208 6470 6332 6583 
24 768 6508 6763 6505 6761 6506 6764 6515 6769 6626 6888 
25 800 6775 7033 6773 7030 6776 7034 6781 7037 6900 7161 
26 832 7045 7305 7042 7303 7046 7306 7049 7309 7173 7439 
27 864 7317 7574 7315 7571 7318 7575 7321 7578 7451 7713 
28 896 7617 7872 7614 7870 7619 7873 7621 7876 7756 8018 
29 928 7884 8141 7882 8138 7885 8142 7888 8145 8030 8291 
30 960 8153 8412 8150 8410 8154 8415 8157 8417 8303 8569 
31 992 8424 8682 8422 8679 8427 8683 8429 8686 8581 8842 
32 1024 8725 8974 8722 8972 8727 8975 8729 8978 8885 9143 
33 1056 8986 9237 8984 9234 8987 9238 8990 9241 9155 9411 
34 1088 9249 9502 9246 9500 9250 9503 9253 9506 9423 9684 
35 1120 9514 9765 9512 9762 9515 9766 9518 9769 9696 9952 
36 1152 9808 10057 9805 10055 9810 10058 9812 10061 9995 10252 
37 1184 10069 10320 10067 10317 10070 10321 10073 10324 10264 10520 
38 1216 10332 10585 10329 10583 10333 10586 10336 10589 10532 10793 
39 1248 10597 10848 10595 10845 10598 10849 10601 10852 10805 11061 
40 1280 10891 11147 10888 11145 10893 11148 10895 11151 11104 11367 
41 1312 11159 11416 11157 11413 11160 11417 11163 11420 11379 11641 
42 1344 11428 11687 11425 11685 11429 11688 11432 11691 11653 11921 
43 1376 11699 11957 11697 11953 11700 11958 11703 11961 11933 12198 
44 1408 12000 12255 11996 12251 12002 12257 12004 12259 12241 12506 
45 1440 12267 12523 12263 12520 12269 12524 12271 12527 12518 12782 
46 1472 12536 12797 12532 12791 12536 12796 12539 12798 12795 13059 
47 1504 12809 13070 12803 13057 12808 13061 12810 13064 13071 13337 
48 1536 13113 13369 13100 13359 13104 13351 13107 13354 13384 13631 
49 1568 13381 13636 13371 13624 13363 13610 13366 13613 13643 13891 
50 1600 13648 13907 13636 13892 13622 13874 13625 13876 13903 14156 
51 1632 13920 14174 13904 14155 13886 14134 13888 14137 14168 14426 
52 1664 14218 14474 14198 14452 14177 14425 14180 14427 14469 14721 
53 1696 14486 14742 14464 14714 14437 14685 14439 14688 14733 14983 
54 1728 14754 15014 14726 14984 14697 14949 14700 14951 14995 15248 
55 1760 15026 15281 14996 15247 14961 15209 14963 15212 15260 15516 
