0 0 20 120 10 100 11 102 14 114 15 116 5 110 6 112 9 107 10 104 0 83 1 85 4 87 5 91 
1 32 168 247 148 224 150 226 161 239 164 243 157 235 159 236 154 232 152 229 130 206 132 208 134 210 142 218 
2 64 293 374 270 346 272 348 285 372 289 367 282 366 284 369 278 357 275 351 252 328 254 330 256 332 266 342 
3 96 421 500 391 467 393 469 419 505 414 493 413 494 417 503 402 478 396 475 373 456 375 461 379 463 389 471 
4 128 561 648 528 614 531 619 571 657 555 652 556 641 563 650 543 625 541 629 517 603 525 613 523 606 533 619 
5 160 695 776 665 742 666 746 707 789 701 788 690 766 701 785 672 752 676 752 650 729 662 742 653 732 669 748 
6 192 823 900 789 867 797 878 840 920 837 915 814 891 833 918 798 882 802 885 775 853 791 874 778 855 795 876 
7 224 945 1022 912 988 924 1013 967 1059 963 1042 938 1017 967 1053 927 1018 930 1010 898 977 920 1006 902 978 923 1004 
8 256 1083 1171 1049 1133 1076 1167 1124 1217 1103 1196 1077 1171 1113 1205 1079 1168 1072 1158 1037 1119 1074 1162 1041 1128 1065 1153 
9 288 1220 1297 1183 1265 1217 1299 1268 1354 1247 1327 1223 1305 1254 1334 1221 1310 1205 1291 1166 1242 1210 1294 1177 1264 1200 1283 
10 320 1344 1425 1312 1393 1346 1427 1406 1487 1375 1458 1353 1430 1382 1464 1358 1438 1339 1421 1288 1364 1340 1423 1314 1401 1332 1417 
11 352 1472 1558 1439 1524 1473 1557 1534 1614 1505 1584 1475 1563 1511 1592 1483 1568 1468 1554 1409 1485 1468 1552 1449 1528 1464 1546 
12 384 1623 1718 1586 1675 1620 1709 1678 1772 1645 1729 1624 1713 1653 1738 1629 1722 1617 1707 1547 1635 1614 1702 1590 1676 1609 1694 
13 416 1767 1848 1722 1807 1756 1834 1821 1907 1776 1857 1762 1842 1785 1866 1774 1859 1756 1833 1687 1766 1750 1829 1729 1817 1745 1821 
14 448 1895 1971 1856 1933 1882 1960 1958 2042 1904 1982 1888 1967 1915 1998 1909 1990 1881 1958 1814 1897 1875 1956 1865 1953 1869 1947 
15 480 2020 2099 1983 2064 2007 2091 2087 2171 2027 2110 2012 2088 2045 2128 2035 2120 2005 2083 1942 2024 2002 2087 2001 2081 1996 2072 
16 512 2166 2257 2125 2210 2156 2244 2236 2324 2172 2269 2157 2246 2188 2274 2182 2268 2144 2229 2084 2173 2150 2238 2145 2232 2133 2216 
17 544 2308 2384 2258 2340 2291 2371 2371 2455 2319 2401 2293 2369 2321 2405 2315 2403 2278 2361 2225 2304 2286 2365 2284 2362 2263 2349 
18 576 2430 2512 2386 2468 2419 2503 2504 2581 2451 2534 2415 2492 2453 2536 2451 2527 2408 2496 2352 2431 2412 2498 2409 2506 2396 2474 
19 608 2559 2640 2516 2596 2549 2630 2628 2705 2581 2663 2537 2615 2583 2670 2572 2648 2541 2624 2477 2556 2543 2626 2554 2632 2519 2600 
20 640 2701 2791 2656 2741 2690 2781 2774 2856 2729 2815 2680 2762 2730 2824 2708 2801 2687 2777 2617 2705 2697 2787 2695 2779 2666 2753 
21 672 2841 2920 2788 2871 2829 2912 2903 2979 2865 2943 2810 2887 2876 2959 2849 2926 2824 2906 2753 2834 2836 2920 2830 2910 2800 2880 
22 704 2970 3049 2917 3000 2961 3052 3025 3102 2991 3068 2935 3013 3009 3092 2972 3049 2952 3030 2883 2962 2966 3056 2956 3032 2927 3010 
23 736 3098 3177 3045 3129 3098 3181 3147 3226 3115 3195 3062 3139 3139 3225 3094 3170 3075 3154 3009 3090 3105 3185 3078 3155 3056 3137 
24 768 3238 3325 3193 3283 3252 3341 3296 3381 3262 3344 3199 3287 3285 3377 3230 3321 3215 3297 3152 3234 3245 3328 3217 3300 3197 3287 
25 800 3374 3451 3332 3411 3392 3470 3428 3505 3393 3470 3336 3415 3427 3507 3369 3445 3349 3435 3281 3359 3375 3454 3354 3432 3334 3415 
26 832 3497 3579 3458 3536 3516 3594 3551 3628 3518 3596 3463 3545 3555 3632 3492 3568 3482 3566 3405 3481 3500 3576 3480 3563 3463 3542 
27 864 3624 3707 3583 3662 3639 3718 3673 3751 3641 3728 3590 3668 3679 3758 3613 3691 3611 3688 3527 3604 3621 3697 3608 3686 3588 3667 
