0 0 20 121 19 131 16 124 15 129 15 117 14 115 11 111 10 99 10 108 4 88 6 101 5 114 5 93 9 104 1 84 0 82 
1 32 171 256 181 263 175 252 178 269 165 245 164 241 158 235 146 223 156 233 135 223 149 225 161 237 141 219 152 228 131 215 131 219 
2 64 302 383 309 391 300 377 319 401 293 374 287 366 281 367 274 363 279 358 270 353 277 356 283 369 270 347 278 360 261 339 265 341 
3 96 428 511 438 521 424 506 450 536 421 500 412 490 415 501 408 495 405 482 399 481 401 477 415 507 392 471 406 485 384 463 386 463 
4 128 577 668 582 670 572 664 604 687 561 644 562 653 563 652 557 640 543 629 547 632 540 625 574 659 532 615 559 648 525 611 528 613 
5 160 718 798 719 801 714 793 736 817 692 768 701 781 703 784 689 780 677 759 679 765 673 757 709 791 662 739 695 774 658 745 664 752 
6 192 848 929 848 931 848 933 865 949 814 900 828 906 832 912 826 911 805 891 813 893 807 897 842 920 785 862 821 900 791 872 798 884 
7 224 977 1058 980 1060 982 1059 996 1079 945 1032 953 1033 960 1042 957 1040 938 1019 940 1021 942 1030 966 1049 907 988 947 1027 919 1000 929 1009 
8 256 1128 1232 1123 1209 1126 1215 1144 1234 1100 1184 1095 1187 1103 1191 1103 1198 1081 1163 1084 1171 1091 1177 1109 1202 1050 1135 1092 1181 1061 1153 1069 1154 
9 288 1283 1374 1258 1346 1264 1341 1281 1361 1234 1327 1235 1315 1241 1318 1248 1334 1210 1289 1219 1301 1224 1304 1252 1338 1186 1279 1228 1305 1200 1280 1206 1297 
10 320 1424 1518 1396 1485 1390 1475 1407 1483 1376 1469 1364 1443 1364 1445 1380 1464 1339 1422 1348 1439 1350 1433 1386 1470 1332 1418 1352 1435 1327 1409 1343 1426 
11 352 1566 1656 1536 1626 1524 1610 1531 1612 1520 1611 1491 1580 1494 1580 1509 1585 1471 1564 1487 1576 1479 1568 1518 1606 1465 1545 1481 1559 1454 1534 1472 1566 
12 384 1722 1808 1699 1784 1672 1762 1677 1769 1674 1761 1648 1747 1643 1729 1646 1731 1626 1710 1641 1726 1634 1723 1668 1752 1607 1701 1621 1705 1598 1683 1627 1716 
13 416 1857 1935 1831 1914 1810 1889 1820 1900 1812 1897 1798 1877 1779 1866 1781 1861 1757 1835 1773 1849 1774 1854 1799 1881 1748 1826 1756 1838 1733 1824 1764 1844 
14 448 1983 2061 1960 2043 1935 2018 1948 2026 1944 2023 1925 2005 1915 1992 1907 1988 1881 1962 1896 1972 1901 1981 1930 2008 1872 1948 1884 1966 1870 1956 1890 1972 
15 480 2108 2197 2091 2177 2067 2153 2073 2157 2068 2150 2052 2137 2040 2125 2033 2116 2009 2088 2019 2100 2027 2110 2056 2139 1996 2075 2012 2095 2005 2085 2017 2099 
16 512 2258 2347 2246 2352 2219 2313 2224 2306 2218 2307 2197 2287 2185 2273 2177 2259 2152 2243 2165 2256 2172 2254 2200 2285 2142 2235 2161 2251 2148 2234 2159 2249 
17 544 2398 2475 2399 2483 2363 2457 2356 2433 2356 2438 2336 2415 2322 2405 2310 2397 2290 2372 2305 2393 2301 2381 2332 2413 2285 2365 2301 2380 2282 2361 2299 2378 
18 576 2521 2603 2531 2610 2507 2591 2479 2563 2484 2565 2462 2546 2453 2534 2445 2525 2418 2496 2443 2519 2428 2505 2460 2540 2412 2490 2427 2507 2409 2498 2425 2504 
19 608 2648 2736 2656 2736 2636 2723 2610 2693 2610 2696 2593 2678 2579 2660 2570 2648 2542 2624 2566 2647 2553 2632 2585 2668 2537 2615 2553 2637 2544 2622 2549 2628 
20 640 2799 2888 2808 2892 2788 2879 2766 2853 2761 2847 2739 2832 2721 2809 2711 2795 2692 2788 2709 2799 2698 2786 2729 2816 2682 2780 2703 2794 2686 2776 2689 2771 
21 672 2938 3015 2939 3020 2926 3008 2901 2983 2894 2978 2881 2959 2858 2939 2843 2919 2835 2912 2848 2932 2837 2917 2867 2946 2828 2906 2841 2923 2824 2902 2823 2905 
22 704 3063 3141 3066 3152 3056 3135 3029 3112 3024 3103 3006 3086 2990 3067 2967 3046 2958 3038 2980 3061 2967 3044 2994 3075 2953 3033 2971 3050 2951 3029 2953 3037 
23 736 3189 3270 3199 3277 3184 3270 3157 3247 3148 3226 3135 3218 3115 3196 3091 3169 3084 3165 3110 3192 3089 3171 3123 3209 3078 3158 3095 3178 3074 3156 3084 3165 
24 768 3338 3425 3343 3432 3333 3416 3310 3403 3292 3376 3280 3371 3257 3350 3229 3312 3230 3325 3256 3338 3234 3318 3274 3358 3221 3320 3240 3328 3218 3312 3236 3333 
25 800 3474 3550 3479 3559 3464 3542 3453 3537 3429 3513 3420 3499 3401 3484 3363 3451 3372 3452 3392 3472 3365 3447 3407 3494 3367 3445 3376 3463 3359 3442 3382 3458 
26 832 3600 3678 3605 3688 3590 3670 3585 3664 3559 3640 3547 3624 3534 3616 3499 3589 3499 3575 3520 3600 3493 3578 3544 3630 3492 3570 3511 3596 3488 3574 3508 3593 
27 864 3725 3806 3735 3820 3719 3808 3709 3785 3685 3766 3669 3746 3666 3751 3636 3723 3621 3699 3649 3729 3624 3715 3679 3771 3615 3693 3641 3722 3620 3711 3640 3725 
28 896 3868 3953 3886 3981 3876 3965 3851 3939 3828 3916 3808 3896 3811 3904 3794 3886 3759 3853 3797 3890 3781 3871 3832 3926 3753 3844 3789 3871 3775 3864 3792 3884 
29 928 4002 4080 4028 4122 4012 4094 3990 4069 3965 4045 3945 4024 3953 4031 3935 4023 3900 3977 3939 4019 3926 4003 3983 4064 3893 3971 3920 3997 3913 3994 3931 4011 
30 960 4127 4208 4168 4246 4142 4222 4117 4202 4092 4170 4077 4172 4079 4157 4073 4162 4023 4104 4072 4150 4054 4130 4113 4191 4019 4099 4043 4126 4040 4120 4057 4134 
31 992 4256 4339 4294 4377 4270 4352 4251 4332 4215 4299 4221 4303 4205 4285 4207 4292 4149 4229 4196 4272 4181 4257 4236 4312 4144 4225 4174 4263 4166 4245 4182 4259 
32 1024 4404 4491 4440 4522 4418 4501 4399 4485 4364 4454 4363 4460 4350 4447 4352 4434 4301 4395 4334 4422 4323 4407 4374 4457 4297 4390 4326 4417 4305 4388 4323 4409 
33 1056 4538 4624 4573 4652 4550 4636 4534 4612 4503 4583 4513 4596 4496 4577 4481 4558 4442 4529 4469 4558 4454 4541 4509 4587 4437 4519 4464 4554 4435 4516 4461 4550 
34 1088 4674 4753 4701 4789 4682 4765 4660 4738 4631 4715 4647 4734 4623 4699 4604 4685 4577 4660 4608 4694 4589 4675 4639 4724 4566 4642 4601 4689 4564 4640 4597 4680 
35 1120 4801 4882 4835 4926 4811 4888 4784 4864 4762 4841 4781 4861 4746 4825 4730 4819 4709 4791 4744 4833 4723 4803 4775 4859 4688 4767 4738 4821 4688 4771 4726 4815 
36 1152 4949 5037 4994 5078 4956 5044 4926 5022 4902 4986 4922 5010 4890 4984 4879 4964 4854 4937 4899 4982 4865 4948 4919 5018 4829 4920 4884 4974 4831 4920 4886 4980 
37 1184 5088 5169 5126 5205 5093 5174 5073 5156 5039 5130 5061 5145 5031 5108 5011 5089 4984 5062 5029 5108 5001 5081 5068 5151 4969 5046 5022 5104 4968 5049 5027 5116 
38 1216 5215 5293 5252 5331 5222 5301 5204 5288 5177 5265 5193 5273 5154 5230 5137 5213 5109 5186 5159 5243 5127 5210 5198 5278 5094 5175 5150 5235 5097 5178 5163 5251 
39 1248 5338 5420 5376 5473 5349 5429 5333 5423 5310 5396 5321 5403 5277 5354 5258 5340 5232 5314 5288 5370 5255 5337 5326 5405 5225 5306 5281 5363 5226 5309 5299 5381 
40 1280 5480 5572 5541 5625 5494 5579 5483 5572 5462 5552 5465 5553 5424 5517 5401 5496 5378 5469 5442 5528 5400 5483 5470 5555 5370 5460 5424 5518 5369 5454 5444 5532 
41 1312 5621 5701 5673 5749 5627 5706 5621 5701 5601 5679 5602 5689 5564 5647 5549 5627 5532 5614 5578 5655 5532 5608 5603 5682 5511 5589 5568 5649 5501 5586 5581 5664 
42 1344 5751 5832 5797 5883 5753 5835 5749 5837 5727 5805 5737 5818 5695 5772 5678 5755 5662 5738 5703 5793 5654 5736 5730 5808 5636 5715 5696 5781 5632 5712 5710 5796 
43 1376 5877 5957 5929 6006 5881 5958 5884 5971 5850 5940 5866 5945 5817 5893 5803 5888 5785 5862 5842 5920 5781 5864 5857 5936 5760 5846 5827 5907 5757 5839 5844 5932 
44 1408 6021 6110 6071 6164 6025 6111 6032 6114 6007 6093 6008 6103 5957 6053 5951 6037 5924 6012 5983 6066 5924 6010 6000 6092 5909 5999 5970 6059 5904 5986 5998 6086 
45 1440 6160 6244 6213 6293 6160 6241 6161 6239 6143 6223 6153 6231 6102 6178 6090 6174 6070 6148 6119 6206 6059 6142 6142 6220 6047 6128 6108 6196 6033 6116 6135 6214 
46 1472 6291 6370 6339 6424 6287 6366 6285 6363 6270 6349 6277 6361 6224 6306 6222 6313 6196 6274 6256 6334 6190 6269 6268 6352 6174 6253 6245 6323 6164 6247 6264 6342 
