0 0 32 174 28 170 30 163 31 164 30 154 25 155 27 150 24 160 18 139 15 124 20 142 21 142 16 132 18 129 12 108 17 119 11 112 8 102 14 122 7 105 6 117 3 109 1 88 2 90 3 91 0 84 
1 32 237 352 229 337 220 310 221 320 209 343 212 318 203 298 213 316 191 316 188 296 192 291 194 302 182 308 177 292 158 262 171 281 160 272 149 262 170 277 155 254 166 280 162 272 137 233 137 235 145 257 143 248 
2 64 421 538 392 536 358 456 373 469 416 528 388 507 350 448 364 465 373 490 374 495 339 433 352 454 360 464 347 468 315 418 334 425 326 457 311 423 326 423 300 391 335 447 328 437 281 394 291 383 322 435 304 414 
3 96 602 707 592 685 508 602 522 610 596 692 559 667 497 594 514 605 549 666 542 655 481 589 501 599 515 661 524 647 463 578 477 580 509 636 475 584 471 570 441 545 505 632 485 614 440 551 431 540 499 621 461 567 
4 128 779 892 760 887 674 777 688 793 762 868 742 859 669 763 687 785 735 848 730 824 655 755 682 779 731 822 733 819 644 750 640 734 701 796 646 745 642 734 612 726 710 812 678 808 616 711 602 722 694 791 642 740 
5 160 959 1078 941 1054 826 915 843 940 955 1068 927 1039 815 911 839 935 911 1022 876 1027 806 895 831 929 903 996 872 996 801 891 789 905 856 979 795 908 783 882 774 858 881 988 864 974 759 857 781 874 840 974 804 899 
6 192 1128 1276 1108 1229 972 1063 986 1101 1122 1246 1099 1218 962 1057 981 1088 1094 1208 1082 1214 943 1040 977 1081 1058 1183 1046 1190 938 1036 956 1047 1044 1158 960 1072 929 1029 909 1005 1050 1175 1031 1152 907 1006 923 1011 1037 1137 947 1062 
7 224 1328 1439 1287 1394 1110 1191 1154 1262 1300 1399 1280 1382 1105 1187 1149 1251 1268 1377 1268 1371 1092 1181 1130 1249 1250 1355 1244 1350 1082 1168 1094 1206 1224 1333 1143 1258 1076 1159 1066 1178 1234 1343 1197 1310 1053 1137 1060 1171 1199 1313 1120 1235 
8 256 1517 1628 1473 1597 1261 1373 1338 1464 1468 1570 1446 1564 1252 1344 1337 1424 1442 1547 1434 1560 1256 1352 1335 1420 1432 1531 1420 1526 1232 1322 1273 1397 1402 1509 1341 1444 1226 1316 1244 1342 1431 1522 1377 1503 1202 1303 1246 1353 1383 1490 1320 1425 
9 288 1700 1837 1675 1786 1427 1523 1525 1622 1617 1737 1634 1749 1398 1492 1480 1590 1613 1726 1622 1741 1407 1511 1474 1582 1600 1716 1579 1706 1371 1487 1449 1550 1556 1657 1495 1586 1367 1472 1401 1504 1583 1689 1553 1679 1350 1455 1409 1514 1537 1645 1478 1581 
10 320 1885 1998 1838 1947 1576 1663 1672 1768 1802 1906 1818 1923 1542 1636 1641 1736 1778 1873 1808 1919 1559 1649 1635 1729 1768 1869 1756 1862 1535 1632 1598 1696 1706 1841 1663 1774 1518 1615 1555 1660 1762 1863 1730 1852 1501 1601 1562 1665 1694 1813 1653 1766 
11 352 2050 2165 1994 2108 1712 1814 1816 1908 1973 2074 1985 2104 1687 1785 1784 1879 1962 2057 1976 2097 1696 1794 1774 1875 1941 2044 1911 2030 1678 1779 1745 1835 1892 2004 1829 1936 1665 1771 1705 1797 1933 2032 1898 2015 1651 1756 1714 1801 1859 1977 1822 1932 
12 384 2239 2350 2175 2275 1891 1981 1977 2086 2155 2253 2187 2317 1862 1958 1951 2041 2142 2244 2191 2300 1858 1949 1954 2045 2118 2229 2103 2208 1856 1945 1897 1997 2068 2181 2006 2115 1842 1929 1860 1959 2117 2215 2096 2198 1820 1922 1868 1981 2046 2170 2017 2123 
13 416 2403 2516 2332 2457 2057 2146 2140 2225 2313 2433 2391 2491 2009 2113 2093 2188 2298 2425 2348 2468 1999 2106 2097 2192 2284 2391 2259 2371 1994 2088 2049 2156 2234 2339 2185 2286 1976 2084 2014 2118 2262 2361 2250 2357 1970 2079 2036 2123 2224 2327 2181 2279 
14 448 2563 2701 2539 2664 2196 2289 2280 2386 2487 2591 2577 2687 2161 2253 2237 2340 2474 2572 2531 2651 2153 2248 2245 2345 2452 2549 2425 2553 2136 2239 2206 2306 2396 2508 2339 2446 2131 2235 2165 2263 2415 2530 2413 2524 2127 2223 2171 2268 2382 2496 2328 2436 
15 480 2753 2862 2726 2825 2340 2435 2437 2537 2648 2763 2745 2848 2304 2397 2394 2494 2630 2746 2705 2808 2297 2393 2402 2502 2612 2739 2608 2715 2291 2388 2354 2462 2557 2678 2511 2643 2283 2374 2322 2427 2580 2723 2587 2685 2270 2370 2315 2422 2543 2656 2498 2622 
16 512 2931 3058 2915 3018 2501 2592 2603 2690 2849 2951 2935 3039 2473 2570 2573 2666 2824 2934 2895 3013 2468 2566 2579 2684 2813 2918 2784 2904 2466 2556 2525 2627 2743 2875 2710 2835 2441 2528 2496 2609 2785 2891 2757 2866 2444 2539 2488 2585 2735 2847 2691 2804 
17 544 3110 3226 3073 3181 2643 2730 2738 2835 3021 3125 3126 3215 2619 2701 2718 2815 2995 3103 3065 3171 2623 2724 2734 2827 2974 3085 2958 3056 2608 2693 2677 2765 2928 3042 2892 2999 2575 2669 2670 2761 2946 3065 2936 3034 2590 2673 2636 2732 2904 3031 2874 2983 
18 576 3278 3392 3232 3355 2783 2882 2885 2983 3184 3293 3276 3387 2749 2850 2867 2961 3173 3269 3220 3347 2773 2874 2874 2967 3150 3254 3113 3199 2742 2844 2811 2899 3096 3208 3048 3158 2716 2806 2807 2893 3132 3232 3097 3190 2720 2814 2781 2881 3081 3196 3030 3141 
19 608 3445 3548 3412 3529 2929 3012 3033 3123 3351 3452 3453 3558 2900 2993 3009 3112 3343 3443 3397 3524 2922 3007 3015 3117 3331 3430 3268 3381 2891 2983 2948 3050 3263 3376 3203 3323 2856 2953 2944 3043 3307 3421 3250 3369 2863 2961 2931 3031 3248 3361 3186 3302 
20 640 3617 3737 3596 3733 3082 3190 3209 3311 3534 3641 3649 3774 3055 3144 3203 3307 3521 3623 3617 3756 3080 3168 3195 3280 3508 3609 3477 3579 3051 3139 3114 3231 3447 3573 3389 3535 3018 3112 3109 3213 3483 3594 3441 3554 3025 3125 3107 3207 3427 3532 3374 3497 
21 672 3801 3932 3783 3921 3245 3338 3364 3459 3705 3822 3839 3973 3194 3293 3357 3441 3694 3807 3823 3953 3218 3307 3331 3430 3656 3780 3652 3766 3186 3265 3286 3374 3621 3727 3594 3711 3161 3243 3267 3359 3649 3763 3622 3744 3177 3261 3258 3336 3586 3682 3544 3676 
22 704 3981 4088 4013 4128 3389 3489 3505 3610 3874 3975 4039 4144 3344 3453 3487 3598 3861 3958 4005 4119 3355 3465 3478 3581 3831 3937 3831 3963 3313 3426 3422 3511 3787 3895 3760 3874 3291 3379 3415 3501 3815 3917 3805 3943 3309 3414 3386 3482 3746 3852 3739 3861 
23 736 4142 4268 4179 4286 3537 3646 3656 3753 4030 4159 4196 4298 3506 3602 3651 3740 4011 4127 4171 4279 3515 3617 3626 3716 3988 4096 4029 4137 3474 3573 3569 3662 3947 4048 3935 4088 3434 3531 3556 3649 3965 4074 4001 4113 3459 3559 3533 3633 3905 4005 3929 4054 
24 768 4357 4479 4363 4460 3712 3813 3822 3931 4228 4337 4386 4490 3673 3761 3818 3920 4194 4314 4344 4447 3688 3782 3788 3880 4165 4299 4249 4352 3635 3747 3727 3820 4123 4226 4152 4267 3594 3701 3714 3813 4138 4276 4182 4290 3622 3728 3703 3797 4073 4188 4118 4258 
25 800 4565 4689 4562 4677 3865 3974 3982 4090 4387 4504 4553 4668 3809 3897 3973 4072 4377 4484 4504 4634 3839 3943 3927 4031 4352 4457 4412 4520 3800 3884 3870 3955 4291 4416 4322 4435 3752 3850 3861 3949 4326 4445 4347 4441 3778 3869 3849 3939 4240 4366 4307 4418 
26 832 4740 4845 4728 4839 4023 4134 4140 4233 4585 4726 4720 4832 3947 4039 4122 4220 4554 4672 4712 4823 3993 4085 4079 4176 4518 4622 4567 4704 3931 4018 4007 4106 4464 4602 4485 4593 3901 4000 4001 4100 4496 4598 4494 4607 3917 4005 3988 4095 4422 4526 4472 4583 
27 864 4896 5008 4897 5004 4184 4285 4285 4389 4778 4880 4884 4991 4092 4196 4267 4375 4718 4836 4869 4979 4142 4238 4222 4331 4698 4805 4750 4851 4068 4174 4155 4250 4648 4756 4638 4743 4048 4161 4149 4243 4644 4742 4656 4763 4053 4168 4142 4237 4575 4714 4629 4737 
28 896 5087 5216 5079 5195 4347 4451 4460 4557 4945 5060 5055 5168 4263 4368 4437 4536 4902 5022 5040 5146 4309 4406 4401 4514 4876 4996 4934 5043 4240 4353 4328 4435 4833 4941 4826 4942 4243 4345 4318 4418 4809 4912 4834 4959 4228 4323 4308 4396 4786 4900 4810 4923 
29 928 5267 5379 5262 5401 4502 4612 4607 4690 5122 5244 5244 5361 4428 4532 4585 4679 5069 5182 5225 5353 4457 4559 4563 4663 5052 5170 5097 5209 4413 4522 4488 4567 4994 5101 4997 5109 4397 4498 4469 4561 4975 5090 5017 5120 4374 4478 4444 4543 4961 5084 4971 5077 
30 960 5433 5542 5469 5578 4664 4779 4740 4846 5314 5443 5420 5544 4589 4692 4727 4830 5230 5341 5406 5532 4605 4711 4709 4819 5223 5329 5258 5387 4571 4671 4624 4704 5156 5254 5164 5273 4548 4648 4612 4700 5144 5248 5176 5287 4526 4632 4590 4683 5139 5237 5130 5250 
