0 0 28521 28996 27747 28310 584 1003 0 375 60567 61057 56975 57390 24214 24481 23410 23767 105612 106069 103385 103661 61195 61608 60036 60475 154853 155324 155362 155633 
1 32 29047 29514 28358 28878 1068 1532 429 908 61103 61599 57436 57883 24529 25046 23813 24288 106116 106577 103707 104147 61654 62098 60522 60986 155371 155814 155679 156140 
2 64 29575 30016 28934 29364 1595 1926 954 1354 61645 62046 57933 58383 25102 25524 24336 24767 106624 106907 104201 104591 62144 62555 61032 61301 155860 156141 156186 156578 
3 96 30072 30575 29415 29923 1972 2630 1405 1878 62092 62551 58437 58932 25570 26040 24813 25264 106955 107420 104645 105090 62602 63079 61347 61794 156188 156651 156625 157217 
4 128 30655 31098 30042 30517 2715 3167 1974 2638 62639 63137 59033 59506 26115 26560 25343 25769 107492 107936 105174 105695 63150 63468 61866 62317 156721 157247 157295 157747 
5 160 31145 31619 30576 31055 3218 3701 2689 3152 63191 63653 59558 60024 26608 27093 25819 26291 107983 108460 105743 106192 63517 63982 62364 62806 157294 157746 157797 158265 
6 192 31683 32119 31102 31546 3753 4270 3198 3623 63706 64187 60078 60511 27139 27404 26338 26795 108506 108781 106241 106672 64031 64302 62852 63136 157792 158067 158314 158733 
7 224 32184 32664 31592 32072 4316 4803 3675 4131 64236 64713 60563 61058 27451 27922 26841 27309 108827 109286 106723 107162 64348 64806 63182 63646 158118 158701 158793 159286 
8 256 32778 33224 32185 32663 4897 5334 4204 4662 64804 65206 61144 61605 28001 28444 27397 27818 109369 109840 107237 107703 64875 65280 63718 64192 158789 159290 159415 159911 
9 288 33280 33749 32716 33178 5388 5882 4708 5176 65261 65721 61657 62123 28497 28995 27864 28340 109901 110366 107752 108189 65329 65789 64243 64682 159337 159883 159972 160452 
10 320 33802 34147 33227 33642 5933 6433 5222 5496 65768 66230 62172 62558 29041 29478 28386 28831 110413 110826 108237 108679 65838 66259 64729 65202 160013 160473 160512 161034 
11 352 34207 34692 33688 34134 6479 6944 5551 6048 66276 66929 62606 63144 29524 30007 28883 29350 110873 111323 108725 109165 66305 66931 65248 65691 160563 161077 161110 161641 
12 384 34797 35211 34246 34694 7021 7309 6129 6445 67009 67435 63226 63661 30091 30520 29422 29920 111400 111778 109243 109669 67001 67434 65761 66231 161206 161649 161728 162056 
13 416 35269 35753 34753 35212 7362 7826 6496 6985 67482 67959 63710 64190 30571 31045 29967 30453 111829 112298 109716 110155 67480 67960 66281 66914 161771 162236 162109 162577 
14 448 35826 36270 35264 35747 7877 8205 7034 7316 68005 68474 64239 64688 31092 31542 30501 30927 112345 112808 110202 110649 68007 68319 66960 67297 162314 162832 162625 162968 
15 480 36329 36809 35805 36264 8262 8773 7368 7833 68528 69008 64734 65205 31589 32072 30973 31432 112856 113307 110696 111134 68365 68803 67343 67786 162878 163329 163014 163488 
16 512 36910 37358 36349 36819 8864 9315 7907 8201 69109 69396 65293 65754 32153 32498 31507 31957 113384 113834 111209 111487 68873 69197 67855 68314 163398 163809 163561 163932 
17 544 37415 37880 36879 37354 9367 9879 8255 8734 69450 69912 65803 66255 32544 33009 32009 32477 113896 114345 111533 111977 69243 69695 68360 68812 163857 164382 163981 164455 
18 576 37927 38379 37409 37890 9928 10426 8798 9134 69958 70342 66310 66939 33055 33444 32523 32939 114407 114850 112023 112490 69741 70217 68858 69192 164428 164701 164504 164973 
19 608 38430 38912 37941 38399 10482 10953 9180 9684 70393 70854 66986 67435 33490 34017 32985 33433 114897 115393 112541 112994 70263 70695 69239 69671 164747 165197 165019 165483 
20 640 38995 39296 38490 38992 11035 11519 9757 10162 70943 71368 67515 67963 34097 34520 33502 34019 115468 115901 113071 113432 70764 71127 69741 70219 165268 165675 165557 165925 
21 672 39350 39829 39040 39493 11578 12040 10208 10669 71429 71906 68009 68461 34566 35040 34065 34520 115964 116415 113482 113929 71173 71612 70265 70704 165723 166178 165974 166447 
22 704 39889 40313 39547 39862 12097 12542 10715 10994 71957 72446 68512 68829 35088 35529 34572 35044 116461 116894 113976 114347 71658 71950 70750 71130 166225 166506 166493 166979 
23 736 40368 40860 39915 40373 12601 13082 11051 11536 72499 72968 68880 69325 35580 36106 35090 35542 116943 117403 114394 114846 71996 72452 71182 71629 166554 167005 167026 167488 
24 768 40950 41434 40456 40863 13163 13592 11611 12058 73091 73533 69414 69840 36179 36652 35622 36108 117476 117919 114936 115393 72523 72974 71699 72145 167078 167532 167557 168016 
25 800 41485 41961 40915 41419 13638 14099 12109 12566 73590 74046 69891 70344 36699 37195 36154 36651 117973 118554 115448 115897 73020 73523 72192 72637 167580 168029 168063 168535 
26 832 42016 42469 41465 41947 14145 14418 12612 13083 74100 74593 70392 70851 37241 37661 36697 37167 118600 119053 115952 116385 73569 73892 72683 72978 168075 168537 168582 168876 
27 864 42525 43017 41999 42465 14469 14936 13131 13586 74644 75092 70906 71365 37707 38179 37213 37662 119099 119544 116431 116895 73938 74376 73024 73525 168586 169043 168923 169387 
28 896 43104 43542 42557 43031 15023 15485 13665 14112 75168 75699 71464 71908 38258 38703 37737 38178 119619 120086 116993 117435 74445 74890 73594 74034 169114 169576 169456 170008 
29 928 43593 44075 43080 43546 15535 16006 14158 14625 75747 76205 71969 72454 38749 39222 38224 38701 120138 120613 117484 117939 74936 75420 74080 74518 169624 170129 170055 170524 
30 960 44130 44613 43594 44046 16058 16474 14671 14951 76254 76726 72502 72972 39268 39709 38747 39016 120667 121136 117995 118608 75466 75884 74564 74899 170176 170529 170571 171050 
31 992 44660 45128 44102 44603 16520 16967 15003 15487 76779 77256 73019 73533 39757 40205 39062 39522 121192 121669 118664 119145 75930 76407 74946 75421 170578 171044 171097 171552 
32 1024 45222 45533 44687 45196 17082 17511 15562 16005 77333 77787 73622 74050 40291 40742 39591 39861 121742 122187 119226 119579 76478 76924 75491 75936 171114 171554 171623 172065 
33 1056 45597 46057 45263 45771 17567 18027 16068 16538 77838 78315 74099 74592 40793 41231 39917 40371 122233 122723 119633 120106 76971 77443 75983 76420 171602 172060 172113 172564 
34 1088 46127 46433 45832 46269 18073 18339 16584 16975 78361 78739 74641 75096 41277 41705 40417 40860 122776 123314 120156 120615 77489 78011 76467 76925 172107 172374 172610 172880 
35 1120 46490 46974 46315 46815 18389 18845 17021 17494 78788 79255 75142 75695 41751 42228 40906 41361 123366 123844 120666 121143 78057 78527 76974 77444 172422 172877 172928 173369 
36 1152 47066 47394 46912 47376 18925 19387 17583 18029 79329 79909 75779 76207 42312 42742 41436 41907 123923 124385 121228 121674 78596 79045 77517 78016 172949 173390 173439 173958 
37 1184 47447 47936 47425 47927 19437 19885 18075 18526 79956 80440 76256 76748 42789 43226 41957 42423 124447 124927 121723 122183 79092 79576 78065 78533 173440 173956 174007 174455 
38 1216 47992 48496 47978 48498 19943 20357 18572 18848 80494 81029 76794 77254 43272 43666 42469 42753 124973 125440 122231 122638 79622 80025 78579 79013 174006 174483 174501 174778 
39 1248 48548 49008 48552 49052 20411 20865 18899 19383 81076 81531 77301 77776 43713 44162 42799 43256 125489 125969 122685 123141 80072 80567 79060 79527 174530 174996 174826 175284 
40 1280 49091 49685 49168 49695 20944 21355 19466 19892 81601 82077 77861 78319 44246 44690 43333 43758 126051 126518 123216 123639 80640 81088 79598 80024 175065 175343 175354 175811 
41 1312 49738 50218 49750 50251 21401 21855 19946 20490 82135 82619 78365 78842 44740 45202 43816 44284 126566 127056 123687 124126 81135 81614 80070 80519 175389 175849 175864 176322 
42 1344 50265 50671 50312 50685 21901 22180 20544 21000 82665 83077 78893 79345 45248 45539 44330 44715 127102 127606 124174 124626 81661 82087 80565 81031 175895 176324 176368 176801 
43 1376 50728 51219 50736 51216 22249 22706 21053 21514 83124 83587 79403 79920 45587 46028 44761 45272 127653 128150 124672 125112 82135 82616 81080 81534 176372 176836 176848 177299 
44 1408 51310 51761 51297 51762 22787 23224 21631 22012 83662 84081 80005 80443 46101 46381 45351 45798 128234 128668 125196 125616 82688 83180 81604 82071 176905 177300 177368 177810 
45 1440 51828 52302 51810 52301 23283 23755 22058 22526 84129 84624 80493 81028 46427 46876 45844 46308 128715 129198 125662 126104 83226 83694 82119 82562 177347 177809 177857 178317 
46 1472 52350 52838 52348 52847 23802 24248 22580 22878 84674 85127 81074 81532 46938 47381 46354 46825 129245 129524 126150 126527 83740 84098 82608 83073 177855 178174 178363 178682 
47 1504 52893 53397 52907 53425 24296 24750 22924 23393 85190 85663 81580 82069 47428 47920 46877 47337 129570 130042 126574 127057 84144 84624 83120 83580 178222 178681 178729 179177 
48 1536 53485 54061 53518 54071 24824 25267 23468 23788 85761 86256 82162 82620 48010 48502 47412 47917 130123 130571 127164 127610 84696 85126 83650 84078 178750 179178 179246 179686 
49 1568 54116 54594 54122 54616 25313 25760 23834 24294 86319 86803 82667 83176 48562 48996 47964 48435 130619 131103 127656 128116 85172 85653 84124 84578 179225 179685 179733 180174 
50 1600 54645 55176 54664 55173 25812 26295 24346 24771 86851 87332 83223 83695 49044 49461 48482 48952 131149 131460 128163 128442 85699 86141 84628 85013 179731 180043 180220 180548 
51 1632 55231 55709 55228 55733 26341 26780 24817 25278 87380 87866 83746 84243 49507 49965 48999 49448 131510 131988 128491 128944 86187 86660 85059 85505 180090 180547 180595 181042 
52 1664 55793 56267 55856 56267 26870 27306 25357 25778 87954 88430 84331 84725 50040 50462 49523 49963 132062 132494 129022 129344 86729 87023 85580 86014 180616 181061 181111 181557 
53 1696 56318 56785 56331 56837 27360 27810 25825 26295 88476 88946 84789 85274 50509 50947 50009 50460 132541 133038 129402 129871 87069 87558 86060 86496 181108 181556 181604 182052 
54 1728 56835 57262 56889 57270 27856 28327 26347 26797 88997 89485 85324 85683 50997 51440 50506 50813 133084 133521 129918 130191 87605 88024 86542 86819 181602 181882 182098 182391 
55 1760 57309 57764 57324 57812 28374 28826 26845 27307 89531 89996 85739 86251 51486 51939 50863 51319 133570 134048 130240 130692 88071 88548 86866 87333 181928 182389 182439 183005 
56 1792 57841 58283 57888 58374 28908 29355 27403 27822 90101 90555 86351 86801 52024 52367 51393 51834 134130 134563 130772 131311 88617 88957 87407 87875 182465 183006 183075 183526 
57 1824 58329 58779 58431 58924 29401 29908 27868 28333 90608 91090 86850 87331 52414 52856 51880 52333 134611 135089 131360 131817 89003 89473 87921 88380 183054 183524 183572 184028 
58 1856 58825 59300 58972 59412 29957 30404 28379 28827 91140 91645 87381 87873 52907 53390 52379 52843 135135 135429 131864 132271 89519 89939 88427 88696 183570 183847 184076 184365 
