0 0 21 334 15 326 25 332 16 323 19 323 10 322 14 313 11 314 14 315 8 311 9 302 6 303 9 304 3 301 4 294 1 285 6 295 0 284 
1 32 384 659 377 653 382 657 371 647 373 651 372 647 360 634 362 643 364 645 360 633 351 628 353 626 355 636 349 625 341 624 335 616 345 632 331 617 
2 64 706 990 699 979 703 980 695 982 699 986 694 972 683 961 690 970 692 976 680 960 676 954 676 952 685 963 673 951 671 950 662 943 678 959 665 944 
3 96 1037 1317 1024 1302 1026 1303 1030 1305 1031 1313 1019 1298 1008 1288 1015 1289 1024 1307 1006 1287 1002 1280 1001 1279 1010 1299 999 1275 995 1273 988 1272 1004 1290 992 1271 
4 128 1383 1681 1371 1663 1366 1655 1367 1656 1387 1685 1363 1654 1355 1644 1354 1637 1381 1675 1350 1635 1347 1636 1347 1651 1379 1665 1352 1646 1336 1619 1339 1627 1356 1638 1336 1618 
5 160 1728 2012 1712 1988 1704 1979 1705 1986 1739 2020 1701 1980 1692 1972 1687 1966 1722 2001 1684 1959 1685 1965 1699 1978 1713 1997 1694 1973 1670 1949 1677 1958 1690 1981 1667 1950 
6 192 2060 2342 2038 2318 2026 2304 2032 2311 2067 2346 2028 2312 2019 2299 2013 2290 2048 2329 2006 2283 2011 2289 2025 2302 2044 2325 2021 2300 1995 2276 2004 2282 2032 2315 1997 2277 
7 224 2389 2669 2366 2644 2350 2631 2356 2634 2393 2673 2359 2636 2344 2623 2336 2614 2376 2653 2331 2608 2335 2613 2349 2629 2370 2649 2346 2624 2321 2603 2329 2605 2361 2642 2325 2604 
8 256 2736 3022 2708 2998 2693 2980 2697 2973 2743 3031 2700 2988 2688 2974 2677 2961 2717 2998 2676 2960 2682 2970 2691 2979 2721 3009 2689 2972 2671 2953 2669 2944 2709 2986 2667 2943 
9 288 3070 3343 3051 3317 3028 3301 3030 3305 3086 3360 3040 3306 3024 3297 3009 3276 3047 3326 3007 3286 3019 3287 3026 3298 3060 3335 3022 3294 3000 3270 2994 3268 3037 3316 2992 3275 
