0 0 18 327 29 328 15 315 33 338 16 316 19 318 13 325 23 334 11 302 14 314 8 301 18 323 6 296 9 310 3 295 13 312 3 285 4 293 0 284 8 294 
1 32 376 661 378 659 365 640 389 674 367 653 369 655 374 651 385 662 352 645 363 647 350 636 371 658 348 628 359 637 346 623 361 648 333 620 343 627 331 619 343 638 
2 64 711 989 708 990 689 972 721 999 702 983 703 984 698 976 712 995 692 970 694 974 684 962 705 985 676 961 686 963 670 955 700 981 669 949 673 956 665 948 688 964 
3 96 1037 1314 1036 1323 1018 1300 1047 1326 1029 1304 1030 1310 1022 1315 1041 1322 1016 1293 1021 1303 1009 1285 1034 1317 1007 1283 1016 1299 1001 1281 1026 1307 997 1277 1003 1282 994 1276 1012 1294 
4 128 1381 1672 1386 1679 1366 1660 1394 1687 1373 1668 1375 1662 1378 1674 1397 1693 1359 1655 1378 1669 1354 1644 1387 1677 1354 1651 1362 1645 1360 1653 1368 1652 1348 1638 1349 1637 1344 1636 1356 1639 
5 160 1721 2004 1729 2006 1710 1994 1735 2018 1715 1998 1710 1987 1725 2002 1745 2028 1706 1988 1717 1996 1694 1976 1726 2008 1698 1978 1694 1979 1703 1985 1702 1999 1689 1971 1687 1975 1686 1970 1697 1989 
6 192 2050 2333 2052 2339 2041 2323 2068 2348 2044 2325 2034 2321 2048 2332 2074 2352 2035 2316 2043 2329 2025 2303 2054 2340 2028 2309 2029 2310 2033 2315 2047 2331 2021 2300 2024 2302 2018 2299 2037 2322 
7 224 2382 2664 2384 2665 2371 2647 2393 2674 2375 2654 2367 2648 2378 2658 2399 2678 2362 2645 2377 2656 2351 2632 2386 2666 2355 2636 2359 2644 2361 2637 2380 2661 2348 2629 2352 2631 2345 2628 2373 2652 
8 256 2725 3016 2731 3025 2718 3010 2746 3042 2719 3007 2725 3012 2726 3020 2743 3033 2714 2997 2723 3004 2715 2998 2741 3028 2705 2983 2709 2984 2713 2992 2739 3018 2693 2969 2696 2970 2697 2978 2716 2993 
9 288 3065 3338 3079 3349 3057 3327 3091 3364 3054 3326 3062 3328 3074 3341 3087 3360 3045 3319 3052 3324 3048 3321 3080 3351 3035 3309 3034 3310 3040 3312 3067 3344 3018 3294 3019 3293 3025 3308 3046 3340 
