0 0 32 347 20 328 26 329 25 335 30 339 25 335 16 322 20 325 25 319 15 321 11 311 10 312 15 328 10 317 6 299 5 298 10 308 5 306 1 283 0 282 5 291 2 290 
1 32 401 689 380 666 381 657 391 664 392 680 389 673 372 650 374 651 366 671 370 662 359 640 363 641 375 676 364 655 349 633 347 631 357 663 355 645 333 629 329 623 341 646 339 632 
2 64 744 1021 716 996 703 993 714 991 735 1017 725 1001 696 985 698 982 721 1006 709 987 687 972 689 967 728 1010 701 983 681 964 679 963 714 998 692 973 675 956 669 955 694 994 680 965 
3 96 1073 1353 1043 1329 1038 1319 1036 1317 1067 1349 1047 1333 1031 1314 1029 1311 1054 1337 1034 1327 1017 1298 1014 1297 1060 1341 1029 1323 1010 1291 1008 1290 1048 1331 1020 1313 1003 1285 1001 1284 1041 1326 1014 1308 
4 128 1431 1737 1407 1709 1388 1679 1384 1674 1424 1733 1410 1705 1381 1672 1376 1665 1421 1717 1403 1697 1362 1652 1365 1653 1417 1708 1395 1687 1355 1645 1352 1644 1399 1686 1384 1676 1348 1634 1349 1635 1415 1703 1381 1666 
5 160 1788 2069 1764 2044 1728 2003 1723 2001 1783 2065 1757 2039 1719 1994 1712 1993 1771 2046 1745 2023 1700 1984 1703 1983 1763 2041 1739 2019 1694 1972 1692 1971 1739 2032 1724 2011 1685 1965 1684 1964 1755 2036 1715 2007 
6 192 2115 2394 2099 2375 2049 2330 2049 2329 2111 2390 2087 2364 2042 2324 2040 2322 2097 2378 2072 2357 2034 2310 2032 2309 2090 2374 2067 2353 2019 2296 2017 2295 2081 2362 2058 2344 2012 2289 2010 2288 2085 2370 2053 2340 
7 224 2440 2719 2423 2699 2378 2661 2376 2659 2436 2715 2410 2692 2369 2646 2368 2644 2427 2708 2406 2688 2356 2633 2355 2632 2422 2704 2400 2682 2343 2627 2342 2626 2408 2684 2393 2678 2337 2621 2335 2620 2418 2697 2389 2674 
8 256 2784 3089 2765 3059 2723 3013 2721 2999 2795 3080 2755 3040 2712 2996 2710 2991 2780 3062 2776 3072 2704 2990 2702 2984 2786 3076 2749 3030 2693 2981 2691 2980 2747 3031 2773 3054 2686 2962 2684 2961 2777 3056 2767 3067 
9 288 3139 3411 3107 3379 3064 3338 3050 3325 3133 3407 3095 3371 3045 3314 3041 3312 3109 3385 3124 3395 3038 3310 3033 3308 3127 3397 3079 3354 3030 3302 3028 3301 3084 3355 3101 3375 3011 3282 3008 3281 3104 3376 3116 3387 
10 320 3460 3734 3428 3706 3384 3662 3374 3643 3455 3729 3419 3694 3361 3642 3360 3636 3432 3700 3444 3715 3356 3634 3354 3627 3446 3715 3404 3678 3352 3626 3348 3620 3402 3677 3423 3698 3329 3610 3329 3616 3425 3696 3435 3710 
11 352 3782 4060 3753 4027 3711 3989 3689 3967 3775 4049 3739 4014 3687 3958 3682 3956 3747 4021 3764 4039 3680 3950 3674 3949 3762 4034 3724 3995 3672 3941 3667 3940 3722 3994 3746 4019 3656 3930 3661 3931 3743 4015 3757 4034 
12 384 4130 4412 4108 4387 4055 4336 4031 4315 4121 4402 4080 4355 4023 4313 4018 4306 4094 4381 4113 4403 4019 4307 4013 4300 4105 4386 4057 4340 4017 4298 4006 4293 4055 4342 4106 4397 3992 4274 3997 4275 4083 4356 4110 4393 
13 416 4461 4731 4440 4710 4385 4659 4365 4638 4452 4729 4409 4695 4363 4637 4356 4628 4429 4697 4454 4737 4355 4630 4348 4620 4440 4711 4399 4687 4346 4626 4340 4616 4393 4679 4445 4726 4322 4595 4324 4596 4408 4686 4447 4722 
14 448 4783 5056 4757 5031 4705 4979 4687 4961 4779 5054 4743 5022 4685 4959 4676 4952 4745 5020 4789 5064 4681 4954 4667 4942 4759 5030 4739 5018 4674 4941 4662 4938 4725 5002 4773 5045 4642 4926 4643 4925 4736 5016 4769 5041 
15 480 5109 5382 5079 5351 5027 5305 5006 5275 5102 5375 5072 5345 5005 5276 4999 5268 5069 5344 5113 5391 5001 5271 4990 5262 5075 5350 5066 5341 4986 5267 4983 5258 5048 5323 5092 5365 4972 5247 4970 5246 5062 5340 5086 5361 
16 512 5446 5737 5434 5731 5370 5659 5344 5647 5453 5746 5432 5714 5343 5631 5342 5636 5423 5712 5453 5745 5346 5645 5340 5631 5433 5725 5417 5704 5334 5622 5325 5613 5386 5682 5439 5740 5308 5596 5310 5595 5405 5694 5436 5735 
17 544 5787 6064 5781 6061 5707 5990 5696 5981 5796 6073 5763 6049 5685 5959 5687 5961 5763 6039 5795 6076 5695 5978 5678 5952 5776 6050 5754 6040 5672 5951 5662 5937 5730 6020 5788 6074 5647 5934 5643 5933 5742 6031 5786 6070 
18 576 6114 6397 6107 6384 6040 6326 6032 6309 6123 6399 6100 6380 6005 6297 6007 6287 6088 6373 6131 6413 6026 6307 6000 6285 6097 6377 6090 6375 5998 6283 5985 6281 6069 6359 6124 6408 5982 6265 5979 6264 6078 6369 6120 6397 
19 608 6444 6719 6432 6717 6373 6657 6356 6638 6448 6726 6427 6706 6345 6630 6335 6617 6420 6700 6462 6747 6354 6635 6331 6615 6424 6705 6423 6700 6330 6613 6326 6611 6405 6692 6453 6728 6311 6592 6311 6593 6415 6696 6446 6721 
20 640 6794 7092 6791 7084 6729 7018 6706 7006 6791 7101 6781 7075 6703 6995 6690 6981 6785 7077 6814 7099 6705 7000 6688 6985 6770 7065 6769 7053 6675 6959 6679 6960 6779 7069 6793 7090 6653 6939 6659 6940 6767 7052 6787 7080 
