0 0 22 338 25 337 20 332 31 345 20 329 15 331 30 343 24 340 15 316 13 321 23 347 21 327 10 309 8 303 13 319 17 318 5 299 3 312 8 304 7 298 2 292 0 285 5 290 2 286 
1 32 390 670 391 673 385 668 400 681 379 662 382 663 400 679 392 674 363 652 369 655 404 690 376 665 357 644 352 643 367 661 365 656 348 639 360 647 352 651 349 648 342 635 335 621 337 629 335 620 
2 64 719 1019 726 1007 715 1010 731 1015 710 1012 714 999 731 1018 725 1008 702 1002 704 986 742 1022 716 1001 694 995 689 969 708 1000 706 988 687 985 696 978 698 993 699 984 682 980 669 954 675 970 669 956 
3 96 1075 1359 1060 1337 1063 1346 1066 1357 1064 1348 1049 1329 1072 1355 1060 1352 1050 1343 1033 1322 1076 1368 1053 1345 1043 1334 1016 1312 1046 1339 1037 1337 1035 1323 1024 1316 1039 1328 1030 1325 1026 1319 1001 1295 1016 1297 1003 1296 
4 128 1431 1726 1410 1708 1420 1710 1429 1726 1424 1730 1402 1703 1426 1715 1425 1710 1417 1705 1395 1681 1436 1726 1420 1718 1409 1699 1379 1661 1413 1697 1403 1695 1397 1687 1397 1690 1389 1672 1397 1679 1383 1671 1363 1652 1359 1653 1359 1662 
5 160 1777 2052 1759 2036 1759 2039 1778 2072 1788 2061 1764 2043 1768 2045 1767 2056 1754 2034 1728 2013 1783 2058 1774 2060 1747 2028 1710 1998 1747 2026 1743 2050 1737 2024 1740 2022 1722 2014 1728 2042 1720 1999 1699 1983 1701 1992 1712 1993 
6 192 2105 2390 2084 2360 2088 2366 2124 2399 2113 2398 2095 2373 2098 2380 2106 2388 2082 2383 2061 2348 2109 2386 2110 2392 2075 2378 2047 2344 2072 2359 2101 2382 2070 2367 2070 2354 2063 2355 2094 2375 2048 2328 2029 2315 2041 2327 2040 2316 
7 224 2439 2726 2410 2695 2417 2700 2450 2728 2446 2732 2423 2701 2430 2709 2437 2718 2433 2721 2395 2685 2434 2719 2443 2724 2429 2716 2390 2681 2408 2694 2430 2710 2419 2706 2401 2687 2402 2683 2424 2702 2374 2666 2362 2651 2372 2652 2362 2650 
8 256 2809 3110 2774 3069 2778 3056 2795 3080 2806 3097 2772 3057 2781 3063 2798 3085 2804 3093 2770 3051 2789 3070 2802 3091 2802 3083 2751 3028 2765 3047 2780 3064 2773 3049 2759 3040 2749 3027 2773 3048 2728 3038 2719 2999 2715 2998 2713 3007 
9 288 3161 3435 3121 3393 3106 3382 3129 3407 3146 3422 3110 3383 3112 3389 3133 3411 3152 3424 3104 3375 3123 3395 3140 3415 3135 3414 3078 3362 3101 3374 3118 3400 3102 3398 3089 3366 3075 3368 3100 3392 3087 3369 3047 3317 3045 3316 3054 3342 
10 320 3482 3762 3441 3716 3430 3706 3454 3730 3473 3750 3432 3707 3437 3715 3459 3734 3478 3756 3427 3703 3444 3719 3463 3738 3464 3746 3409 3685 3421 3700 3447 3717 3449 3739 3420 3694 3416 3693 3440 3709 3418 3705 3368 3654 3362 3643 3388 3656 
11 352 3812 4084 3765 4041 3755 4030 3776 4053 3799 4076 3758 4030 3761 4034 3780 4057 3806 4080 3752 4021 3768 4044 3784 4063 3793 4072 3731 4013 3748 4020 3766 4040 3786 4065 3743 4017 3742 4011 3759 4031 3754 4046 3699 3972 3688 3965 3701 3971 
12 384 4160 4457 4112 4397 4110 4397 4129 4418 4157 4450 4099 4388 4116 4411 4138 4429 4159 4446 4097 4384 4113 4405 4132 4416 4151 4426 4079 4356 4108 4392 4127 4408 4128 4404 4087 4374 4075 4355 4101 4375 4112 4397 4036 4330 4026 4317 4033 4329 
13 416 4508 4788 4448 4726 4448 4723 4468 4745 4503 4778 4441 4714 4465 4738 4480 4751 4499 4774 4437 4708 4458 4730 4474 4749 4474 4746 4404 4687 4439 4707 4460 4730 4452 4737 4428 4702 4407 4688 4425 4701 4444 4716 4380 4649 4364 4648 4377 4667 
14 448 4839 5113 4775 5043 4769 5034 4792 5066 4830 5103 4761 5036 4787 5058 4803 5072 4821 5094 4755 5032 4776 5045 4799 5070 4795 5068 4735 5016 4754 5023 4778 5054 4783 5059 4749 5022 4740 5018 4755 5050 4764 5036 4696 4971 4694 4981 4715 5000 
15 480 5162 5436 5090 5366 5083 5359 5115 5387 5151 5427 5084 5360 5105 5376 5124 5398 5141 5416 5077 5352 5090 5365 5120 5394 5117 5407 5063 5339 5074 5354 5101 5377 5109 5387 5070 5343 5064 5342 5097 5370 5082 5368 5018 5299 5027 5314 5045 5323 
16 512 5502 5790 5440 5740 5434 5722 5470 5757 5509 5794 5438 5733 5442 5731 5473 5781 5490 5770 5436 5724 5445 5739 5475 5771 5474 5759 5401 5696 5417 5711 5468 5751 5449 5750 5409 5698 5409 5698 5442 5729 5438 5728 5363 5692 5378 5679 5383 5678 
17 544 5840 6122 5797 6077 5773 6056 5805 6088 5845 6124 5791 6069 5782 6060 5830 6112 5819 6101 5771 6060 5790 6068 5821 6100 5810 6097 5746 6054 5760 6045 5801 6078 5800 6093 5750 6058 5747 6041 5786 6073 5779 6072 5744 6050 5727 6013 5725 6012 
18 576 6173 6456 6125 6418 6105 6386 6135 6424 6180 6458 6116 6412 6110 6393 6165 6441 6149 6439 6111 6404 6117 6402 6149 6428 6145 6430 6102 6391 6091 6373 6126 6420 6140 6426 6107 6400 6087 6369 6121 6413 6118 6403 6097 6385 6062 6355 6058 6346 
19 608 6504 6784 6463 6747 6433 6716 6470 6755 6511 6788 6459 6742 6444 6723 6488 6763 6484 6766 6454 6737 6451 6731 6475 6759 6478 6761 6440 6722 6419 6706 6468 6749 6471 6757 6446 6728 6415 6702 6462 6739 6452 6738 6433 6715 6400 6689 6391 6675 
20 640 6856 7159 6815 7130 6784 7083 6839 7138 6853 7155 6820 7120 6802 7091 6829 7122 6851 7140 6813 7111 6800 7087 6833 7131 6849 7132 6810 7102 6767 7060 6825 7116 6831 7112 6808 7089 6776 7064 6823 7109 6801 7088 6785 7074 6755 7045 6735 7026 
21 672 7210 7490 7179 7454 7131 7410 7189 7467 7205 7486 7170 7447 7142 7425 7172 7449 7193 7469 7159 7441 7138 7421 7182 7462 7186 7463 7150 7433 7108 7396 7166 7444 7164 7455 7140 7424 7112 7406 7157 7435 7136 7425 7124 7407 7093 7392 7073 7359 
22 704 7538 7819 7503 7789 7460 7743 7515 7798 7534 7813 7494 7785 7474 7753 7496 7777 7520 7804 7487 7776 7467 7749 7510 7789 7511 7794 7480 7770 7446 7733 7490 7768 7504 7787 7472 7765 7453 7739 7481 7760 7475 7767 7458 7758 7439 7729 7405 7692 
23 736 7873 8154 7836 8116 7789 8077 7848 8132 7866 8145 7830 8112 7802 8091 7824 8113 7856 8141 7823 8105 7795 8083 7840 8130 7849 8136 7816 8101 7781 8064 7815 8106 7842 8132 7810 8092 7787 8073 7807 8102 7815 8115 7803 8084 7775 8060 7737 8019 
24 768 8224 8520 8188 8483 8157 8453 8201 8485 8221 8512 8185 8473 8161 8459 8182 8462 8210 8496 8181 8464 8155 8437 8193 8479 8219 8508 8179 8478 8138 8421 8171 8445 8208 8485 8163 8438 8153 8444 8180 8467 8190 8466 8151 8433 8132 8417 8079 8368 
25 800 8573 8842 8536 8806 8501 8774 8533 8804 8564 8840 8522 8796 8512 8784 8510 8779 8546 8819 8512 8788 8486 8765 8527 8797 8558 8835 8529 8800 8471 8756 8494 8775 8537 8815 8490 8783 8492 8769 8518 8789 8516 8798 8485 8775 8465 8752 8415 8690 
26 832 8898 9173 8857 9136 8822 9098 8854 9122 8889 9159 8843 9128 8831 9110 8827 9104 8873 9142 8834 9121 8812 9089 8845 9117 8882 9155 8850 9132 8803 9082 8822 9099 8865 9138 8829 9116 8817 9093 8837 9111 8847 9132 8825 9105 8798 9078 8736 9014 
27 864 9222 9500 9185 9464 9144 9426 9168 9442 9207 9481 9175 9458 9157 9430 9151 9429 9194 9473 9167 9454 9137 9417 9164 9440 9201 9477 9181 9462 9131 9409 9145 9425 9187 9469 9161 9450 9139 9421 9159 9436 9180 9460 9154 9439 9123 9403 9059 9338 
28 896 9561 9857 9526 9809 9497 9800 9516 9808 9553 9840 9545 9848 9500 9794 9509 9797 9550 9835 9539 9838 9495 9788 9513 9817 9544 9824 9537 9822 9492 9768 9494 9771 9542 9818 9535 9833 9506 9792 9511 9790 9527 9800 9520 9798 9465 9748 9398 9685 
29 928 9911 10185 9857 10142 9854 10130 9857 10127 9894 10160 9898 10172 9850 10125 9846 10116 9885 10156 9889 10159 9836 10107 9868 10136 9877 10149 9873 10148 9817 10100 9823 10099 9869 10144 9881 10154 9845 10115 9838 10109 9852 10129 9852 10137 9798 10086 9732 10007 
30 960 10238 10512 10190 10473 10179 10464 10173 10450 10218 10486 10218 10494 10174 10452 10164 10439 10209 10481 10211 10490 10153 10437 10185 10454 10199 10474 10195 10479 10148 10433 10146 10423 10190 10468 10204 10485 10162 10441 10156 10427 10175 10455 10186 10466 10134 10424 10053 10333 
31 992 10561 10840 10525 10802 10513 10785 10495 10773 10538 10812 10549 10824 10497 10777 10486 10758 10531 10804 10545 10820 10484 10759 10499 10782 10525 10800 10532 10806 10479 10752 10468 10744 10518 10795 10540 10813 10490 10770 10472 10751 10503 10781 10518 10797 10471 10745 10378 10657 
32 1024 10908 11187 10892 11189 10850 11142 10841 11124 10880 11170 10895 11177 10843 11138 10822 11106 10883 11168 10900 11199 10846 11126 10848 11129 10874 11164 10890 11166 10818 11096 10806 11087 10872 11143 10887 11173 10835 11107 10814 11097 10842 11126 10872 11153 10810 11086 10717 11000 
33 1056 11237 11504 11237 11512 11199 11469 11171 11444 11219 11489 11231 11501 11192 11465 11153 11425 11226 11496 11248 11516 11183 11453 11179 11448 11212 11480 11216 11491 11144 11436 11138 11416 11192 11475 11227 11497 11159 11440 11147 11421 11174 11451 11204 11481 11134 11409 11047 11320 
34 1088 11557 11827 11561 11827 11517 11791 11490 11758 11536 11807 11552 11822 11511 11787 11474 11743 11548 11820 11566 11840 11502 11778 11494 11766 11527 11803 11540 11812 11483 11757 11462 11734 11522 11799 11547 11816 11493 11764 11469 11739 11500 11779 11530 11805 11457 11735 11366 11639 
35 1120 11878 12149 11880 12154 11844 12117 11806 12081 11859 12130 11874 12148 11836 12108 11789 12068 11869 12141 11887 12158 11827 12104 11813 12085 11850 12126 11866 12136 11804 12082 11781 12056 11844 12117 11872 12143 11811 12087 11785 12066 11825 12107 11853 12132 11782 12057 11684 11957 
36 1152 12225 12507 12235 12513 12189 12471 12153 12448 12206 12485 12211 12496 12182 12466 12134 12419 12223 12503 12238 12533 12171 12449 12146 12429 12197 12476 12199 12483 12149 12428 12126 12399 12194 12472 12233 12517 12153 12435 12149 12437 12175 12448 12208 12492 12123 12400 12017 12302 
37 1184 12557 12825 12560 12827 12524 12796 12501 12768 12535 12809 12545 12822 12517 12791 12468 12741 12564 12829 12587 12859 12500 12768 12477 12745 12528 12801 12538 12818 12476 12755 12446 12721 12523 12797 12566 12839 12483 12764 12486 12754 12501 12769 12540 12814 12451 12736 12349 12621 
38 1216 12872 13142 12879 13154 12842 13115 12817 13090 12858 13130 12874 13150 12837 13109 12787 13062 12876 13148 12911 13183 12818 13092 12792 13066 12851 13121 12870 13143 12803 13077 12770 13051 12844 13117 12886 13162 12811 13086 12801 13075 12816 13093 12865 13139 12782 13052 12667 12940 
39 1248 13192 13462 13202 13477 13160 13432 13137 13405 13177 13447 13200 13473 13154 13428 13107 13381 13197 13466 13233 13508 13141 13423 13113 13385 13170 13443 13192 13467 13122 13406 13098 13377 13164 13433 13207 13487 13135 13416 13120 13398 13144 13418 13185 13463 13099 13384 12985 13258 
40 1280 13528 13829 13556 13855 13506 13810 13469 13774 13514 13822 13552 13868 13502 13806 13454 13751 13537 13835 13574 13876 13500 13795 13450 13747 13510 13804 13536 13828 13472 13762 13447 13739 13507 13800 13550 13859 13498 13791 13472 13763 13490 13782 13544 13833 13448 13740 13318 13611 
41 1312 13880 14169 13910 14200 13861 14151 13821 14106 13870 14152 13916 14208 13854 14144 13798 14087 13889 14173 13929 14212 13850 14135 13794 14083 13855 14145 13878 14177 13812 14117 13789 14077 13850 14136 13908 14196 13844 14129 13814 14102 13831 14128 13883 14173 13789 14076 13658 13946 
42 1344 14216 14503 14247 14533 14198 14480 14154 14443 14201 14493 14256 14542 14191 14478 14136 14426 14228 14510 14263 14546 14184 14474 14132 14422 14194 14482 14228 14523 14167 14458 14128 14412 14187 14478 14242 14529 14179 14470 14150 14439 14178 14472 14224 14511 14122 14413 13992 14279 
43 1376 14548 14835 14584 14868 14532 14823 14488 14778 14541 14825 14589 14874 14528 14817 14471 14764 14558 14843 14593 14878 14523 14813 14467 14757 14534 14819 14569 14853 14506 14793 14458 14747 14527 14811 14576 14864 14515 14800 14484 14774 14519 14801 14561 14849 14460 14748 14324 14612 
44 1408 14902 15206 14953 15258 14898 15205 14845 15146 14896 15189 14950 15256 14896 15196 14843 15138 14914 15213 14948 15241 14894 15189 14822 15119 14894 15194 14923 15215 14856 15152 14814 15115 14884 15178 14946 15237 14866 15156 14836 15151 14866 15163 14916 15206 14811 15137 14672 14965 
45 1440 15257 15544 15313 15597 15257 15542 15193 15480 15238 15524 15306 15592 15248 15537 15187 15470 15262 15549 15288 15573 15243 15526 15167 15455 15245 15528 15264 15562 15201 15504 15163 15451 15230 15520 15284 15569 15207 15509 15199 15484 15215 15506 15262 15558 15184 15469 15012 15300 
46 1472 15591 15880 15647 15933 15590 15871 15526 15814 15575 15864 15640 15928 15583 15867 15519 15806 15597 15886 15625 15910 15574 15858 15505 15791 15579 15869 15611 15901 15551 15839 15498 15787 15571 15857 15620 15906 15558 15844 15531 15818 15556 15848 15606 15897 15516 15807 15346 15633 
47 1504 15925 16217 15978 16266 15920 16207 15859 16148 15911 16204 15973 16259 15914 16200 15852 16134 15934 16224 15960 16249 15907 16193 15838 16124 15918 16213 15947 16236 15885 16180 15832 16120 15907 16198 15953 16240 15889 16176 15865 16152 15893 16191 15943 16226 15853 16135 15678 15966 
