0 0 32 349 28 343 36 360 31 344 15 333 25 338 23 351 24 338 25 340 18 326 20 346 21 327 18 325 15 317 18 331 17 316 10 310 8 298 8 321 7 305 5 299 3 306 13 308 2 288 0 283 0 282 3 289 
1 32 409 695 399 681 421 709 399 683 387 687 390 675 408 703 395 675 396 691 378 667 401 697 380 664 374 678 366 658 379 693 363 648 358 670 348 646 370 687 354 641 353 666 357 654 364 682 336 620 335 639 332 621 338 640 
2 64 752 1042 731 1027 774 1063 735 1013 743 1034 726 1023 764 1055 725 1007 747 1038 717 1009 754 1050 712 997 728 1029 705 998 749 1044 695 988 719 1021 693 987 739 1042 689 980 712 1011 700 991 730 1036 668 958 685 979 671 959 689 990 
3 96 1097 1390 1076 1359 1115 1402 1058 1353 1084 1381 1072 1357 1110 1398 1054 1343 1090 1386 1056 1348 1108 1392 1045 1338 1080 1379 1049 1343 1102 1388 1035 1321 1069 1373 1033 1328 1096 1382 1028 1311 1057 1369 1040 1335 1089 1378 1003 1294 1025 1312 1005 1301 1038 1329 
4 128 1479 1784 1435 1729 1491 1788 1425 1715 1475 1776 1427 1731 1489 1780 1417 1710 1469 1759 1430 1725 1467 1761 1405 1694 1465 1770 1415 1705 1465 1757 1386 1675 1461 1755 1390 1678 1456 1750 1378 1668 1453 1742 1409 1701 1441 1727 1359 1654 1375 1676 1366 1674 1394 1695 
5 160 1834 2111 1789 2072 1835 2120 1765 2049 1825 2107 1784 2067 1830 2108 1761 2042 1810 2086 1777 2063 1811 2094 1744 2030 1820 2103 1761 2048 1806 2092 1727 2025 1804 2084 1735 2032 1802 2084 1720 2021 1792 2080 1754 2041 1776 2067 1701 1990 1725 2005 1721 2004 1743 2040 
6 192 2161 2449 2126 2404 2168 2458 2096 2380 2157 2441 2117 2400 2163 2448 2092 2374 2138 2431 2110 2395 2151 2443 2078 2361 2153 2435 2096 2385 2146 2439 2072 2357 2134 2429 2079 2372 2138 2432 2067 2346 2130 2425 2088 2376 2122 2426 2037 2330 2052 2338 2052 2345 2088 2386 
7 224 2502 2786 2457 2746 2518 2799 2429 2713 2495 2782 2446 2736 2514 2795 2423 2705 2481 2774 2442 2734 2506 2788 2408 2688 2487 2778 2436 2730 2499 2784 2402 2686 2479 2769 2418 2719 2485 2782 2395 2682 2473 2765 2425 2723 2475 2778 2376 2672 2383 2684 2390 2701 2434 2736 
8 256 2865 3164 2815 3120 2881 3179 2781 3075 2859 3146 2813 3110 2894 3175 2779 3060 2846 3132 2826 3116 2878 3167 2765 3053 2857 3159 2810 3094 2876 3158 2763 3048 2855 3154 2781 3062 2869 3145 2754 3027 2840 3121 2808 3089 2844 3123 2734 3016 2744 3026 2769 3058 2806 3105 
9 288 3214 3485 3170 3450 3229 3504 3125 3401 3196 3465 3160 3439 3225 3496 3111 3380 3180 3459 3166 3443 3218 3492 3101 3371 3208 3481 3142 3423 3208 3476 3096 3369 3203 3474 3112 3410 3198 3467 3077 3365 3171 3452 3136 3414 3173 3461 3066 3342 3073 3343 3106 3379 3152 3432 
10 320 3534 3807 3499 3775 3553 3826 3449 3725 3514 3785 3488 3758 3544 3820 3428 3707 3506 3777 3492 3767 3539 3808 3423 3703 3529 3799 3473 3750 3527 3797 3419 3698 3522 3792 3457 3737 3518 3791 3414 3692 3499 3769 3464 3742 3511 3787 3394 3664 3390 3663 3427 3706 3480 3757 
11 352 3854 4123 3824 4094 3874 4152 3770 4046 3832 4104 3809 4085 3865 4134 3755 4030 3823 4102 3815 4089 3858 4132 3751 4028 3846 4117 3800 4081 3849 4127 3744 4024 3839 4110 3782 4064 3839 4119 3739 4016 3815 4094 3790 4068 3833 4112 3712 3997 3708 3986 3752 4037 3804 4087 
12 384 4193 4489 4171 4460 4224 4512 4116 4404 4191 4479 4168 4453 4210 4492 4096 4393 4176 4451 4161 4438 4218 4507 4108 4400 4184 4475 4164 4442 4194 4470 4104 4387 4187 4468 4131 4414 4207 4501 4090 4372 4162 4437 4143 4425 4185 4460 4058 4340 4046 4329 4103 4410 4154 4439 
13 416 4539 4808 4516 4790 4564 4841 4452 4735 4530 4802 4505 4786 4541 4810 4446 4725 4501 4783 4486 4778 4558 4831 4448 4731 4524 4796 4493 4782 4519 4804 4442 4721 4517 4789 4466 4761 4551 4827 4419 4704 4484 4766 4477 4768 4514 4798 4389 4669 4376 4651 4458 4753 4488 4763 
14 448 4858 5131 4841 5114 4894 5169 4783 5067 4849 5127 4836 5109 4862 5137 4775 5055 4833 5113 4824 5101 4878 5150 4779 5059 4842 5123 4829 5105 4855 5128 4770 5047 4837 5119 4809 5090 4874 5146 4750 5027 4814 5108 4815 5094 4846 5124 4716 4994 4697 4972 4805 5086 4812 5094 
15 480 5177 5463 5163 5449 5216 5490 5115 5393 5175 5456 5159 5440 5189 5468 5100 5372 5161 5430 5151 5429 5197 5476 5106 5382 5171 5452 5155 5436 5177 5463 5093 5368 5169 5446 5138 5421 5193 5472 5072 5353 5155 5424 5144 5425 5171 5457 5040 5313 5017 5291 5133 5409 5142 5410 
16 512 5529 5825 5524 5831 5572 5874 5464 5758 5525 5841 5520 5823 5570 5870 5445 5736 5497 5785 5507 5802 5549 5852 5462 5756 5534 5832 5515 5827 5557 5862 5433 5726 5523 5807 5499 5783 5560 5848 5415 5705 5487 5770 5513 5806 5545 5826 5374 5675 5351 5640 5471 5764 5475 5771 
17 544 5877 6157 5880 6158 5923 6208 5807 6090 5892 6168 5871 6146 5919 6198 5783 6063 5836 6122 5852 6136 5902 6179 5811 6097 5883 6163 5884 6167 5912 6194 5777 6061 5860 6145 5833 6124 5896 6175 5752 6033 5819 6109 5856 6140 5878 6165 5722 6011 5687 5970 5811 6095 5819 6096 
18 576 6205 6486 6207 6493 6257 6540 6136 6418 6219 6504 6202 6485 6246 6530 6118 6402 6175 6464 6193 6481 6227 6517 6145 6422 6212 6492 6216 6491 6241 6521 6111 6398 6194 6474 6172 6467 6222 6511 6079 6362 6159 6442 6186 6473 6213 6507 6057 6340 6016 6297 6142 6440 6143 6419 
19 608 6535 6812 6546 6837 6585 6872 6463 6745 6551 6825 6538 6816 6578 6862 6449 6730 6511 6792 6531 6811 6567 6846 6467 6749 6542 6819 6542 6824 6571 6854 6443 6726 6520 6800 6517 6795 6560 6842 6407 6692 6488 6769 6523 6801 6553 6834 6385 6669 6342 6625 6487 6768 6465 6753 
20 640 6894 7183 6913 7203 6934 7238 6823 7113 6897 7187 6895 7187 6930 7234 6799 7089 6859 7145 6893 7179 6912 7212 6813 7109 6889 7177 6901 7198 6923 7216 6802 7099 6866 7152 6863 7146 6915 7205 6760 7056 6831 7125 6867 7153 6904 7185 6729 7034 6685 6973 6829 7123 6813 7100 
21 672 7231 7509 7255 7541 7288 7567 7164 7449 7237 7517 7238 7517 7284 7563 7137 7420 7193 7478 7227 7507 7259 7542 7160 7443 7227 7503 7250 7534 7263 7549 7151 7427 7202 7490 7194 7476 7254 7538 7104 7397 7172 7450 7205 7503 7232 7508 7081 7365 7020 7302 7170 7452 7148 7426 
22 704 7557 7838 7588 7868 7619 7898 7497 7778 7568 7847 7567 7844 7615 7894 7468 7747 7527 7810 7563 7840 7595 7876 7491 7774 7552 7833 7582 7864 7601 7884 7474 7756 7538 7820 7524 7811 7591 7872 7445 7734 7497 7778 7556 7835 7556 7855 7411 7696 7348 7629 7499 7777 7472 7748 
