0 0 30 168 26 145 27 164 21 151 28 139 23 128 24 147 26 181 17 128 21 135 17 142 16 155 15 116 11 113 13 120 11 126 10 107 1 90 11 111 6 111 5 101 6 104 0 88 3 97 2 94 
1 32 229 340 199 315 220 307 206 299 192 310 181 280 199 298 232 329 182 300 190 289 192 280 214 310 174 291 162 257 169 267 175 277 158 273 139 223 160 247 160 272 150 269 155 245 135 225 144 242 144 261 
2 64 437 540 368 452 355 449 349 442 375 498 329 423 348 440 380 467 366 488 339 427 334 433 356 451 353 476 305 399 313 408 331 426 332 469 271 372 294 383 325 413 323 465 297 395 273 370 291 390 315 458 
3 96 617 714 499 601 502 602 489 587 584 697 470 570 494 598 514 607 563 687 479 574 483 592 498 591 529 655 445 547 459 569 474 573 516 648 419 514 429 528 458 560 512 642 440 543 415 523 435 533 507 621 
4 128 784 884 669 760 685 796 661 750 771 877 640 741 684 773 673 771 764 863 647 736 682 767 664 759 724 824 611 696 636 729 636 730 717 835 576 680 594 715 622 712 720 816 617 708 587 690 594 692 690 797 
5 160 950 1067 814 928 844 928 797 887 938 1057 795 898 828 915 823 913 918 1025 788 889 817 903 809 901 873 981 747 850 777 879 778 870 898 993 730 830 771 868 761 854 867 971 756 864 753 848 742 830 854 959 
6 192 1130 1254 977 1077 981 1074 937 1027 1115 1246 955 1054 965 1061 962 1063 1109 1236 939 1050 951 1040 951 1042 1037 1158 905 1019 932 1036 920 1009 1045 1178 879 990 919 1008 903 997 1030 1152 912 1023 896 979 877 971 1014 1141 
7 224 1307 1438 1124 1218 1123 1220 1082 1186 1297 1425 1100 1198 1107 1207 1111 1204 1289 1415 1096 1187 1087 1194 1091 1195 1219 1333 1067 1156 1083 1188 1059 1155 1225 1346 1036 1128 1053 1147 1044 1146 1214 1322 1071 1160 1026 1115 1018 1125 1205 1311 
8 256 1505 1627 1287 1394 1293 1398 1254 1338 1501 1614 1273 1364 1276 1384 1267 1350 1490 1583 1253 1340 1268 1376 1277 1388 1417 1558 1221 1312 1265 1351 1224 1325 1422 1563 1191 1293 1212 1331 1215 1309 1411 1527 1229 1324 1179 1273 1188 1283 1404 1515 
9 288 1675 1802 1444 1534 1448 1540 1395 1484 1671 1784 1415 1498 1434 1535 1399 1488 1641 1743 1390 1467 1426 1523 1442 1548 1608 1694 1366 1463 1402 1506 1378 1470 1612 1701 1347 1442 1380 1479 1356 1455 1576 1685 1371 1458 1326 1406 1336 1425 1569 1667 
10 320 1850 1957 1580 1679 1589 1693 1530 1623 1834 1947 1550 1645 1583 1688 1538 1629 1818 1920 1516 1623 1574 1669 1594 1704 1763 1877 1512 1614 1554 1656 1521 1611 1755 1856 1492 1585 1527 1633 1504 1600 1734 1843 1507 1607 1457 1558 1472 1573 1719 1830 
11 352 2006 2119 1737 1836 1739 1837 1691 1781 1997 2115 1697 1808 1733 1830 1681 1772 1978 2088 1668 1780 1718 1823 1750 1846 1930 2039 1662 1769 1702 1806 1661 1758 1916 2020 1636 1745 1678 1787 1651 1754 1899 2012 1653 1762 1610 1710 1618 1727 1887 1991 
12 384 2194 2335 1910 2002 1905 2011 1848 1967 2187 2297 1876 1963 1898 1993 1841 1962 2158 2270 1842 1940 1890 1972 1915 2021 2112 2239 1838 1935 1869 1968 1832 1932 2110 2199 1810 1916 1855 1944 1821 1905 2095 2192 1829 1920 1776 1874 1794 1891 2062 2179 
