0 0 32 178 32 163 34 175 29 176 35 161 29 171 20 135 15 128 28 154 19 133 30 165 25 153 22 141 22 147 23 152 18 143 17 127 12 121 13 129 8 111 12 117 7 109 8 111 3 104 9 99 4 91 5 95 0 86 
1 32 232 359 214 331 236 353 228 335 224 351 226 347 185 329 182 284 213 339 197 319 222 346 209 309 202 329 204 311 209 338 197 303 187 325 181 291 193 317 167 272 169 315 157 277 159 307 159 264 146 254 139 248 144 261 135 243 
2 64 420 535 399 533 418 517 389 482 411 531 432 550 385 491 371 468 389 524 385 511 405 508 357 455 381 520 375 505 395 497 349 449 374 505 355 472 370 477 321 431 367 501 339 462 361 470 314 415 300 399 297 424 323 438 293 393 
3 96 604 717 601 713 609 719 546 642 594 711 608 722 578 691 533 632 583 701 566 682 574 686 525 620 573 696 558 674 556 676 515 613 553 692 526 640 548 667 492 605 548 686 519 632 529 646 462 589 460 561 487 590 485 596 440 563 
4 128 800 927 798 911 790 903 724 830 783 917 786 887 767 863 715 815 769 896 762 866 773 884 691 792 792 910 753 860 766 859 686 785 780 904 707 806 749 846 679 772 761 889 701 802 714 821 654 767 632 730 660 774 669 782 628 747 
5 160 1000 1104 968 1087 955 1058 905 1022 985 1095 947 1077 915 1024 891 1015 956 1069 928 1055 934 1050 879 998 972 1082 917 1036 911 1019 841 991 963 1076 858 952 893 1003 823 958 943 1065 874 978 871 980 817 930 798 937 827 938 836 941 796 919 
6 192 1165 1269 1143 1261 1120 1230 1083 1189 1153 1259 1138 1253 1079 1190 1075 1181 1119 1235 1105 1222 1109 1216 1069 1174 1134 1243 1092 1210 1075 1186 1059 1170 1127 1239 1011 1123 1067 1169 1005 1149 1111 1229 1042 1157 1035 1143 984 1113 992 1087 988 1113 990 1099 976 1103 
7 224 1359 1458 1312 1432 1290 1399 1256 1365 1326 1425 1308 1423 1263 1385 1254 1357 1283 1399 1272 1389 1283 1376 1250 1348 1302 1416 1268 1381 1247 1362 1237 1343 1293 1412 1186 1299 1239 1358 1199 1321 1277 1395 1228 1339 1201 1315 1162 1289 1142 1253 1179 1289 1155 1273 1155 1277 
8 256 1527 1641 1504 1626 1489 1608 1436 1550 1498 1599 1493 1606 1481 1599 1434 1535 1486 1581 1470 1564 1469 1588 1425 1522 1493 1609 1456 1560 1458 1570 1418 1516 1488 1594 1372 1485 1452 1559 1386 1508 1461 1574 1407 1507 1382 1501 1354 1493 1329 1429 1370 1478 1364 1478 1340 1446 
9 288 1718 1835 1677 1792 1696 1802 1605 1713 1657 1777 1672 1788 1651 1782 1595 1700 1629 1752 1621 1756 1643 1765 1588 1696 1670 1789 1611 1722 1630 1741 1580 1690 1649 1760 1535 1655 1619 1737 1570 1686 1624 1737 1593 1699 1555 1663 1565 1682 1491 1586 1529 1636 1530 1639 1502 1617 
10 320 1894 2004 1845 1967 1871 1990 1800 1902 1846 1950 1839 1960 1831 1952 1760 1892 1827 1937 1810 1929 1815 1944 1750 1879 1863 1968 1779 1890 1793 1921 1743 1867 1817 1925 1706 1823 1786 1912 1733 1858 1808 1921 1767 1867 1714 1823 1729 1846 1635 1745 1684 1804 1705 1806 1665 1773 
11 352 2058 2156 2018 2141 2063 2173 1979 2064 2014 2131 2008 2132 2020 2116 1957 2056 1991 2123 1979 2099 2005 2112 1949 2049 2028 2135 1948 2061 1974 2098 1928 2043 1981 2104 1875 1997 1962 2084 1915 2031 1974 2100 1916 2031 1885 2012 1908 2021 1802 1907 1854 1989 1877 1983 1825 1938 
12 384 2232 2367 2214 2318 2244 2342 2147 2262 2218 2338 2221 2348 2187 2310 2122 2249 2208 2332 2168 2278 2180 2305 2120 2240 2206 2323 2134 2264 2167 2274 2111 2234 2184 2315 2073 2202 2164 2266 2100 2218 2171 2300 2127 2227 2090 2198 2087 2209 1983 2119 2063 2183 2060 2178 2009 2114 
13 416 2439 2545 2368 2475 2414 2518 2360 2467 2431 2535 2400 2522 2361 2489 2352 2454 2397 2510 2328 2436 2373 2478 2304 2430 2383 2505 2322 2421 2328 2459 2291 2419 2375 2496 2251 2357 2319 2437 2268 2389 2347 2467 2286 2381 2250 2365 2258 2379 2181 2305 2236 2342 2237 2338 2167 2276 
14 448 2616 2718 2528 2638 2582 2685 2537 2646 2608 2708 2571 2694 2547 2660 2530 2636 2586 2699 2485 2606 2540 2643 2524 2625 2568 2683 2481 2586 2508 2630 2479 2598 2553 2678 2410 2512 2494 2622 2439 2569 2519 2642 2452 2557 2418 2530 2425 2551 2355 2475 2396 2497 2389 2501 2344 2447 
15 480 2776 2876 2698 2819 2747 2860 2715 2821 2761 2868 2745 2862 2715 2825 2709 2811 2748 2861 2657 2772 2695 2817 2701 2802 2733 2854 2646 2756 2677 2793 2658 2778 2729 2842 2563 2679 2673 2783 2618 2746 2687 2800 2616 2729 2598 2706 2604 2738 2523 2658 2543 2650 2556 2664 2506 2610 
16 512 2984 3093 2890 3049 2929 3038 2912 3010 2947 3063 2929 3057 2902 3012 2891 2996 2935 3037 2850 2957 2891 3001 2875 2983 2924 3032 2823 2939 2862 2972 2853 2976 2911 3020 2751 2886 2855 2963 2810 2949 2865 3009 2800 2911 2786 2918 2808 2923 2724 2834 2728 2848 2769 2882 2683 2787 
17 544 3159 3271 3108 3221 3106 3254 3084 3180 3150 3259 3115 3252 3062 3220 3066 3155 3120 3229 3038 3158 3051 3176 3054 3149 3080 3199 3034 3143 3029 3146 3027 3136 3070 3186 2945 3069 3021 3135 3000 3118 3059 3178 2991 3099 2968 3069 2978 3098 2884 3004 2895 3023 2940 3043 2850 2965 
18 576 3336 3441 3279 3408 3319 3430 3248 3357 3328 3430 3302 3449 3275 3410 3231 3336 3296 3401 3214 3332 3227 3340 3227 3326 3248 3372 3207 3324 3205 3313 3206 3313 3238 3362 3124 3240 3184 3290 3164 3271 3233 3355 3175 3288 3121 3246 3145 3255 3053 3163 3075 3195 3095 3216 3019 3122 
19 608 3526 3644 3454 3572 3482 3588 3423 3518 3522 3631 3499 3603 3466 3582 3404 3511 3475 3587 3388 3488 3396 3504 3390 3504 3422 3561 3370 3478 3382 3492 3378 3489 3413 3545 3294 3419 3352 3461 3321 3466 3406 3541 3345 3470 3304 3418 3302 3434 3218 3341 3261 3380 3269 3388 3171 3293 
20 640 3714 3844 3639 3762 3661 3784 3600 3729 3707 3826 3676 3788 3655 3758 3586 3676 3691 3804 3578 3684 3579 3710 3587 3691 3640 3799 3556 3663 3568 3679 3556 3656 3633 3760 3483 3597 3532 3664 3530 3635 3617 3724 3545 3646 3494 3622 3494 3605 3408 3553 3460 3576 3458 3594 3364 3495 
21 672 3916 4036 3823 3928 3870 3980 3782 3901 3878 3997 3843 3954 3809 3921 3765 3866 3858 3968 3742 3866 3764 3884 3751 3852 3848 3958 3718 3850 3733 3855 3709 3822 3813 3929 3650 3754 3721 3818 3685 3792 3778 3892 3710 3828 3671 3776 3658 3778 3606 3712 3634 3732 3650 3744 3560 3652 
22 704 4094 4225 3986 4093 4028 4142 3966 4088 4072 4176 4004 4118 3970 4116 3960 4075 4018 4140 3923 4024 3940 4052 3916 4047 4009 4131 3903 4020 3908 4016 3892 4005 3990 4102 3804 3912 3878 3987 3846 3974 3946 4056 3884 3994 3836 3950 3830 3944 3766 3869 3780 3888 3792 3899 3700 3808 
23 736 4283 4395 4162 4264 4190 4292 4152 4248 4229 4348 4166 4269 4176 4280 4128 4232 4193 4322 4079 4196 4106 4219 4098 4210 4186 4299 4071 4186 4067 4168 4065 4178 4152 4261 3964 4061 4040 4148 4032 4137 4106 4215 4044 4156 4006 4128 4014 4111 3934 4030 3944 4048 3954 4086 3874 3990 
24 768 4464 4563 4349 4475 4360 4472 4316 4426 4418 4527 4347 4469 4346 4452 4309 4403 4404 4496 4266 4380 4291 4414 4281 4379 4389 4485 4259 4359 4251 4344 4243 4349 4352 4472 4158 4280 4221 4329 4205 4331 4289 4422 4226 4339 4212 4309 4192 4307 4128 4253 4131 4241 4150 4263 4068 4206 
25 800 4649 4757 4543 4674 4554 4670 4502 4607 4593 4722 4522 4635 4513 4624 4486 4601 4545 4680 4430 4570 4461 4587 4443 4581 4538 4672 4421 4534 4396 4500 4405 4530 4534 4641 4343 4441 4385 4488 4384 4509 4474 4574 4388 4498 4372 4477 4357 4467 4310 4412 4292 4406 4314 4416 4262 4372 
26 832 4816 4967 4726 4868 4724 4822 4657 4778 4812 4932 4707 4820 4696 4800 4651 4763 4738 4855 4639 4747 4633 4745 4644 4758 4730 4841 4591 4701 4558 4660 4585 4695 4692 4826 4490 4599 4547 4649 4574 4682 4629 4747 4554 4666 4539 4644 4516 4617 4462 4550 4455 4565 4466 4576 4419 4543 
27 864 5012 5104 4944 5078 4878 4971 4841 4943 4981 5086 4876 4998 4857 4963 4835 4936 4913 5024 4798 4912 4791 4887 4818 4930 4897 5003 4782 4891 4713 4814 4749 4866 4883 4990 4661 4770 4708 4809 4734 4859 4800 4925 4715 4845 4703 4804 4672 4792 4603 4717 4621 4740 4628 4732 4589 4720 
28 896 5187 5302 5158 5267 5047 5155 5026 5162 5157 5275 5085 5210 5038 5134 5020 5148 5092 5214 4985 5117 4958 5059 5007 5120 5083 5193 4976 5083 4881 5015 4938 5046 5071 5178 4867 5006 4896 4998 4925 5039 4989 5090 4909 5042 4886 4982 4865 4963 4792 4946 4842 4981 4797 4900 4783 4901 
29 928 5355 5458 5320 5447 5203 5347 5219 5357 5332 5443 5263 5378 5191 5322 5215 5326 5269 5382 5176 5288 5112 5225 5209 5318 5244 5349 5146 5246 5065 5173 5110 5237 5230 5340 5060 5180 5055 5160 5106 5230 5151 5251 5092 5205 5033 5130 5024 5131 4996 5100 5048 5168 4954 5053 4952 5079 
30 960 5532 5644 5522 5649 5413 5521 5406 5497 5498 5604 5464 5568 5380 5508 5386 5487 5436 5547 5342 5488 5275 5404 5378 5482 5400 5521 5309 5412 5236 5364 5287 5400 5392 5504 5239 5353 5212 5359 5281 5396 5318 5422 5255 5367 5182 5308 5205 5306 5158 5260 5223 5338 5103 5196 5127 5249 
31 992 5692 5798 5694 5803 5581 5675 5552 5671 5656 5768 5619 5725 5559 5667 5546 5658 5596 5711 5545 5660 5454 5564 5532 5649 5574 5678 5470 5585 5440 5539 5462 5582 5556 5668 5406 5509 5431 5535 5449 5576 5476 5578 5419 5541 5368 5480 5370 5476 5313 5418 5391 5500 5252 5388 5296 5422 
32 1024 5863 5965 5892 6023 5755 5865 5760 5887 5829 5931 5796 5924 5748 5849 5743 5875 5783 5908 5731 5848 5655 5778 5736 5845 5770 5900 5652 5764 5607 5723 5652 5770 5750 5866 5580 5719 5614 5710 5645 5758 5655 5775 5626 5751 5541 5658 5584 5698 5495 5620 5571 5687 5514 5625 5484 5608 
33 1056 6042 6193 6074 6214 5950 6058 5940 6076 6023 6153 5984 6087 5916 6025 5932 6056 5957 6072 5897 6006 5835 5960 5926 6040 5948 6066 5830 5948 5774 5879 5826 5956 5917 6034 5770 5889 5759 5857 5812 5920 5830 5927 5814 5918 5725 5840 5749 5853 5684 5789 5739 5854 5680 5770 5676 5787 
34 1088 6257 6368 6260 6368 6113 6220 6138 6247 6207 6322 6146 6267 6082 6189 6106 6243 6125 6237 6066 6182 6011 6123 6095 6230 6117 6228 5998 6113 5936 6044 6013 6127 6084 6199 5940 6046 5906 6017 5976 6102 5976 6100 5980 6083 5890 5996 5913 6027 5838 5938 5911 6015 5822 5928 5841 5948 
35 1120 6421 6518 6422 6522 6265 6357 6306 6416 6395 6507 6320 6429 6239 6353 6297 6401 6301 6441 6232 6341 6172 6284 6278 6375 6294 6414 6166 6276 6099 6204 6185 6286 6261 6381 6098 6201 6070 6178 6160 6269 6163 6286 6138 6245 6052 6159 6090 6218 5991 6109 6061 6174 5982 6094 6004 6115 
36 1152 6608 6717 6590 6692 6424 6534 6482 6620 6577 6690 6498 6610 6441 6560 6475 6600 6504 6606 6424 6536 6352 6463 6443 6575 6496 6586 6343 6456 6289 6400 6354 6472 6456 6575 6273 6398 6273 6377 6338 6448 6375 6509 6316 6437 6267 6373 6293 6409 6203 6339 6256 6355 6158 6290 6223 6345 
37 1184 6815 6947 6751 6866 6588 6709 6715 6822 6742 6859 6665 6776 6610 6755 6663 6779 6659 6771 6585 6684 6516 6637 6627 6749 6648 6757 6509 6616 6448 6567 6540 6641 6628 6730 6446 6548 6439 6538 6509 6615 6584 6694 6492 6593 6430 6528 6460 6586 6406 6513 6412 6514 6347 6452 6396 6492 
38 1216 7002 7112 6938 7050 6768 6878 6882 6987 6913 7025 6831 6952 6809 6902 6847 6951 6832 6936 6747 6855 6686 6821 6797 6927 6823 6929 6670 6797 6624 6729 6711 6813 6793 6908 6600 6708 6598 6721 6677 6783 6746 6870 6656 6768 6581 6700 6636 6741 6580 6675 6570 6678 6503 6602 6556 6652 
39 1248 7162 7259 7097 7204 6936 7050 7059 7163 7076 7183 7010 7126 6964 7063 6996 7117 6997 7099 6922 7039 6868 6975 6991 7105 6984 7090 6851 6974 6786 6890 6862 6971 6958 7068 6762 6888 6776 6884 6833 6942 6917 7032 6817 6930 6745 6863 6788 6913 6725 6837 6734 6840 6665 6791 6698 6805 
40 1280 7363 7482 7276 7379 7145 7275 7255 7365 7251 7370 7195 7305 7158 7284 7188 7325 7187 7311 7132 7231 7045 7166 7167 7297 7174 7285 7041 7168 6972 7084 7040 7147 7164 7272 6958 7083 6966 7075 7014 7130 7096 7194 7032 7144 6935 7056 6982 7091 6922 7064 6919 7054 6870 6989 6916 7021 
41 1312 7534 7656 7441 7563 7371 7489 7472 7581 7423 7522 7357 7465 7340 7457 7406 7536 7359 7464 7281 7398 7220 7328 7353 7482 7343 7449 7219 7328 7134 7253 7220 7336 7327 7435 7140 7235 7125 7242 7204 7321 7249 7355 7198 7298 7115 7238 7139 7258 7123 7226 7105 7210 7042 7156 7071 7181 
42 1344 7711 7825 7613 7719 7547 7658 7643 7746 7584 7690 7530 7636 7512 7622 7601 7702 7514 7650 7449 7572 7392 7522 7547 7670 7500 7628 7375 7476 7306 7445 7389 7517 7495 7615 7290 7385 7293 7417 7379 7502 7408 7510 7353 7461 7288 7413 7306 7429 7279 7383 7265 7366 7206 7316 7246 7345 
43 1376 7874 7988 7774 7887 7711 7814 7806 7900 7750 7861 7694 7799 7676 7789 7757 7881 7700 7816 7617 7725 7574 7688 7718 7839 7682 7797 7536 7648 7504 7607 7594 7695 7664 7786 7437 7551 7478 7592 7552 7684 7565 7678 7518 7630 7468 7580 7491 7623 7439 7543 7422 7545 7381 7493 7401 7506 
44 1408 8060 8213 7988 8101 7891 7986 7974 8089 7935 8049 7881 8024 7876 7971 7966 8067 7925 8028 7798 7912 7783 7883 7904 8027 7899 8008 7727 7870 7681 7803 7810 7915 7863 7983 7625 7742 7670 7784 7750 7865 7785 7903 7718 7823 7662 7778 7688 7819 7621 7780 7619 7730 7573 7696 7583 7712 
45 1440 8268 8383 8193 8300 8057 8177 8197 8313 8099 8226 8078 8202 8034 8157 8150 8266 8091 8198 8005 8126 7941 8043 8076 8185 8069 8179 7937 8033 7861 7965 8003 8113 8040 8150 7793 7904 7847 7961 7932 8043 7960 8076 7878 7989 7835 7952 7870 7977 7842 7947 7784 7896 7753 7855 7784 7891 
46 1472 8445 8565 8353 8461 8249 8355 8369 8473 8295 8408 8257 8386 8222 8344 8326 8429 8258 8379 8177 8284 8103 8209 8252 8361 8235 8347 8089 8217 8017 8144 8174 8287 8206 8306 7956 8074 8013 8137 8107 8228 8128 8248 8045 8152 8001 8132 8031 8134 7999 8114 7946 8056 7902 7996 7941 8051 
47 1504 8618 8732 8512 8619 8417 8520 8528 8645 8463 8575 8437 8550 8408 8511 8483 8605 8431 8548 8342 8454 8291 8398 8415 8542 8400 8508 8270 8394 8200 8332 8341 8450 8359 8493 8132 8240 8189 8323 8281 8391 8319 8419 8210 8313 8183 8319 8193 8295 8165 8279 8112 8224 8062 8167 8097 8220 
48 1536 8799 8958 8691 8790 8591 8720 8725 8861 8645 8760 8616 8751 8576 8689 8677 8811 8621 8746 8543 8650 8478 8594 8616 8732 8606 8717 8457 8607 8407 8530 8516 8629 8559 8677 8305 8429 8395 8516 8456 8582 8496 8610 8379 8501 8393 8495 8397 8508 8353 8469 8289 8415 8251 8367 8286 8404 
49 1568 9024 9143 8885 8987 8786 8898 8930 9032 8827 8937 8808 8929 8762 8863 8874 9001 8814 8931 8724 8826 8655 8806 8788 8898 8766 8901 8660 8765 8601 8712 8699 8819 8740 8851 8482 8595 8574 8683 8637 8744 8663 8777 8571 8678 8552 8672 8563 8669 8533 8639 8468 8581 8430 8526 8459 8571 
50 1600 9189 9292 9047 9148 8977 9083 9084 9191 8996 9114 8982 9108 8931 9052 9049 9167 8985 9103 8889 8995 8854 8969 8959 9060 8953 9062 8815 8919 8772 8872 8866 8974 8907 9013 8642 8759 8735 8842 8793 8909 8823 8926 8730 8840 8729 8832 8715 8832 8694 8802 8633 8746 8580 8699 8620 8728 
51 1632 9342 9433 9209 9313 9135 9247 9237 9340 9166 9261 9167 9272 9098 9217 9222 9320 9153 9253 9055 9158 9020 9125 9110 9210 9126 9229 8966 9080 8923 9041 9024 9135 9070 9171 8804 8911 8904 9012 8963 9068 8980 9093 8895 9010 8883 8997 8881 8991 8864 8971 8797 8906 8744 8858 8783 8888 
52 1664 9538 9678 9387 9529 9334 9439 9408 9534 9344 9456 9381 9491 9302 9423 9403 9509 9331 9428 9264 9392 9194 9341 9296 9428 9291 9411 9150 9267 9121 9242 9202 9316 9240 9367 8991 9119 9074 9181 9169 9300 9159 9269 9090 9202 9079 9210 9052 9177 9090 9198 8971 9088 8959 9089 8970 9096 
53 1696 9728 9838 9609 9721 9513 9634 9594 9708 9548 9657 9546 9658 9500 9599 9575 9689 9493 9626 9442 9551 9398 9524 9482 9616 9468 9571 9324 9451 9300 9394 9367 9503 9418 9542 9173 9283 9229 9329 9354 9466 9324 9422 9253 9360 9260 9364 9232 9334 9245 9348 9141 9242 9146 9255 9149 9258 
54 1728 9898 10004 9776 9900 9680 9779 9765 9869 9716 9829 9728 9835 9660 9770 9748 9858 9682 9804 9624 9742 9573 9704 9670 9792 9641 9756 9500 9616 9448 9556 9553 9662 9597 9707 9338 9482 9382 9486 9518 9620 9478 9586 9417 9522 9412 9530 9383 9491 9401 9505 9289 9404 9305 9408 9309 9415 
55 1760 10056 10147 9954 10084 9835 9943 9928 10021 9883 9977 9894 10002 9831 9934 9922 10017 9854 9959 9800 9908 9752 9865 9844 9960 9810 9917 9672 9792 9607 9720 9724 9824 9768 9877 9538 9652 9536 9674 9682 9804 9635 9746 9581 9694 9586 9696 9543 9648 9559 9666 9455 9569 9460 9565 9471 9585 
56 1792 10215 10332 10183 10292 10044 10173 10125 10241 10058 10178 10074 10201 10030 10144 10093 10207 10042 10136 9991 10106 9930 10065 10023 10149 9983 10124 9881 10014 9819 9928 9930 10045 9952 10081 9718 9824 9758 9869 9864 9988 9828 9944 9765 9885 9776 9908 9721 9830 9739 9850 9657 9768 9640 9738 9653 9784 
57 1824 10390 10516 10346 10464 10225 10352 10296 10423 10234 10340 10264 10403 10203 10315 10288 10402 10193 10310 10169 10272 10128 10243 10197 10313 10180 10294 10069 10191 9987 10099 10100 10213 10130 10249 9879 9987 9924 10038 10039 10144 10010 10118 9941 10052 9962 10091 9886 9992 9925 10050 9822 9921 9786 9900 9836 9948 
58 1856 10564 10670 10518 10627 10407 10541 10477 10600 10407 10533 10456 10559 10371 10483 10449 10549 10364 10485 10325 10436 10304 10416 10365 10493 10349 10456 10247 10371 10159 10268 10270 10378 10299 10416 10046 10157 10093 10211 10193 10305 10166 10274 10124 10232 10140 10247 10068 10177 10103 10209 9970 10079 9951 10060 10003 10117 
59 1888 10721 10826 10685 10803 10592 10698 10653 10763 10583 10696 10608 10733 10551 10659 10606 10713 10537 10660 10483 10593 10469 10579 10562 10670 10504 10599 10418 10524 10330 10453 10433 10539 10472 10571 10210 10312 10276 10401 10354 10464 10321 10445 10285 10393 10326 10443 10233 10338 10266 10372 10130 10243 10115 10233 10163 10281 
60 1920 10893 11028 10873 11021 10768 10903 10840 10973 10778 10905 10808 10924 10745 10863 10787 10901 10729 10839 10710 10815 10641 10773 10765 10894 10665 10781 10588 10722 10538 10647 10637 10735 10651 10755 10382 10495 10474 10583 10531 10642 10511 10639 10466 10585 10523 10619 10404 10522 10448 10560 10317 10441 10300 10429 10350 10460 
61 1952 11081 11201 11069 11170 10953 11065 11033 11141 10998 11118 10978 11085 10928 11042 10967 11083 10890 11004 10876 10985 10834 10945 10952 11064 10835 10933 10783 10886 10709 10813 10783 10909 10813 10921 10553 10677 10636 10743 10701 10804 10689 10798 10638 10777 10671 10788 10584 10699 10628 10735 10488 10599 10497 10610 10508 10631 
62 1984 11255 11353 11238 11353 11135 11254 11192 11305 11171 11280 11136 11253 11098 11231 11131 11229 11071 11195 11039 11140 10996 11120 11112 11208 10990 11106 10945 11051 10870 10977 10960 11068 10980 11100 10739 10842 10794 10913 10866 10995 10846 10956 10831 10953 10845 10968 10755 10874 10805 10911 10652 10762 10665 10765 10677 10779 
