0 0 43 205 39 209 37 185 35 170 25 158 36 184 33 174 32 161 34 186 29 178 26 166 25 152 30 172 19 142 16 146 18 130 22 140 22 152 19 136 15 122 10 119 9 108 6 105 5 110 15 115 14 117 11 114 10 105 5 91 4 86 1 87 0 84 
1 32 323 444 264 391 272 414 227 352 248 385 250 381 236 377 216 345 243 375 232 360 228 347 212 329 232 368 198 317 220 342 206 321 228 357 224 345 210 327 194 313 196 349 168 295 156 303 181 307 176 339 190 284 194 299 156 297 164 293 162 268 151 262 134 250 
2 64 525 682 472 623 468 596 425 550 508 644 450 611 452 583 419 540 458 575 430 567 428 565 407 528 421 563 373 503 403 561 397 519 416 544 423 542 395 523 389 510 408 537 367 493 383 490 371 499 401 532 356 466 369 483 363 472 353 500 325 462 319 447 301 433 
3 96 748 851 687 795 665 781 635 739 726 837 679 786 659 772 610 724 656 791 638 762 617 746 598 714 637 775 587 722 611 738 590 703 619 766 600 752 607 732 586 697 613 762 582 707 556 703 578 691 594 754 531 656 548 687 569 675 552 660 523 627 513 640 480 617 
4 128 923 1047 876 994 880 1070 826 988 913 1019 869 981 850 995 813 936 890 1006 839 937 842 971 799 917 857 996 801 923 830 957 802 905 844 979 827 933 819 950 788 899 846 965 785 905 811 944 773 890 831 941 783 880 774 919 765 886 750 860 734 860 737 872 686 816 
5 160 1142 1260 1063 1196 1158 1290 1062 1184 1113 1245 1040 1161 1105 1258 1044 1174 1102 1221 1027 1150 1052 1188 1026 1157 1086 1217 973 1083 1042 1174 979 1138 1066 1190 1016 1119 1034 1148 975 1114 1031 1165 956 1058 1020 1140 964 1087 990 1128 951 1048 984 1097 960 1073 917 1011 909 1022 935 1064 872 1003 
6 192 1341 1474 1288 1410 1391 1537 1284 1402 1333 1445 1242 1349 1351 1465 1240 1363 1282 1405 1208 1339 1262 1380 1231 1357 1274 1395 1168 1312 1225 1359 1204 1329 1250 1375 1186 1331 1215 1338 1192 1322 1230 1367 1124 1234 1211 1331 1144 1308 1184 1293 1107 1223 1162 1299 1132 1280 1077 1208 1075 1201 1116 1238 1050 1148 
7 224 1540 1665 1460 1589 1594 1717 1464 1584 1509 1645 1424 1524 1513 1637 1456 1579 1491 1622 1400 1515 1443 1568 1442 1564 1458 1586 1369 1494 1433 1560 1422 1550 1450 1575 1390 1503 1427 1546 1410 1538 1429 1570 1307 1435 1418 1528 1373 1488 1359 1481 1303 1414 1365 1497 1335 1448 1264 1371 1261 1381 1311 1454 1213 1317 
8 256 1779 1905 1656 1771 1820 1977 1647 1749 1716 1835 1604 1739 1709 1839 1670 1800 1708 1830 1595 1727 1688 1808 1652 1767 1656 1808 1570 1681 1662 1794 1643 1735 1649 1800 1592 1718 1641 1775 1614 1731 1653 1788 1509 1620 1629 1765 1558 1703 1572 1712 1502 1607 1617 1747 1543 1662 1453 1601 1491 1596 1539 1666 1393 1556 
9 288 1977 2090 1865 1994 2070 2204 1836 1961 1953 2063 1849 1990 1932 2061 1861 1973 1889 2034 1819 1947 1878 1998 1831 1934 1884 2026 1761 1899 1859 1963 1817 1930 1863 1998 1780 1939 1851 1953 1792 1899 1855 1992 1695 1802 1821 1945 1757 1856 1763 1876 1663 1790 1815 1924 1714 1841 1675 1796 1651 1756 1735 1832 1612 1727 
10 320 2179 2289 2068 2199 2283 2401 2049 2165 2135 2249 2055 2187 2146 2245 2029 2154 2098 2243 2027 2163 2094 2232 2020 2149 2079 2216 1955 2077 2050 2192 2001 2139 2058 2211 2002 2156 2025 2177 1981 2111 2052 2187 1873 2019 2012 2131 1910 2045 1957 2071 1857 1979 1984 2101 1891 2008 1844 1988 1827 1971 1885 2032 1775 1871 
11 352 2357 2463 2269 2382 2463 2576 2241 2382 2314 2441 2261 2364 2327 2457 2237 2374 2297 2431 2239 2350 2301 2414 2226 2348 2281 2401 2130 2287 2253 2378 2212 2334 2261 2389 2218 2333 2236 2370 2173 2330 2257 2383 2085 2206 2222 2336 2119 2266 2144 2271 2048 2175 2161 2266 2070 2183 2044 2171 2040 2171 2083 2218 1943 2074 
12 384 2540 2671 2475 2639 2708 2851 2491 2611 2512 2653 2457 2598 2531 2664 2469 2585 2508 2631 2441 2560 2501 2635 2454 2564 2500 2623 2377 2480 2454 2600 2446 2554 2469 2612 2428 2552 2446 2595 2424 2542 2460 2602 2329 2447 2440 2552 2336 2473 2412 2520 2264 2395 2362 2472 2319 2461 2240 2415 2272 2404 2309 2443 2141 2317 
13 416 2774 2907 2727 2855 2947 3076 2703 2881 2734 2837 2679 2812 2751 2906 2669 2820 2712 2828 2649 2781 2703 2822 2659 2761 2695 2810 2539 2670 2655 2800 2629 2735 2684 2802 2634 2761 2647 2789 2615 2724 2676 2796 2520 2659 2641 2774 2537 2653 2576 2705 2455 2566 2545 2673 2524 2643 2481 2606 2468 2590 2505 2627 2393 2501 
14 448 2968 3111 2912 3050 3127 3239 2946 3054 2925 3052 2891 3040 2955 3087 2889 3013 2915 3036 2869 3009 2895 3028 2865 2996 2886 3016 2733 2886 2863 2986 2808 2924 2867 3008 2818 2929 2839 2974 2783 2897 2859 2988 2716 2847 2830 2942 2714 2857 2766 2879 2625 2743 2747 2874 2697 2833 2661 2783 2643 2772 2684 2806 2568 2680 
15 480 3162 3297 3109 3244 3305 3429 3113 3232 3126 3236 3098 3227 3137 3263 3067 3210 3096 3222 3074 3198 3094 3220 3046 3164 3090 3206 2951 3067 3051 3159 2986 3094 3078 3195 3016 3142 3043 3148 2968 3083 3074 3191 2900 3034 3008 3117 2917 3028 2962 3103 2804 2921 2927 3056 2903 3018 2847 2958 2835 2965 2878 2994 2741 2851 
