0 0 11 311 14 313 15 308 10 299 6 300 9 302 10 315 5 303 1 283 4 284 5 285 0 282 
1 32 358 631 360 635 355 629 346 625 349 626 351 627 362 638 352 629 331 606 333 607 335 608 329 605 
2 64 681 960 683 962 678 956 672 951 674 952 676 954 685 963 679 958 654 929 659 931 657 930 651 928 
3 96 1006 1283 1008 1284 1003 1280 997 1275 999 1277 1001 1278 1010 1285 1004 1282 975 1249 980 1251 978 1250 973 1248 
4 128 1345 1638 1347 1640 1343 1633 1337 1628 1339 1630 1341 1632 1349 1648 1343 1633 1311 1597 1317 1598 1319 1599 1313 1596 
5 160 1687 1963 1689 1970 1681 1956 1676 1952 1678 1954 1680 1955 1700 1982 1685 1962 1645 1926 1647 1935 1650 1936 1645 1925 
6 192 2010 2284 2016 2290 2005 2283 1999 2273 2001 2275 2002 2277 2032 2312 2011 2289 1975 2250 1982 2266 1984 2272 1971 2249 
7 224 2330 2606 2338 2613 2330 2608 2319 2596 2323 2597 2325 2602 2361 2644 2336 2615 2297 2575 2312 2595 2317 2604 2295 2576 
8 256 2666 2946 2674 2952 2672 2962 2657 2934 2660 2942 2663 2943 2704 2984 2675 2952 2637 2914 2656 2933 2666 2946 2638 2915 
9 288 2995 3265 2999 3269 3010 3283 2982 3251 2989 3261 2992 3262 3035 3310 3004 3271 2961 3232 2982 3250 2993 3264 2964 3234 
10 320 3313 3585 3315 3586 3329 3604 3298 3566 3307 3580 3310 3581 3360 3636 3320 3592 3279 3551 3296 3565 3312 3594 3280 3552 
11 352 3630 3900 3632 3901 3649 3926 3614 3881 3625 3895 3627 3897 3683 3959 3639 3914 3598 3871 3610 3880 3642 3913 3598 3872 
12 384 3962 4243 3966 4246 3987 4270 3942 4220 3956 4239 3968 4250 4021 4303 3975 4251 3933 4211 3940 4219 3974 4248 3936 4212 
13 416 4290 4564 4293 4562 4318 4593 4268 4543 4286 4560 4297 4567 4350 4626 4301 4568 4258 4533 4266 4534 4295 4563 4261 4539 
14 448 4612 4881 4608 4878 4640 4915 4591 4862 4606 4877 4614 4887 4672 4947 4616 4885 4579 4849 4581 4850 4610 4879 4585 4858 
15 480 4928 5198 4925 5195 4960 5238 4907 5179 4922 5194 4932 5207 4992 5268 4930 5203 4894 5166 4896 5167 4928 5197 4903 5175 
16 512 5260 5548 5261 5549 5298 5592 5242 5534 5254 5541 5267 5554 5333 5621 5265 5552 5226 5511 5230 5512 5258 5542 5235 5525 
17 544 5595 5873 5597 5874 5641 5923 5581 5862 5588 5863 5603 5881 5668 5952 5599 5878 5560 5842 5561 5843 5590 5864 5572 5854 
18 576 5919 6198 5921 6199 5969 6252 5908 6187 5910 6185 5929 6205 5998 6281 5924 6203 5888 6165 5890 6166 5912 6186 5901 6183 
19 608 6243 6521 6245 6522 6299 6582 6234 6511 6230 6509 6252 6530 6326 6608 6248 6526 6211 6489 6212 6490 6232 6508 6228 6507 
20 640 6581 6869 6584 6869 6648 6938 6573 6859 6575 6861 6590 6875 6668 6956 6586 6874 6549 6833 6553 6834 6569 6852 6567 6853 
21 672 6920 7194 6916 7193 6985 7268 6906 7185 6909 7188 6925 7200 7003 7286 6921 7199 6881 7161 6884 7163 6899 7176 6901 7177 
22 704 7241 7517 7240 7516 7314 7596 7231 7511 7234 7513 7249 7524 7332 7614 7245 7522 7208 7485 7209 7486 7222 7503 7224 7502 
23 736 7563 7841 7562 7840 7641 7924 7556 7834 7558 7836 7569 7849 7659 7942 7569 7848 7530 7808 7533 7809 7549 7827 7549 7828 
24 768 7903 8182 7904 8183 7984 8265 7895 8175 7897 8177 7910 8189 8002 8284 7908 8187 7869 8148 7872 8149 7887 8167 7889 8168 
25 800 8229 8500 8231 8501 8312 8588 8223 8494 8224 8496 8238 8505 8331 8607 8235 8502 8197 8468 8198 8469 8214 8486 8216 8487 
26 832 8546 8817 8548 8818 8634 8910 8541 8812 8542 8813 8552 8823 8653 8929 8550 8819 8514 8784 8517 8785 8532 8803 8534 8804 
27 864 8863 9138 8864 9136 8955 9231 8859 9129 8859 9128 8868 9143 8974 9249 8866 9137 8830 9100 8832 9101 8848 9117 8850 9118 
28 896 9200 9479 9197 9473 9291 9573 9193 9472 9189 9471 9203 9490 9309 9592 9199 9481 9161 9439 9166 9440 9177 9452 9179 9453 
29 928 9528 9806 9522 9789 9620 9894 9521 9796 9519 9788 9540 9814 9639 9912 9528 9800 9486 9756 9488 9757 9499 9767 9501 9768 
30 960 9854 10126 9837 10103 9940 10214 9842 10113 9834 10102 9861 10128 9958 10232 9846 10117 9802 10073 9804 10074 9813 10082 9815 10083 
31 992 10171 10439 10150 10416 10259 10533 10158 10428 10148 10415 10175 10441 10277 10551 10162 10432 10118 10387 10120 10388 10127 10396 10130 10397 
32 1024 10503 10773 10481 10751 10593 10871 10497 10776 10479 10750 10505 10775 10611 10890 10495 10771 10450 10722 10452 10723 10456 10729 10460 10730 
33 1056 10823 11088 10799 11069 10918 11189 10830 11093 10797 11063 10825 11092 10937 11210 10821 11087 10769 11036 10771 11037 10776 11049 10780 11060 
34 1088 11135 11405 11115 11389 11235 11509 11140 11407 11111 11378 11138 11406 11256 11529 11133 11403 11082 11350 11084 11351 11095 11371 11107 11376 
35 1120 11450 11717 11434 11707 11554 11826 11454 11720 11423 11697 11452 11718 11574 11845 11448 11716 11395 11665 11398 11666 11416 11686 11421 11687 
