0 0 32 348 28 342 36 359 31 344 15 332 25 337 23 350 24 338 25 340 18 325 20 345 21 327 18 323 15 316 18 330 17 315 10 308 8 298 8 321 7 304 5 299 3 305 13 306 2 284 0 283 0 282 3 285 
1 32 407 696 397 685 419 709 397 685 385 687 393 675 406 699 392 676 394 692 375 666 399 694 380 667 372 678 366 657 380 689 362 660 357 669 347 648 369 679 353 655 352 658 356 652 363 669 334 619 334 629 331 618 336 628 
2 64 750 1035 742 1020 766 1050 736 1017 741 1026 726 1011 757 1038 731 1008 745 1031 717 1003 749 1034 717 1000 735 1022 703 999 742 1027 708 992 725 1012 694 984 735 1023 701 985 708 1002 699 990 720 1013 669 955 676 962 668 961 674 956 
3 96 1090 1385 1070 1363 1102 1383 1068 1351 1077 1376 1065 1356 1095 1379 1061 1343 1083 1381 1052 1350 1087 1375 1048 1337 1073 1372 1044 1342 1080 1371 1039 1329 1067 1367 1029 1323 1074 1364 1032 1325 1048 1359 1037 1336 1067 1358 1002 1286 1008 1302 1007 1309 1002 1287 
4 128 1466 1783 1433 1730 1451 1767 1423 1718 1464 1767 1436 1735 1469 1771 1412 1714 1480 1774 1429 1723 1461 1761 1410 1694 1461 1755 1427 1715 1444 1724 1402 1705 1468 1761 1387 1674 1453 1746 1395 1675 1430 1713 1403 1692 1456 1750 1349 1656 1362 1668 1375 1669 1348 1648 
5 160 1832 2121 1790 2069 1818 2098 1772 2053 1823 2102 1794 2075 1826 2106 1763 2046 1828 2109 1779 2062 1809 2088 1745 2021 1807 2093 1767 2056 1776 2070 1755 2040 1813 2097 1725 2029 1794 2076 1723 2012 1763 2059 1742 2048 1800 2084 1703 1988 1717 2020 1719 2011 1695 1979 
6 192 2169 2452 2119 2411 2148 2428 2102 2389 2151 2436 2132 2417 2157 2439 2093 2379 2160 2440 2112 2405 2138 2426 2069 2356 2142 2425 2105 2401 2118 2407 2088 2367 2146 2432 2077 2378 2123 2413 2060 2351 2113 2408 2095 2397 2132 2422 2035 2320 2066 2365 2058 2361 2025 2312 
7 224 2502 2783 2469 2752 2482 2765 2436 2727 2491 2774 2473 2757 2489 2774 2427 2719 2495 2779 2454 2745 2476 2758 2402 2683 2480 2760 2447 2739 2454 2735 2418 2707 2486 2767 2424 2731 2462 2743 2396 2679 2459 2754 2443 2735 2472 2752 2365 2651 2413 2708 2407 2706 2357 2641 
8 256 2878 3175 2831 3125 2839 3136 2788 3066 2860 3160 2830 3123 2843 3132 2798 3079 2864 3154 2828 3118 2837 3117 2751 3032 2856 3133 2810 3106 2801 3093 2775 3059 2858 3137 2803 3078 2804 3089 2748 3028 2830 3112 2818 3101 2835 3113 2711 2999 2772 3060 2779 3065 2701 2990 
9 288 3226 3501 3178 3449 3190 3462 3116 3389 3209 3484 3182 3455 3180 3451 3133 3412 3201 3475 3171 3443 3171 3442 3086 3372 3184 3464 3155 3435 3142 3429 3107 3384 3192 3471 3130 3421 3138 3422 3075 3356 3169 3452 3148 3428 3164 3436 3047 3322 3108 3398 3113 3390 3037 3315 
