0 0 31 356 0 282 35 366 34 353 28 352 28 354 28 350 21 331 21 336 23 345 22 355 28 348 25 346 18 359 20 340 24 338 18 320 13 316 18 320 14 318 6 311 8 301 15 312 9 305 11 302 3 305 4 288 6 289 1 283 
1 32 416 716 331 624 429 713 406 695 405 712 409 690 403 702 379 674 389 708 397 676 410 707 400 687 397 704 418 696 393 693 391 678 376 700 366 668 372 684 369 667 364 691 349 641 368 676 359 660 358 682 361 661 336 625 340 632 332 631 
2 64 784 1077 672 965 770 1059 750 1043 773 1073 748 1025 756 1051 722 1017 764 1069 727 1017 761 1055 741 1030 759 1067 754 1035 751 1043 731 1024 755 1059 718 1013 736 1037 713 1011 745 1055 688 985 727 1026 707 1005 740 1051 713 1006 672 964 682 977 677 976 
3 96 1153 1436 1011 1301 1113 1406 1091 1377 1134 1428 1073 1367 1100 1396 1063 1363 1126 1424 1066 1356 1106 1402 1084 1373 1120 1418 1086 1369 1091 1392 1071 1367 1114 1416 1064 1351 1085 1384 1056 1355 1103 1412 1030 1323 1076 1380 1050 1349 1097 1408 1056 1341 1009 1311 1026 1322 1021 1339 
4 128 1501 1788 1362 1665 1474 1775 1461 1765 1528 1829 1444 1754 1465 1747 1427 1719 1520 1824 1434 1720 1490 1797 1458 1756 1513 1814 1449 1744 1481 1787 1456 1746 1509 1801 1426 1716 1473 1779 1454 1742 1503 1799 1389 1686 1476 1771 1419 1715 1495 1777 1423 1706 1371 1666 1391 1704 1399 1707 
5 160 1844 2128 1712 1997 1828 2113 1817 2097 1879 2156 1803 2091 1801 2101 1773 2075 1871 2152 1777 2061 1849 2126 1810 2095 1862 2148 1792 2071 1838 2122 1796 2087 1855 2138 1771 2057 1832 2117 1791 2080 1850 2136 1735 2024 1822 2105 1769 2070 1834 2124 1756 2047 1714 1995 1751 2043 1755 2044 
6 192 2185 2472 2043 2332 2162 2453 2151 2442 2212 2496 2141 2424 2149 2443 2126 2418 2204 2490 2110 2397 2180 2468 2146 2433 2200 2486 2121 2401 2171 2466 2137 2429 2195 2482 2105 2384 2167 2462 2130 2423 2190 2476 2075 2376 2154 2449 2121 2414 2180 2467 2098 2382 2041 2324 2091 2382 2091 2380 
7 224 2520 2814 2378 2677 2502 2788 2492 2778 2555 2843 2474 2752 2491 2774 2464 2758 2542 2831 2443 2733 2518 2805 2484 2770 2536 2829 2447 2744 2512 2798 2480 2766 2530 2825 2437 2729 2508 2794 2471 2762 2528 2823 2426 2717 2495 2784 2460 2751 2514 2810 2430 2725 2369 2651 2435 2734 2425 2714 
8 256 2906 3187 2740 3039 2855 3137 2856 3156 2911 3213 2824 3117 2848 3130 2847 3144 2908 3192 2813 3105 2873 3167 2850 3137 2929 3222 2821 3111 2869 3151 2849 3151 2903 3199 2810 3109 2872 3162 2836 3115 2922 3209 2796 3078 2863 3145 2828 3108 2876 3154 2803 3085 2711 2991 2800 3086 2774 3078 
9 288 3239 3523 3089 3384 3189 3464 3208 3484 3284 3561 3164 3446 3179 3459 3201 3480 3243 3527 3155 3434 3220 3491 3191 3465 3274 3547 3160 3438 3203 3476 3199 3474 3253 3534 3168 3450 3212 3487 3163 3467 3267 3542 3135 3421 3194 3468 3158 3457 3204 3505 3139 3425 3038 3314 3135 3413 3125 3401 
10 320 3571 3866 3430 3716 3510 3790 3538 3822 3621 3893 3494 3777 3505 3786 3531 3818 3576 3862 3485 3768 3540 3810 3517 3797 3617 3891 3490 3772 3524 3796 3527 3808 3588 3871 3499 3781 3536 3806 3522 3804 3600 3875 3473 3743 3519 3794 3510 3793 3554 3850 3478 3760 3360 3635 3461 3742 3447 3722 
11 352 3915 4197 3762 4049 3839 4114 3870 4153 3942 4218 3830 4120 3831 4100 3864 4149 3909 4193 3819 4098 3860 4142 3849 4132 3938 4210 3821 4105 3847 4130 3857 4141 3919 4201 3826 4103 3853 4134 3851 4136 3931 4206 3794 4080 3845 4124 3845 4126 3899 4189 3811 4089 3680 3955 3787 4067 3767 4041 
12 384 4293 4605 4109 4417 4182 4462 4222 4531 4284 4603 4189 4483 4164 4452 4240 4537 4290 4597 4170 4451 4214 4501 4225 4517 4276 4563 4187 4471 4212 4495 4220 4502 4288 4573 4185 4477 4202 4490 4232 4521 4299 4593 4149 4439 4194 4477 4217 4495 4269 4551 4158 4443 4015 4296 4128 4425 4101 4384 
13 416 4654 4929 4466 4743 4510 4797 4580 4853 4658 4934 4535 4804 4505 4789 4588 4857 4648 4925 4498 4785 4552 4824 4565 4840 4626 4905 4521 4790 4543 4820 4553 4836 4622 4897 4528 4799 4539 4814 4571 4846 4643 4920 4489 4767 4527 4801 4546 4832 4599 4893 4493 4771 4343 4618 4472 4755 4431 4706 
14 448 4975 5250 4794 5078 4845 5120 4902 5179 4982 5263 4859 5135 4838 5116 4907 5183 4971 5246 4832 5110 4871 5147 4888 5170 4951 5231 4842 5116 4867 5143 4884 5160 4946 5223 4852 5127 4863 5136 4893 5172 4966 5242 4813 5093 4850 5127 4879 5156 4942 5219 4818 5097 4664 4932 4801 5079 4752 5028 
15 480 5297 5576 5123 5403 5168 5440 5225 5505 5314 5594 5182 5457 5161 5431 5232 5522 5293 5568 5157 5430 5192 5472 5217 5490 5276 5558 5166 5442 5188 5465 5211 5486 5271 5551 5175 5448 5183 5459 5219 5501 5289 5564 5140 5417 5175 5449 5203 5481 5269 5547 5144 5421 4977 5245 5125 5409 5073 5349 
16 512 5665 5971 5468 5757 5510 5799 5577 5871 5658 5963 5530 5826 5500 5794 5589 5894 5649 5954 5500 5815 5537 5847 5567 5885 5638 5941 5513 5800 5541 5841 5585 5881 5635 5918 5525 5822 5535 5827 5575 5875 5647 5949 5495 5784 5533 5823 5563 5852 5620 5909 5516 5811 5305 5590 5469 5770 5409 5700 
17 544 6021 6298 5804 6091 5849 6153 5925 6209 6013 6294 5878 6171 5843 6143 5947 6229 6004 6286 5872 6157 5898 6186 5936 6220 5990 6272 5855 6134 5892 6173 5940 6225 5967 6265 5874 6162 5875 6161 5930 6216 5996 6276 5831 6130 5871 6157 5900 6200 5959 6240 5865 6142 5638 5919 5817 6098 5749 6036 
18 576 6347 6632 6138 6424 6200 6482 6257 6539 6342 6621 6220 6506 6191 6471 6278 6562 6335 6617 6204 6483 6235 6520 6269 6554 6319 6604 6183 6467 6219 6500 6273 6558 6312 6596 6209 6490 6212 6496 6264 6543 6324 6608 6178 6463 6205 6489 6250 6535 6290 6577 6192 6471 5966 6243 6144 6422 6082 6366 
19 608 6681 6972 6473 6771 6528 6814 6586 6870 6672 6954 6553 6828 6522 6806 6608 6900 6662 6949 6531 6815 6568 6858 6600 6883 6649 6932 6518 6800 6545 6837 6604 6887 6642 6927 6537 6819 6541 6826 6591 6874 6655 6936 6512 6796 6536 6818 6581 6860 6623 6909 6524 6805 6289 6566 6467 6750 6411 6696 
20 640 7037 7345 6839 7137 6893 7197 6955 7246 7022 7324 6897 7205 6891 7188 6966 7266 7018 7319 6895 7198 6922 7226 6949 7258 7003 7292 6866 7157 6904 7215 6957 7254 6999 7288 6893 7184 6901 7205 6946 7234 7012 7306 6878 7167 6888 7182 6930 7214 6975 7263 6888 7190 6628 6911 6810 7104 6756 7047 
21 672 7394 7677 7186 7482 7247 7552 7297 7582 7371 7652 7260 7539 7236 7524 7316 7598 7377 7656 7249 7537 7275 7566 7311 7594 7340 7626 7209 7508 7267 7556 7307 7589 7336 7622 7233 7516 7252 7548 7283 7571 7362 7643 7214 7512 7230 7517 7262 7555 7315 7598 7241 7524 6967 7245 7151 7434 7101 7385 
22 704 7726 8009 7533 7821 7600 7886 7628 7915 7702 7984 7590 7875 7576 7870 7649 7929 7710 7990 7586 7868 7617 7899 7644 7925 7679 7971 7555 7844 7605 7891 7635 7919 7671 7961 7565 7853 7596 7876 7619 7906 7695 7976 7561 7848 7570 7854 7603 7900 7647 7939 7572 7862 7297 7574 7481 7764 7433 7715 
23 736 8059 8346 7870 8168 7931 8222 7969 8255 8033 8315 7923 8214 7915 8204 7975 8271 8039 8323 7916 8206 7949 8234 7973 8261 8017 8303 7891 8175 7938 8229 7967 8251 8011 8299 7901 8185 7924 8211 7959 8244 8024 8311 7895 8179 7901 8186 7953 8230 7986 8270 7908 8196 7626 7906 7809 8093 7762 8046 
24 768 8425 8711 8246 8535 8307 8601 8325 8608 8400 8700 8283 8578 8274 8552 8342 8629 8389 8687 8281 8569 8304 8597 8329 8618 8386 8673 8248 8531 8302 8591 8339 8624 8380 8662 8267 8558 8300 8579 8316 8590 8391 8691 8265 8562 8253 8539 8293 8570 8334 8634 8263 8550 7979 8267 8153 8434 8110 8398 
25 800 8763 9039 8584 8869 8651 8925 8657 8926 8750 9027 8630 8900 8605 8901 8678 8956 8744 9020 8617 8894 8655 8932 8667 8944 8722 8999 8580 8865 8640 8923 8674 8948 8715 8995 8607 8882 8631 8915 8641 8922 8740 9016 8611 8886 8586 8871 8622 8916 8682 8968 8600 8873 8319 8609 8481 8756 8454 8730 
26 832 9088 9367 8919 9196 8980 9258 8979 9261 9084 9359 8947 9228 8950 9245 9004 9278 9078 9357 8942 9223 8985 9262 8993 9267 9051 9332 8912 9189 8973 9251 8997 9274 9043 9328 8928 9211 8964 9249 8970 9257 9071 9349 8933 9215 8919 9198 8963 9246 9014 9305 8924 9200 8664 8936 8802 9077 8779 9060 
27 864 9414 9688 9242 9521 9314 9588 9310 9593 9407 9684 9277 9555 9296 9566 9327 9607 9405 9680 9269 9550 9319 9592 9318 9589 9385 9672 9238 9512 9306 9581 9323 9600 9374 9657 9256 9531 9298 9576 9306 9579 9399 9678 9262 9543 9243 9513 9300 9567 9353 9634 9249 9527 8989 9268 9122 9397 9105 9380 
28 896 9775 10076 9622 9918 9666 9968 9671 9959 9783 10072 9626 9924 9636 9930 9676 9977 9772 10052 9624 9906 9671 9964 9669 9954 9766 10061 9589 9876 9664 9946 9678 9971 9717 10011 9593 9887 9662 9940 9640 9929 9758 10042 9615 9914 9579 9907 9637 9922 9699 10002 9601 9896 9339 9629 9457 9738 9449 9733 
29 928 10127 10402 9966 10248 10018 10296 10010 10287 10122 10398 9973 10256 9985 10266 10029 10298 10101 10376 9956 10235 10014 10292 10002 10276 10112 10389 9929 10216 9997 10277 10019 10294 10063 10348 9937 10220 9990 10270 9979 10269 10092 10367 9962 10244 9955 10236 9973 10265 10056 10338 9944 10227 9684 9957 9785 10054 9792 10084 
30 960 10452 10733 10295 10574 10346 10621 10334 10609 10448 10722 10306 10581 10315 10596 10351 10619 10426 10699 10283 10558 10342 10617 10324 10601 10440 10717 10263 10543 10332 10604 10341 10615 10394 10676 10270 10547 10322 10600 10317 10591 10417 10695 10290 10570 10284 10571 10312 10587 10385 10667 10275 10554 10010 10288 10100 10370 10133 10410 
31 992 10795 11073 10621 10898 10675 10956 10655 10935 10770 11046 10630 10905 10644 10931 10668 10948 10748 11034 10606 10886 10670 10947 10648 10929 10766 11038 10588 10871 10654 10940 10661 10939 10724 11011 10596 10875 10646 10936 10638 10913 10742 11024 10615 10894 10625 10914 10632 10908 10713 10993 10601 10882 10337 10610 10415 10691 10458 10738 
32 1024 11145 11436 10992 11280 11032 11322 11009 11294 11124 11428 10974 11278 11016 11314 11016 11318 11121 11419 10982 11274 11020 11309 11007 11285 11119 11399 10967 11246 11006 11279 11018 11311 11085 11374 10943 11224 11024 11305 10978 11258 11117 11395 10971 11265 10982 11265 10970 11247 11058 11345 10969 11257 10677 10960 10751 11030 10807 11090 
33 1056 11487 11758 11338 11611 11380 11655 11344 11618 11479 11751 11332 11604 11369 11644 11370 11642 11470 11746 11325 11595 11359 11634 11339 11612 11455 11723 11295 11572 11331 11621 11363 11637 11423 11704 11272 11550 11361 11639 11313 11596 11446 11719 11315 11585 11316 11602 11299 11584 11393 11682 11305 11576 11014 11286 11081 11349 11140 11415 
34 1088 11810 12085 11659 11932 11709 11982 11666 11938 11801 12074 11652 11924 11696 11975 11693 11964 11792 12060 11643 11920 11685 11959 11660 11934 11775 12049 11618 11898 11670 11953 11689 11957 11753 12035 11599 11881 11689 11963 11646 11928 11769 12045 11634 11906 11648 11944 11632 11907 11728 12008 11624 11902 11336 11630 11397 11673 11464 11739 
35 1120 12134 12414 11981 12257 12031 12307 11986 12265 12123 12400 11974 12250 12023 12298 12021 12288 12115 12390 11966 12239 12013 12285 11979 12260 12101 12370 11945 12219 11999 12274 12010 12276 12081 12358 11928 12210 12019 12294 11973 12256 12091 12366 11953 12232 11991 12267 11959 12240 12054 12336 11949 12223 11677 11957 11720 11993 11785 12058 
36 1152 12492 12769 12323 12615 12375 12655 12344 12650 12469 12756 12315 12600 12373 12662 12354 12646 12460 12744 12318 12602 12358 12640 12328 12616 12450 12740 12303 12583 12342 12618 12346 12638 12443 12718 12281 12560 12367 12660 12337 12631 12441 12722 12300 12579 12334 12613 12316 12591 12402 12691 12291 12590 12027 12315 12057 12335 12125 12419 
37 1184 12821 13096 12665 12941 12703 12971 12707 12979 12807 13084 12659 12928 12714 12982 12701 12977 12797 13076 12653 12923 12693 12967 12665 12953 12792 13066 12633 12913 12668 12954 12692 12961 12765 13045 12607 12890 12718 12994 12680 12957 12773 13055 12629 12909 12666 12950 12642 12926 12738 13012 12641 12919 12365 12632 12388 12656 12474 12749 
38 1216 13147 13423 12991 13261 13025 13305 13038 13325 13133 13407 12977 13259 13033 13309 13030 13308 13126 13399 12970 13251 13020 13298 13002 13291 13116 13388 12961 13242 13006 13286 13011 13304 13092 13377 12937 13218 13042 13318 13007 13297 13103 13386 12956 13236 13001 13282 12973 13252 13061 13347 12966 13246 12684 12960 12711 12983 12799 13072 
39 1248 13477 13781 13311 13587 13358 13634 13371 13639 13455 13730 13307 13583 13361 13641 13362 13635 13451 13722 13300 13576 13352 13624 13338 13618 13443 13718 13290 13563 13334 13607 13356 13626 13428 13697 13266 13552 13369 13662 13346 13622 13436 13713 13284 13559 13327 13603 13299 13578 13393 13693 13292 13565 13011 13292 13034 13315 13121 13395 
40 1280 13850 14150 13666 13977 13706 14007 13728 14045 13814 14124 13662 13971 13712 14015 13717 14015 13808 14120 13659 13967 13703 13995 13714 14034 13806 14102 13631 13929 13677 13983 13710 14029 13766 14076 13628 13925 13741 14031 13708 13996 13803 14098 13655 13952 13668 13974 13641 13957 13771 14080 13657 13956 13360 13658 13382 13676 13469 13764 
41 1312 14203 14492 14028 14317 14059 14348 14095 14379 14179 14464 14022 14313 14070 14354 14066 14349 14170 14459 14015 14300 14043 14334 14084 14375 14152 14452 13979 14286 14036 14330 14078 14365 14126 14420 13973 14282 14081 14366 14049 14338 14145 14431 13999 14291 14023 14321 14005 14299 14130 14427 14005 14295 13710 14003 13726 14025 13811 14110 
42 1344 14542 14832 14364 14651 14397 14691 14430 14719 14517 14805 14360 14647 14402 14697 14400 14689 14510 14798 14348 14640 14383 14680 14421 14708 14499 14790 14334 14622 14379 14676 14414 14699 14468 14767 14329 14618 14420 14706 14386 14681 14480 14773 14339 14632 14371 14672 14345 14639 14473 14763 14343 14636 14051 14338 14073 14356 14158 14448 
43 1376 14880 15172 14700 14990 14746 15029 14765 15056 14854 15148 14693 14986 14751 15039 14743 15028 14845 15139 14687 14977 14733 15027 14761 15047 14839 15128 14672 14962 14725 15023 14757 15042 14817 15105 14664 14958 14755 15046 14735 15024 14826 15112 14679 14969 14721 15019 14685 14977 14811 15101 14685 14973 14388 14687 14405 14691 14494 14786 
44 1408 15245 15539 15067 15379 15095 15407 15134 15428 15217 15524 15061 15362 15122 15425 15092 15388 15213 15517 15057 15374 15115 15421 15132 15434 15199 15506 15060 15367 15103 15399 15126 15422 15188 15489 15031 15328 15112 15415 15099 15392 15186 15483 15050 15341 15089 15382 15040 15342 15180 15479 15036 15332 14757 15057 14767 15069 14847 15156 
45 1440 15596 15883 15430 15719 15461 15753 15476 15758 15575 15862 15410 15694 15478 15767 15438 15733 15564 15852 15424 15709 15474 15763 15487 15774 15555 15848 15417 15705 15449 15738 15471 15754 15545 15840 15386 15680 15467 15757 15446 15737 15534 15823 15391 15688 15430 15734 15394 15693 15530 15819 15384 15676 15110 15403 15124 15405 15210 15502 
46 1472 15934 16224 15767 16050 15802 16090 15811 16091 15913 16201 15744 16029 15821 16107 15779 16071 15902 16190 15756 16046 15814 16101 15822 16104 15897 16188 15751 16035 15788 16082 15803 16087 15888 16180 15731 16023 15809 16097 15789 16076 15874 16167 15736 16027 15781 16078 15741 16034 15867 16163 15724 16019 15455 15745 15455 15745 15549 15844 
47 1504 16273 16564 16097 16402 16149 16435 16149 16436 16249 16543 16078 16375 16157 16461 16117 16412 16244 16533 16091 16388 16155 16449 16158 16445 16240 16529 16084 16384 16133 16419 16142 16429 16231 16523 16072 16364 16151 16443 16129 16420 16214 16508 16076 16368 16125 16413 16082 16376 16210 16504 16067 16357 15795 16086 15796 16080 15893 16184 
48 1536 16631 16932 16469 16764 16502 16782 16516 16800 16624 16915 16458 16750 16525 16819 16479 16761 16609 16894 16465 16755 16514 16806 16518 16806 16616 16913 16455 16741 16487 16763 16510 16795 16606 16888 16453 16737 16510 16796 16487 16767 16604 16884 16434 16718 16490 16776 16440 16728 16576 16856 16428 16709 16159 16466 16160 16453 16258 16551 
