0 0 38 361 42 366 40 354 0 287 31 351 39 362 22 331 28 342 24 334 32 356 27 349 23 334 28 342 22 336 24 338 18 351 21 324 25 344 12 305 13 319 9 316 12 314 17 317 8 303 14 304 17 323 7 293 3 307 4 294 7 288 
1 32 427 717 434 728 418 701 336 632 413 713 423 719 381 673 397 686 387 704 415 713 407 691 386 682 400 709 390 709 392 684 411 698 376 695 399 704 359 662 368 671 370 685 368 693 367 666 353 655 355 665 372 700 344 633 359 663 347 654 340 642 
2 64 807 1085 794 1087 752 1038 678 968 790 1074 779 1083 723 1018 735 1027 775 1070 775 1079 741 1030 731 1019 765 1066 770 1075 733 1026 749 1037 745 1059 763 1067 708 1004 719 1008 737 1051 747 1056 715 1008 703 999 725 1030 756 1063 680 976 712 1004 700 1006 688 986 
3 96 1156 1446 1160 1439 1086 1378 1013 1308 1145 1438 1149 1435 1066 1358 1075 1368 1138 1431 1137 1431 1080 1369 1067 1358 1120 1426 1129 1427 1073 1362 1084 1377 1113 1420 1122 1421 1051 1339 1060 1352 1100 1416 1107 1417 1057 1347 1045 1338 1078 1410 1115 1411 1022 1316 1052 1348 1055 1360 1031 1348 
4 128 1533 1837 1517 1829 1451 1765 1370 1687 1531 1824 1538 1839 1446 1753 1447 1754 1523 1818 1531 1837 1448 1761 1445 1743 1516 1802 1513 1801 1430 1722 1443 1748 1519 1806 1526 1819 1408 1692 1418 1705 1482 1781 1523 1815 1420 1716 1409 1691 1494 1788 1510 1797 1381 1688 1427 1721 1422 1734 1413 1707 
5 160 1902 2185 1879 2160 1819 2100 1750 2058 1885 2162 1890 2176 1800 2085 1805 2093 1878 2158 1886 2164 1809 2090 1801 2086 1856 2145 1856 2146 1771 2076 1799 2077 1862 2154 1868 2156 1741 2029 1760 2066 1833 2134 1862 2148 1767 2064 1738 2018 1839 2138 1845 2142 1737 2019 1769 2062 1783 2101 1754 2047 
6 192 2236 2522 2224 2510 2148 2437 2106 2393 2224 2512 2232 2515 2134 2418 2140 2424 2214 2508 2218 2506 2139 2426 2133 2415 2202 2499 2197 2494 2127 2409 2126 2408 2209 2504 2213 2502 2078 2369 2117 2399 2181 2495 2206 2498 2116 2399 2068 2356 2191 2489 2192 2488 2069 2355 2112 2397 2150 2483 2093 2370 
7 224 2577 2867 2560 2844 2486 2762 2439 2725 2569 2858 2566 2852 2467 2750 2470 2763 2563 2854 2556 2839 2471 2756 2463 2754 2558 2846 2544 2829 2462 2739 2457 2747 2552 2842 2554 2835 2414 2706 2450 2738 2550 2837 2546 2831 2446 2733 2403 2692 2542 2833 2536 2825 2401 2691 2448 2733 2534 2827 2416 2693 
8 256 2937 3232 2935 3235 2845 3126 2789 3067 2963 3254 2927 3218 2822 3110 2840 3139 2952 3240 2924 3229 2834 3119 2838 3126 2934 3222 2929 3213 2819 3096 2836 3118 2932 3216 2906 3185 2771 3065 2805 3083 2930 3211 2917 3224 2804 3082 2753 3035 2896 3180 2902 3181 2754 3044 2817 3095 2893 3184 2755 3034 
9 288 3286 3557 3291 3558 3177 3452 3114 3387 3305 3579 3266 3539 3160 3435 3192 3468 3292 3567 3281 3554 3172 3443 3175 3449 3272 3547 3262 3534 3148 3419 3167 3441 3264 3543 3239 3530 3114 3388 3135 3412 3260 3538 3272 3550 3133 3414 3085 3367 3228 3511 3231 3521 3091 3366 3144 3420 3236 3523 3081 3356 
10 320 3608 3881 3605 3881 3499 3771 3435 3711 3628 3904 3587 3864 3484 3754 3518 3792 3617 3894 3601 3876 3492 3763 3495 3768 3596 3875 3582 3860 3470 3750 3489 3762 3591 3871 3577 3850 3439 3714 3463 3736 3586 3862 3596 3872 3466 3737 3416 3699 3562 3842 3570 3844 3412 3687 3472 3753 3571 3852 3402 3678 
11 352 3929 4208 3928 4215 3818 4098 3758 4032 3954 4235 3915 4194 3805 4081 3837 4115 3945 4217 3923 4205 3812 4085 3815 4091 3922 4203 3907 4185 3799 4076 3809 4081 3918 4196 3903 4174 3759 4036 3784 4053 3911 4187 3921 4198 3784 4054 3745 4019 3890 4164 3890 4165 3732 4009 3802 4075 3900 4176 3723 3999 
12 384 4280 4583 4286 4581 4171 4459 4094 4388 4301 4589 4269 4555 4161 4442 4183 4458 4289 4579 4284 4571 4169 4455 4159 4445 4278 4573 4265 4546 4153 4430 4157 4441 4276 4567 4243 4525 4103 4394 4117 4411 4268 4548 4277 4577 4119 4399 4083 4384 4228 4520 4234 4519 4069 4360 4154 4430 4247 4527 4059 4342 
13 416 4641 4918 4637 4910 4511 4789 4436 4718 4647 4931 4603 4881 4496 4763 4508 4778 4645 4922 4625 4900 4505 4776 4497 4774 4632 4901 4596 4877 4481 4752 4491 4765 4617 4891 4573 4854 4444 4735 4462 4746 4598 4887 4630 4906 4448 4731 4432 4714 4569 4849 4567 4848 4411 4699 4482 4754 4575 4853 4389 4667 
14 448 4964 5234 4967 5239 4837 5112 4767 5053 4980 5255 4930 5208 4810 5082 4827 5104 4969 5246 4951 5223 4828 5100 4823 5098 4955 5224 4924 5203 4803 5080 4818 5094 4943 5222 4904 5183 4782 5067 4792 5071 4938 5218 4958 5234 4778 5062 4761 5038 4896 5182 4895 5172 4747 5030 4803 5076 4905 5186 4713 4990 
15 480 5286 5570 5289 5557 5163 5439 5100 5376 5300 5574 5256 5533 5133 5412 5151 5434 5293 5566 5274 5548 5148 5419 5146 5421 5277 5557 5248 5521 5129 5399 5142 5416 5269 5550 5230 5510 5114 5391 5117 5390 5265 5542 5281 5555 5107 5377 5085 5363 5230 5517 5217 5491 5076 5370 5126 5401 5238 5522 5035 5313 
16 512 5657 5957 5631 5923 5510 5796 5440 5734 5655 5945 5599 5885 5478 5783 5501 5794 5646 5949 5618 5907 5482 5776 5496 5786 5638 5925 5589 5889 5464 5766 5483 5773 5622 5920 5581 5873 5468 5772 5461 5752 5619 5915 5633 5917 5451 5744 5428 5730 5588 5883 5551 5861 5442 5732 5467 5756 5600 5890 5373 5663 
17 544 6008 6291 5977 6257 5846 6126 5782 6071 5997 6277 5933 6232 5837 6117 5844 6124 6001 6281 5957 6246 5825 6104 5836 6116 5983 6261 5938 6222 5814 6098 5827 6102 5975 6256 5929 6218 5820 6102 5807 6098 5966 6251 5966 6250 5792 6083 5778 6067 5933 6219 5913 6202 5787 6079 5803 6094 5940 6223 5710 5993 
18 576 6339 6624 6310 6587 6176 6460 6120 6413 6330 6615 6280 6573 6165 6446 6172 6456 6335 6617 6296 6579 6156 6442 6168 6448 6318 6598 6273 6560 6147 6423 6154 6433 6310 6593 6266 6550 6151 6432 6147 6424 6304 6581 6301 6585 6132 6418 6114 6400 6268 6547 6252 6546 6128 6414 6140 6417 6273 6559 6039 6322 
19 608 6672 6957 6638 6914 6510 6794 6462 6745 6662 6943 6619 6903 6493 6775 6503 6783 6666 6949 6627 6910 6487 6771 6497 6779 6653 6935 6606 6899 6472 6759 6479 6762 6641 6925 6600 6889 6478 6763 6472 6758 6631 6913 6634 6916 6470 6752 6446 6731 6596 6879 6593 6880 6464 6746 6466 6750 6611 6890 6367 6651 
20 640 7039 7344 6992 7301 6863 7177 6833 7127 7037 7327 6990 7312 6839 7146 6854 7155 7035 7323 6987 7275 6861 7166 6845 7148 7028 7335 6985 7270 6850 7157 6848 7140 6998 7295 6962 7252 6847 7138 6820 7112 6983 7274 7001 7299 6835 7128 6797 7088 6947 7241 6955 7248 6832 7118 6829 7117 6959 7268 6711 6999 
21 672 7394 7675 7356 7640 7232 7514 7178 7455 7377 7658 7366 7644 7195 7484 7207 7482 7373 7654 7324 7616 7216 7494 7196 7478 7383 7666 7318 7612 7204 7492 7191 7470 7354 7633 7306 7595 7187 7480 7160 7447 7321 7604 7352 7631 7182 7471 7136 7423 7289 7574 7295 7576 7171 7453 7166 7451 7315 7594 7060 7337 
