0 0 11 297 10 305 7 296 0 284 5 292 4 285 1 291 
1 32 345 620 352 632 343 619 331 606 340 615 333 607 338 614 
2 64 667 942 678 960 665 941 652 928 662 938 655 929 660 937 
3 96 988 1262 1005 1284 986 1261 973 1248 984 1258 975 1249 982 1257 
4 128 1326 1607 1344 1631 1324 1606 1308 1592 1328 1611 1312 1593 1326 1610 
5 160 1655 1930 1678 1958 1653 1929 1639 1916 1659 1934 1643 1917 1657 1933 
6 192 1977 2251 2006 2287 1975 2250 1962 2241 1981 2255 1964 2242 1979 2254 
7 224 2297 2575 2335 2616 2295 2570 2286 2568 2301 2585 2289 2569 2299 2576 
8 256 2639 2920 2678 2957 2632 2913 2628 2902 2645 2924 2631 2903 2638 2917 
9 288 2967 3237 3005 3279 2960 3231 2949 3217 2971 3241 2951 3219 2964 3235 
10 320 3283 3555 3325 3599 3277 3550 3263 3531 3287 3559 3265 3532 3281 3554 
11 352 3601 3873 3644 3917 3595 3868 3576 3844 3605 3877 3578 3845 3599 3872 
12 384 3943 4219 3980 4260 3937 4216 3904 4178 3941 4215 3906 4179 3935 4212 
13 416 4266 4536 4308 4584 4264 4535 4225 4495 4262 4532 4227 4496 4259 4531 
14 448 4583 4852 4631 4905 4581 4851 4541 4811 4579 4848 4543 4812 4577 4847 
15 480 4898 5167 4950 5224 4896 5166 4856 5123 4894 5163 4858 5124 4892 5162 
16 512 5231 5513 5284 5571 5229 5512 5183 5464 5233 5517 5185 5465 5231 5516 
17 544 5562 5838 5618 5898 5560 5837 5511 5790 5568 5842 5513 5791 5566 5841 
18 576 5886 6162 5944 6225 5884 6161 5836 6115 5892 6166 5838 6116 5890 6165 
19 608 6209 6485 6270 6551 6207 6484 6160 6440 6215 6489 6162 6441 6213 6488 
20 640 6555 6843 6613 6900 6553 6842 6500 6785 6553 6839 6502 6786 6551 6838 
21 672 6891 7167 6947 7228 6889 7166 6832 7108 6887 7163 6834 7109 6885 7162 
