0 0 32 130 22 125 2 83 29 127 10 95 18 117 19 111 25 122 28 126 0 85 10 97 20 110 23 121 13 113 15 101 11 94 18 106 8 103 
1 32 181 260 169 252 127 204 178 256 141 222 165 242 158 240 169 244 173 250 129 214 143 222 154 229 167 246 158 234 147 226 138 219 152 228 147 223 
2 64 308 389 299 378 249 329 300 382 266 352 286 363 285 367 288 365 295 374 258 341 270 348 276 353 291 369 280 359 274 352 265 344 275 356 269 346 
3 96 436 524 421 502 373 454 428 509 396 478 408 487 413 493 410 485 418 496 385 463 393 472 400 475 414 492 404 483 397 477 388 468 402 482 389 469 
4 128 590 676 566 657 521 603 574 662 552 641 559 645 559 651 549 635 567 656 533 615 538 620 542 631 564 652 551 640 547 632 537 622 558 645 543 627 
5 160 720 802 704 787 647 724 709 786 687 764 689 767 697 779 681 761 704 785 661 746 664 742 677 757 700 781 685 763 677 753 666 750 696 776 672 750 
6 192 848 926 835 916 768 846 831 910 811 890 813 891 824 905 806 885 831 910 792 879 788 868 802 880 827 906 809 887 799 875 795 873 822 901 798 883 
7 224 971 1054 963 1043 889 966 956 1037 936 1015 938 1019 948 1023 930 1010 956 1037 922 1004 912 994 926 1005 952 1032 934 1015 918 1007 916 998 946 1025 928 1009 
8 256 1122 1213 1107 1194 1033 1116 1103 1188 1083 1168 1088 1175 1090 1174 1080 1166 1110 1209 1072 1159 1062 1145 1072 1161 1108 1197 1090 1179 1075 1159 1066 1150 1099 1182 1082 1169 
9 288 1261 1346 1240 1320 1161 1252 1234 1311 1215 1306 1222 1302 1218 1303 1211 1293 1255 1335 1205 1284 1189 1265 1207 1287 1242 1317 1226 1306 1207 1282 1194 1275 1228 1310 1218 1297 
10 320 1392 1475 1364 1444 1296 1372 1358 1440 1351 1434 1347 1428 1350 1432 1337 1414 1379 1454 1329 1408 1309 1393 1331 1410 1362 1442 1353 1433 1326 1401 1320 1401 1358 1438 1342 1418 
11 352 1518 1594 1489 1577 1415 1494 1488 1570 1483 1566 1473 1551 1475 1560 1458 1539 1499 1579 1454 1537 1438 1520 1454 1535 1489 1575 1477 1555 1448 1530 1444 1530 1487 1571 1465 1541 
12 384 1664 1752 1641 1733 1563 1651 1635 1721 1643 1728 1625 1714 1628 1712 1609 1696 1648 1735 1606 1693 1587 1669 1612 1700 1653 1747 1622 1709 1599 1686 1602 1686 1651 1741 1616 1703 
13 416 1799 1879 1782 1860 1697 1776 1765 1845 1772 1848 1760 1840 1758 1834 1743 1823 1785 1865 1737 1823 1714 1798 1747 1827 1795 1874 1756 1836 1732 1812 1732 1809 1791 1870 1749 1832 
14 448 1926 2014 1904 1980 1821 1900 1889 1972 1894 1974 1886 1968 1878 1961 1867 1943 1910 1986 1872 1952 1843 1922 1871 1950 1922 2003 1882 1964 1856 1938 1854 1933 1915 1994 1877 1959 
15 480 2060 2146 2023 2099 1944 2020 2017 2100 2018 2106 2013 2094 2006 2087 1987 2067 2029 2110 1996 2073 1965 2047 1993 2075 2046 2123 2009 2088 1981 2063 1976 2060 2040 2118 2003 2083 
16 512 2211 2299 2167 2268 2090 2179 2166 2252 2175 2261 2175 2272 2158 2239 2135 2224 2185 2279 2138 2225 2113 2194 2141 2228 2188 2274 2170 2264 2128 2214 2128 2214 2193 2285 2162 2243 
17 544 2345 2424 2315 2405 2225 2303 2296 2371 2305 2385 2321 2413 2285 2363 2271 2351 2328 2406 2274 2361 2241 2326 2275 2356 2321 2400 2308 2383 2259 2341 2264 2345 2332 2412 2287 2367 
18 576 2468 2550 2451 2529 2347 2429 2415 2493 2433 2512 2464 2553 2409 2488 2398 2476 2451 2533 2409 2492 2372 2452 2402 2480 2445 2521 2427 2510 2385 2467 2391 2470 2457 2537 2415 2506 
19 608 2597 2679 2575 2653 2473 2555 2537 2612 2556 2640 2600 2685 2531 2616 2521 2600 2578 2656 2535 2617 2498 2575 2525 2605 2566 2645 2555 2642 2511 2594 2515 2596 2582 2660 2549 2625 
20 640 2746 2842 2719 2810 2619 2708 2684 2771 2709 2799 2761 2851 2684 2768 2681 2767 2731 2819 2687 2779 2643 2726 2673 2761 2714 2804 2707 2801 2657 2744 2667 2748 2726 2815 2695 2784 
21 672 2888 2972 2857 2938 2755 2832 2817 2901 2846 2926 2898 2978 2815 2897 2813 2897 2866 2945 2824 2903 2772 2858 2809 2887 2850 2934 2845 2923 2788 2869 2792 2868 2862 2941 2828 2907 
22 704 3018 3099 2984 3062 2878 2958 2947 3034 2976 3061 3024 3103 2941 3021 2943 3024 2993 3074 2951 3031 2903 2985 2931 3006 2980 3066 2967 3042 2918 2994 2912 2994 2989 3070 2955 3035 
23 736 3142 3217 3107 3188 3004 3080 3078 3162 3107 3188 3146 3229 3065 3150 3067 3145 3122 3203 3077 3158 3031 3109 3049 3129 3114 3193 3087 3168 3041 3122 3045 3125 3118 3198 3083 3164 
24 768 3287 3377 3255 3338 3153 3243 3228 3311 3256 3341 3303 3386 3218 3302 3213 3296 3278 3368 3232 3323 3177 3259 3197 3281 3270 3351 3235 3332 3189 3281 3205 3292 3275 3363 3237 3327 
