0 0 27 128 15 100 9 95 7 95 23 116 37 142 31 135 29 130 0 84 33 132 27 126 25 122 18 111 28 124 22 112 20 110 8 97 23 118 17 107 15 106 13 102 
1 32 176 256 146 235 139 229 144 220 163 242 186 265 184 263 174 261 132 220 182 259 171 247 170 249 159 238 168 250 160 240 156 236 144 224 164 243 156 235 152 231 148 228 
2 64 302 386 279 359 274 352 265 350 291 375 311 392 307 384 307 390 267 347 305 388 296 378 299 379 287 367 300 382 290 371 287 362 272 352 293 376 285 364 276 355 276 357 
3 96 433 520 403 484 397 476 396 481 418 496 438 526 428 518 437 522 392 475 434 514 424 505 424 503 414 492 428 509 414 497 406 489 398 479 422 502 408 490 402 485 402 483 
4 128 586 675 554 640 545 628 553 638 574 665 594 684 583 683 589 678 549 632 586 680 574 669 571 662 568 658 579 669 565 653 564 656 565 652 570 655 559 643 562 649 559 646 
5 160 722 800 686 780 673 757 682 766 709 792 734 818 732 815 724 802 679 764 728 808 717 793 708 786 705 785 713 788 698 776 704 782 698 780 700 784 687 772 693 772 692 773 
6 192 845 930 830 908 802 885 812 892 839 920 864 945 862 947 848 934 809 891 852 927 844 922 836 916 834 914 841 922 824 907 830 912 824 908 835 916 820 903 818 896 820 902 
7 224 976 1060 956 1036 928 1012 938 1020 964 1048 988 1063 996 1080 979 1062 934 1019 973 1055 970 1057 963 1042 960 1041 967 1049 953 1045 957 1035 954 1034 962 1043 949 1039 942 1025 946 1023 
8 256 1130 1230 1104 1187 1083 1176 1089 1171 1121 1223 1137 1232 1150 1235 1128 1214 1090 1172 1135 1228 1124 1219 1116 1200 1118 1204 1128 1218 1119 1212 1104 1190 1111 1199 1119 1202 1110 1196 1101 1186 1099 1186 
9 288 1278 1364 1236 1324 1223 1308 1216 1302 1272 1356 1277 1361 1284 1366 1260 1341 1219 1301 1273 1352 1266 1346 1247 1325 1249 1334 1262 1337 1258 1336 1236 1318 1245 1330 1247 1328 1241 1328 1232 1313 1234 1326 
10 320 1414 1495 1370 1452 1352 1438 1347 1433 1400 1480 1410 1490 1411 1493 1389 1471 1345 1431 1396 1473 1395 1476 1371 1449 1386 1474 1385 1462 1382 1462 1362 1442 1379 1463 1374 1458 1378 1456 1358 1437 1374 1458 
11 352 1543 1625 1497 1580 1482 1564 1477 1560 1528 1608 1534 1609 1537 1623 1514 1592 1478 1563 1516 1598 1520 1600 1494 1575 1522 1604 1510 1594 1505 1588 1488 1571 1507 1591 1505 1586 1501 1583 1483 1566 1503 1586 
12 384 1694 1780 1645 1729 1639 1724 1626 1711 1682 1773 1677 1769 1689 1776 1662 1753 1628 1721 1669 1759 1665 1756 1652 1743 1675 1769 1664 1753 1662 1750 1650 1739 1667 1761 1651 1738 1652 1741 1643 1731 1657 1740 
13 416 1833 1918 1773 1858 1770 1848 1759 1842 1827 1913 1813 1900 1825 1908 1800 1880 1765 1848 1809 1887 1802 1886 1792 1870 1823 1905 1802 1882 1798 1877 1786 1866 1810 1888 1784 1862 1787 1867 1775 1855 1791 1877 
14 448 1967 2050 1905 1990 1892 1974 1886 1969 1961 2041 1947 2028 1955 2035 1928 2009 1894 1979 1939 2015 1930 2013 1914 2000 1949 2027 1927 2002 1924 2004 1910 1992 1936 2021 1909 1995 1912 1998 1899 1975 1922 2012 
15 480 2098 2184 2034 2118 2017 2101 2015 2098 2085 2163 2076 2159 2079 2154 2056 2145 2023 2111 2061 2137 2060 2143 2043 2121 2074 2159 2048 2128 2048 2130 2037 2114 2070 2152 2038 2123 2042 2125 2019 2102 2056 2144 
16 512 2250 2336 2191 2273 2166 2252 2175 2263 2232 2320 2227 2314 2222 2307 2211 2302 2176 2269 2207 2298 2214 2302 2191 2279 2234 2325 2204 2294 2199 2290 2186 2274 2223 2314 2200 2287 2194 2280 2170 2258 2214 2297 
17 544 2381 2464 2320 2404 2296 2377 2310 2399 2370 2447 2362 2440 2353 2433 2353 2431 2316 2403 2344 2426 2349 2429 2326 2408 2377 2456 2340 2421 2334 2417 2322 2403 2362 2441 2336 2416 2330 2407 2306 2394 2347 2427 
18 576 2509 2594 2451 2527 2423 2506 2445 2526 2494 2571 2488 2569 2482 2564 2476 2566 2449 2535 2471 2550 2478 2558 2456 2539 2505 2581 2467 2546 2466 2543 2452 2534 2486 2562 2462 2541 2453 2532 2440 2516 2473 2556 
19 608 2638 2723 2573 2651 2553 2632 2570 2655 2616 2692 2612 2702 2608 2694 2613 2697 2583 2669 2595 2675 2604 2682 2590 2665 2628 2708 2591 2671 2587 2671 2580 2659 2606 2688 2585 2663 2577 2654 2559 2639 2602 2683 
20 640 2793 2877 2716 2803 2696 2788 2729 2810 2766 2852 2771 2857 2764 2849 2767 2853 2737 2824 2745 2846 2749 2836 2741 2839 2778 2868 2743 2842 2737 2826 2739 2832 2768 2864 2735 2816 2723 2804 2710 2797 2757 2841 
21 672 2928 3014 2850 2940 2832 2913 2855 2946 2900 2976 2908 2989 2896 2974 2904 2982 2870 2951 2894 2980 2883 2960 2886 2968 2921 2998 2888 2969 2870 2949 2879 2958 2911 2994 2863 2952 2851 2937 2843 2928 2888 2972 
22 704 3060 3139 2984 3070 2958 3038 2991 3071 3023 3107 3036 3122 3020 3098 3026 3109 3000 3088 3027 3108 3008 3085 3015 3096 3044 3130 3014 3091 2994 3077 3004 3079 3038 3125 2998 3084 2983 3062 2972 3055 3019 3102 
23 736 3187 3269 3114 3195 3081 3164 3116 3200 3150 3239 3166 3252 3142 3224 3158 3247 3132 3223 3152 3234 3132 3211 3141 3221 3179 3261 3134 3215 3122 3205 3122 3204 3171 3247 3130 3211 3108 3188 3100 3182 3146 3233 
24 768 3336 3429 3264 3346 3230 3317 3277 3372 3313 3403 3319 3406 3291 3383 3318 3401 3304 3391 3302 3391 3282 3376 3286 3379 3341 3433 3294 3384 3273 3359 3272 3353 3317 3410 3280 3362 3255 3341 3249 3339 3310 3397 
