0 0 0 401 10 410 12 418 2 402 17 430 27 439 29 441 19 432 13 422 23 435 25 437 15 423 8 411 18 428 20 431 10 419 
1 32 445 841 455 850 462 861 447 842 474 877 485 888 488 890 479 873 470 872 481 882 484 883 468 868 457 851 474 870 480 879 464 862 
2 64 886 1286 894 1294 905 1302 888 1287 921 1321 934 1332 937 1334 919 1320 917 1317 926 1323 928 1330 913 1316 897 1293 914 1313 924 1326 908 1303 
3 96 1332 1732 1338 1738 1347 1741 1331 1731 1365 1762 1382 1781 1383 1778 1363 1760 1361 1758 1367 1761 1373 1772 1359 1755 1336 1737 1356 1754 1369 1768 1349 1742 
4 128 1808 2214 1805 2205 1811 2222 1795 2203 1835 2238 1845 2247 1846 2254 1831 2237 1828 2228 1825 2229 1839 2244 1824 2226 1804 2204 1820 2225 1848 2260 1808 2213 
5 160 2260 2661 2251 2651 2266 2665 2248 2645 2284 2680 2293 2693 2301 2701 2282 2675 2273 2668 2275 2673 2288 2681 2271 2664 2249 2646 2271 2669 2309 2705 2259 2652 
6 192 2706 3102 2697 3097 2714 3109 2689 3084 2724 3118 2739 3140 2745 3145 2720 3114 2712 3108 2718 3117 2726 3127 2709 3103 2691 3085 2714 3112 2749 3150 2698 3096 
7 224 3147 3543 3142 3547 3156 3563 3127 3524 3162 3557 3186 3588 3190 3591 3159 3553 3151 3548 3160 3558 3170 3567 3149 3543 3129 3525 3156 3554 3194 3595 3139 3539 
8 256 3610 4013 3619 4021 3630 4029 3592 3994 3622 4028 3653 4061 3661 4072 3617 4023 3615 4017 3627 4035 3637 4046 3612 4017 3592 3995 3630 4039 3666 4070 3605 4012 
9 288 4059 4456 4065 4465 4076 4479 4038 4435 4074 4476 4107 4507 4121 4521 4068 4468 4063 4462 4080 4478 4090 4484 4064 4464 4040 4436 4084 4482 4115 4516 4057 4455 
10 320 4502 4900 4511 4914 4526 4926 4479 4880 4520 4922 4554 4955 4568 4967 4514 4913 4506 4907 4522 4923 4532 4937 4510 4909 4482 4881 4531 4928 4561 4962 4499 4899 
11 352 4946 5343 4959 5357 4973 5372 4923 5325 4968 5369 5000 5401 5013 5416 4956 5356 4950 5349 4971 5369 4983 5383 4952 5350 4926 5326 4975 5373 5006 5402 4942 5342 
12 384 5410 5808 5422 5821 5437 5836 5392 5791 5433 5834 5468 5869 5482 5890 5426 5832 5417 5822 5440 5845 5446 5849 5421 5826 5393 5792 5446 5850 5470 5869 5408 5807 
13 416 5854 6247 5865 6259 5880 6276 5838 6235 5880 6273 5915 6310 5936 6337 5876 6276 5867 6258 5891 6291 5894 6298 5872 6271 5838 6236 5895 6295 5915 6308 5851 6246 
14 448 6293 6690 6306 6702 6320 6717 6280 6683 6317 6713 6356 6757 6383 6784 6324 6718 6304 6701 6335 6737 6343 6747 6316 6712 6282 6682 6341 6742 6354 6751 6291 6688 
15 480 6735 7127 6748 7144 6761 7156 6728 7124 6757 7152 6803 7203 6830 7233 6762 7158 6745 7143 6781 7185 6790 7191 6756 7150 6725 7123 6785 7190 6794 7198 6732 7129 
16 512 7197 7606 7210 7615 7223 7629 7200 7607 7218 7621 7270 7684 7301 7712 7226 7630 7206 7614 7253 7664 7260 7663 7214 7620 7193 7598 7261 7673 7270 7678 7194 7597 
17 544 7652 8049 7660 8057 7674 8073 7652 8048 7666 8066 7728 8130 7759 8167 7675 8072 7660 8058 7713 8112 7708 8111 7664 8065 7646 8043 7717 8120 7725 8122 7641 8042 
18 576 8094 8490 8101 8498 8120 8530 8092 8489 8111 8507 8175 8571 8215 8622 8116 8518 8105 8499 8158 8556 8162 8558 8110 8506 8088 8484 8164 8566 8171 8573 8086 8483 
