0 0 34 443 32 440 33 440 31 441 30 437 28 436 29 436 27 437 25 433 0 416 6 419 4 418 2 417 23 431 24 432 22 433 20 429 18 429 19 428 17 429 15 425 13 425 14 424 12 422 10 421 8 421 
1 32 511 767 513 769 505 762 507 764 503 758 505 760 499 754 501 756 495 750 460 724 469 719 467 723 465 727 497 752 491 744 493 748 487 743 489 740 483 739 487 738 479 737 481 734 477 733 473 728 471 731 473 729 
2 64 817 1218 825 1219 814 1216 815 1214 809 1214 810 1215 803 1211 807 1209 799 1210 774 1197 766 1193 768 1192 771 1196 801 1211 797 1206 797 1205 793 1206 790 1209 792 1202 785 1200 787 1202 784 1205 783 1197 779 1196 781 1200 779 1201 
3 96 1285 1547 1287 1548 1276 1538 1278 1540 1281 1539 1283 1541 1270 1525 1272 1532 1271 1532 1243 1507 1237 1497 1235 1493 1241 1503 1273 1533 1259 1521 1261 1514 1267 1522 1269 1526 1255 1513 1249 1506 1255 1517 1257 1518 1249 1502 1239 1498 1251 1510 1253 1511 
4 128 1621 2015 1617 2009 1606 2009 1611 2008 1619 2011 1627 2017 1604 2005 1604 2004 1612 2009 1578 1991 1567 1987 1571 1988 1575 1993 1622 2013 1599 2001 1589 2000 1596 2005 1604 2005 1583 1993 1577 1996 1592 2001 1594 2001 1572 1991 1574 1992 1584 1997 1590 1997 
5 160 2082 2340 2076 2334 2074 2332 2068 2327 2078 2336 2086 2343 2068 2326 2064 2321 2074 2329 2036 2302 2034 2287 2036 2291 2044 2307 2080 2338 2060 2312 2057 2311 2064 2323 2066 2322 2045 2299 2050 2303 2058 2319 2058 2316 2041 2294 2043 2298 2051 2315 2052 2308 
6 192 2391 2781 2380 2774 2380 2772 2374 2773 2387 2778 2398 2782 2372 2768 2368 2769 2378 2774 2350 2759 2336 2753 2336 2752 2351 2762 2390 2778 2358 2763 2358 2762 2372 2772 2368 2769 2347 2759 2349 2758 2367 2768 2364 2767 2341 2757 2343 2756 2362 2766 2354 2763 
7 224 2849 3112 2839 3109 2831 3096 2833 3092 2845 3105 2845 3107 2821 3083 2823 3080 2843 3101 2805 3061 2797 3055 2795 3051 2813 3072 2843 3103 2817 3076 2811 3071 2837 3096 2831 3095 2807 3067 2807 3066 2829 3087 2819 3084 2803 3060 2801 3056 2817 3079 2815 3075 
8 256 3198 3569 3186 3562 3164 3561 3157 3556 3193 3567 3190 3564 3156 3557 3151 3554 3187 3563 3137 3544 3126 3541 3121 3540 3144 3553 3192 3568 3149 3553 3137 3546 3182 3561 3179 3558 3140 3549 3139 3550 3158 3557 3155 3554 3136 3545 3131 3544 3147 3549 3144 3550 
9 288 3637 3891 3626 3878 3624 3877 3618 3871 3633 3887 3630 3885 3618 3869 3612 3864 3631 3883 3592 3848 3588 3844 3584 3839 3606 3867 3634 3890 3610 3861 3598 3853 3624 3877 3616 3866 3602 3856 3604 3860 3614 3873 3608 3857 3594 3849 3591 3845 3598 3863 3600 3852 
10 320 3946 4341 3927 4323 3923 4323 3919 4320 3942 4335 3931 4327 3919 4319 3913 4316 3937 4329 3895 4308 3889 4305 3885 4304 3922 4321 3944 4329 3908 4315 3901 4310 3932 4327 3915 4318 3904 4313 3906 4314 3927 4323 3911 4314 3899 4309 3891 4308 3913 4317 3901 4312 
11 352 4405 4665 4383 4641 4383 4644 4379 4637 4401 4661 4389 4651 4379 4636 4369 4630 4399 4657 4355 4612 4351 4602 4347 4608 4381 4645 4393 4659 4367 4626 4359 4616 4395 4653 4377 4631 4363 4621 4365 4622 4393 4649 4365 4625 4357 4613 4353 4612 4371 4639 4361 4617 
12 384 4751 5132 4720 5110 4714 5110 4712 5108 4758 5128 4735 5116 4712 5108 4714 5112 4744 5123 4687 5096 4670 5094 4673 5093 4735 5117 4728 5114 4705 5104 4701 5102 4738 5121 4704 5106 4697 5102 4708 5106 4733 5115 4699 5100 4678 5098 4692 5098 4726 5111 4702 5104 
13 416 5200 5461 5173 5428 5170 5427 5168 5426 5198 5456 5181 5438 5166 5421 5172 5430 5194 5452 5143 5399 5139 5393 5139 5398 5192 5448 5177 5433 5159 5417 5154 5412 5185 5444 5164 5420 5155 5408 5161 5416 5176 5439 5150 5407 5146 5403 5147 5404 5167 5435 5157 5413 
14 448 5514 5894 5475 5871 5473 5874 5472 5869 5510 5890 5484 5877 5469 5872 5476 5873 5503 5886 5444 5859 5438 5856 5442 5855 5498 5884 5480 5875 5464 5868 5458 5863 5493 5880 5468 5869 5455 5864 5462 5867 5488 5878 5455 5863 5449 5860 5451 5859 5481 5874 5459 5865 
