0 0 40 468 48 483 46 473 32 460 36 462 44 475 42 469 28 451 31 456 39 473 37 460 0 406 26 448 34 464 32 456 23 440 4 407 12 420 10 416 18 434 21 436 29 449 27 444 13 423 16 429 24 445 22 439 8 417 11 421 19 430 17 424 
1 32 521 927 550 953 532 937 509 914 510 921 534 935 525 933 498 903 506 915 530 931 514 928 453 863 495 909 518 927 508 923 485 896 452 864 466 879 462 874 481 891 482 901 505 919 490 904 474 880 478 897 494 910 486 898 466 873 474 893 479 897 475 894 
2 64 987 1393 1015 1416 1003 1407 967 1375 983 1386 1001 1399 991 1397 954 1362 973 1382 989 1394 987 1393 907 1323 957 1373 983 1389 977 1386 941 1356 911 1324 923 1331 919 1325 937 1352 951 1365 968 1381 961 1378 925 1340 944 1358 959 1376 948 1376 919 1330 939 1354 946 1364 942 1372 
3 96 1449 1858 1474 1877 1463 1873 1425 1839 1445 1848 1464 1862 1453 1866 1407 1829 1435 1844 1451 1858 1449 1859 1366 1774 1422 1836 1447 1851 1439 1855 1403 1822 1369 1785 1379 1792 1370 1773 1397 1816 1412 1830 1439 1844 1433 1847 1387 1793 1404 1826 1428 1840 1428 1841 1377 1786 1399 1814 1409 1826 1422 1829 
4 128 1943 2354 1959 2370 1955 2364 1914 2321 1939 2352 1961 2376 1966 2377 1907 2314 1933 2342 1951 2366 1959 2370 1842 2262 1908 2324 1949 2360 1948 2354 1898 2312 1850 2289 1856 2309 1836 2270 1886 2297 1903 2318 1927 2329 1924 2330 1872 2285 1890 2298 1909 2320 1917 2326 1865 2281 1884 2293 1895 2316 1904 2313 
5 160 2414 2814 2421 2820 2418 2820 2373 2777 2407 2807 2436 2842 2432 2831 2364 2762 2395 2797 2417 2815 2424 2827 2308 2711 2373 2788 2410 2809 2402 2808 2358 2756 2335 2738 2354 2751 2315 2732 2343 2744 2369 2779 2389 2804 2383 2801 2332 2740 2348 2757 2378 2800 2379 2797 2328 2736 2344 2752 2372 2791 2360 2763 
6 192 2869 3268 2877 3276 2875 3273 2825 3234 2863 3264 2899 3299 2887 3291 2810 3219 2847 3247 2871 3272 2880 3277 2758 3172 2838 3242 2865 3268 2862 3257 2804 3204 2783 3186 2795 3203 2776 3182 2791 3197 2828 3238 2855 3264 2849 3252 2787 3193 2805 3213 2851 3256 2843 3248 2782 3185 2801 3209 2838 3242 2812 3219 
7 224 3319 3720 3337 3733 3325 3724 3281 3691 3315 3716 3351 3753 3338 3739 3265 3673 3293 3705 3325 3726 3331 3728 3215 3624 3287 3698 3321 3722 3311 3715 3251 3657 3230 3631 3246 3658 3225 3625 3245 3647 3282 3687 3309 3718 3307 3708 3240 3643 3260 3666 3305 3712 3297 3703 3229 3629 3254 3662 3293 3702 3263 3675 
8 256 3793 4195 3815 4231 3808 4220 3765 4168 3797 4205 3834 4235 3817 4225 3751 4158 3774 4173 3813 4224 3806 4215 3693 4105 3778 4185 3811 4218 3791 4195 3733 4146 3696 4124 3725 4156 3689 4106 3730 4140 3752 4158 3803 4205 3799 4213 3724 4133 3745 4156 3787 4188 3787 4191 3699 4114 3737 4152 3766 4174 3741 4164 
9 288 4247 4650 4287 4687 4279 4681 4215 4616 4251 4654 4293 4697 4285 4686 4211 4608 4228 4634 4283 4683 4272 4669 4152 4562 4232 4645 4270 4677 4247 4655 4195 4604 4169 4580 4201 4604 4151 4561 4188 4597 4221 4628 4263 4667 4265 4665 4184 4593 4212 4624 4237 4662 4236 4650 4164 4579 4201 4607 4222 4632 4209 4614 
