0 0 19 432 8 417 10 416 12 420 15 421 0 403 2 404 4 407 6 408 
1 32 477 879 462 857 460 856 464 860 466 861 447 843 449 844 451 847 453 848 
2 64 923 1325 902 1297 900 1296 904 1301 906 1302 887 1284 889 1285 891 1288 893 1289 
3 96 1368 1771 1341 1736 1339 1735 1344 1740 1346 1741 1327 1723 1329 1724 1331 1728 1335 1729 
4 128 1839 2250 1800 2202 1800 2203 1803 2209 1806 2210 1786 2189 1788 2190 1791 2193 1794 2194 
5 160 2296 2696 2246 2638 2248 2639 2253 2651 2256 2652 2233 2627 2235 2628 2237 2631 2239 2632 
6 192 2743 3147 2682 3078 2684 3079 2695 3098 2698 3108 2671 3069 2673 3070 2675 3073 2677 3074 
7 224 3192 3599 3122 3519 3124 3520 3141 3543 3151 3558 3112 3509 3114 3510 3117 3515 3119 3516 
8 256 3662 4075 3584 3988 3586 3989 3608 4015 3622 4033 3572 3974 3574 3975 3578 3980 3581 3981 
9 288 4121 4523 4032 4425 4034 4428 4059 4460 4079 4485 4018 4413 4020 4414 4026 4424 4026 4429 
10 320 4569 4972 4470 4864 4472 4868 4505 4910 4529 4934 4457 4853 4459 4854 4469 4863 4474 4869 
11 352 5015 5422 4908 5300 4911 5305 4955 5355 4978 5378 4896 5290 4898 5291 4906 5299 4913 5306 
12 384 5485 5893 5365 5768 5368 5776 5423 5832 5447 5853 5353 5757 5356 5758 5362 5767 5370 5777 
13 416 5939 6338 5813 6206 5820 6215 5876 6277 5897 6303 5801 6197 5803 6198 5811 6205 5822 6216 
14 448 6382 6784 6252 6646 6259 6657 6321 6723 6349 6750 6241 6637 6243 6638 6249 6645 6261 6659 
15 480 6827 7229 6690 7082 6700 7093 6766 7167 6794 7194 6680 7074 6682 7075 6688 7081 6702 7094 
16 512 7292 7699 7146 7548 7156 7556 7230 7638 7259 7666 7137 7541 7142 7542 7144 7547 7158 7557 
17 544 7743 8145 7593 7990 7600 7996 7682 8085 7710 8112 7587 7984 7587 7985 7591 7989 7602 7997 
18 576 8189 8592 8037 8430 8041 8435 8129 8532 8156 8559 8028 8423 8030 8424 8033 8429 8042 8436 
19 608 8635 9035 8476 8870 8478 8873 8575 8978 8602 9000 8466 8862 8468 8863 8472 8869 8480 8874 
20 640 9098 9506 8934 9338 8936 9340 9041 9450 9065 9472 8925 9328 8927 9330 8932 9337 8938 9339 
21 672 9550 9953 9383 9776 9387 9780 9494 9897 9517 9919 9372 9767 9374 9768 9381 9775 9385 9779 
22 704 9997 10398 9822 10215 9825 10220 9941 10342 9964 10364 9811 10207 9813 10208 9819 10214 9823 10218 
23 736 10441 10844 10260 10655 10263 10659 10385 10788 10408 10810 10250 10646 10252 10648 10257 10654 10261 10658 
24 768 10907 11315 10721 11121 10723 11122 10851 11257 10874 11280 10709 11107 10711 11109 10717 11116 10721 11117 
25 800 11359 11760 11165 11557 11167 11558 11301 11702 11326 11726 11151 11545 11153 11546 11160 11553 11162 11554 
26 832 11804 12204 11601 11996 11603 11997 11746 12145 11771 12169 11589 11984 11591 11985 11597 11992 11599 11993 
27 864 12247 12647 12039 12433 12041 12434 12188 12588 12214 12613 12027 12422 12029 12423 12035 12429 12037 12430 
28 896 12710 13117 12497 12900 12499 12901 12651 13057 12677 13082 12485 12886 12487 12887 12492 12892 12494 12893 
29 928 13161 13561 12944 13339 12946 13340 13101 13502 13128 13529 12930 13326 12932 13327 12936 13331 12938 13333 
30 960 13605 14005 13383 13776 13385 13777 13546 13947 13573 13974 13370 13764 13372 13765 13375 13768 13377 13769 
31 992 14048 14450 13819 14213 13821 14214 13990 14392 14017 14419 13807 14202 13809 14203 13811 14207 13813 14208 
32 1024 14513 14918 14277 14678 14279 14679 14455 14861 14482 14886 14265 14664 14267 14665 14270 14668 14272 14669 
33 1056 14962 15363 14722 15115 14724 15116 14905 15306 14930 15330 14708 15101 14710 15102 14712 15105 14714 15106 
34 1088 15407 15805 15159 15553 15161 15554 15350 15748 15374 15771 15145 15540 15147 15541 15149 15543 15151 15544 
35 1120 15848 16247 15596 15989 15598 15990 15791 16190 15815 16213 15583 15976 15585 15977 15587 15981 15589 15982 
36 1152 16310 16715 16052 16454 16054 16456 16253 16658 16277 16681 16040 16441 16042 16442 16044 16445 16046 16446 
37 1184 16759 17158 16498 16891 16500 16892 16702 17103 16726 17125 16485 16878 16487 16879 16489 16882 16491 16883 
38 1216 17202 17600 16935 17327 16937 17328 17147 17547 17169 17567 16922 17315 16924 17316 16926 17317 16928 17318 
39 1248 17643 18042 17370 17762 17372 17763 17590 17989 17610 18009 17358 17750 17360 17751 17362 17755 17364 17756 
40 1280 18105 18512 17825 18227 17827 18229 18052 18459 18072 18479 17813 18213 17815 18214 17818 18217 17820 18218 
41 1312 18556 18955 18271 18663 18273 18664 18503 18902 18523 18923 18257 18650 18259 18651 18261 18652 18263 18653 
42 1344 18999 19400 18707 19099 18709 19100 18946 19347 18967 19368 18694 19087 18696 19088 18698 19090 18700 19091 
43 1376 19443 19844 19142 19533 19144 19534 19390 19790 19411 19812 19130 19522 19132 19523 19134 19526 19136 19527 
44 1408 19907 20314 19597 19998 19599 19999 19853 20260 19875 20281 19585 19983 19587 19984 19589 19988 19591 19989 
45 1440 20358 20757 20042 20435 20044 20437 20304 20704 20325 20725 20027 20422 20029 20423 20032 20426 20034 20427 
46 1472 20801 21201 20479 20871 20481 20872 20748 21148 20769 21170 20466 20859 20468 20860 20470 20863 20472 20865 
47 1504 21244 21645 20914 21307 20916 21308 21191 21590 21213 21612 20902 21295 20904 21296 20906 21299 20908 21300 
48 1536 21708 22115 21370 21772 21372 21773 21653 22059 21675 22080 21358 21758 21360 21759 21362 21762 21364 21763 
49 1568 22159 22565 21816 22209 21818 22210 22103 22503 22126 22525 21802 22196 21804 22197 21806 22200 21808 22203 
50 1600 22611 23013 22253 22646 22255 22647 22547 22948 22569 22975 22240 22634 22242 22635 22244 22638 22247 22640 
51 1632 23056 23459 22689 23083 22691 23085 22991 23390 23019 23418 22677 23072 22679 23073 22681 23076 22683 23077 
52 1664 23522 23928 23147 23548 23149 23549 23453 23859 23482 23888 23135 23533 23137 23534 23139 23537 23141 23538 
53 1696 23974 24375 23592 23984 23594 23985 23903 24303 23932 24342 23577 23970 23579 23971 23581 23972 23583 23978 
54 1728 24420 24826 24028 24420 24030 24421 24347 24748 24386 24788 24014 24406 24016 24407 24018 24415 24024 24416 
55 1760 24869 25274 24463 24858 24465 24859 24791 25191 24832 25233 24449 24843 24451 24844 24458 24854 24460 24855 
56 1792 25337 25743 24921 25322 24923 25323 25254 25659 25297 25703 24907 25308 24909 25309 24917 25318 24921 25321 
57 1824 25789 26182 25367 25759 25369 25760 25703 26106 25747 26153 25352 25745 25354 25746 25362 25755 25365 25756 
58 1856 26226 26620 25803 26195 25805 26203 26150 26555 26198 26605 25789 26183 25791 26190 25799 26193 25801 26194 
59 1888 26663 27063 26240 26635 26246 26647 26598 26997 26648 27049 26227 26621 26233 26628 26236 26629 26240 26634 
60 1920 27127 27524 26699 27099 26710 27116 27060 27465 27112 27518 26685 27089 26691 27091 26693 27098 26699 27107 
61 1952 27570 27965 27144 27541 27160 27560 27509 27907 27564 27957 27133 27523 27136 27532 27142 27533 27151 27542 
62 1984 28010 28404 27585 27975 27604 28002 27951 28352 28001 28395 27567 27958 27576 27966 27578 27974 27587 27985 
63 2016 28448 28848 28019 28412 28048 28449 28395 28797 28438 28837 28002 28396 28012 28405 28017 28411 28028 28428 
64 2048 28913 29301 28476 28871 28517 28911 28862 29258 28901 29289 28462 28856 28469 28859 28474 28860 28493 28889 
65 2080 29346 29729 28915 29300 28956 29343 29302 29693 29334 29715 28900 29283 28903 29285 28905 29288 28933 29321 
66 2112 29774 30153 29344 29728 29387 29775 29737 30124 29762 30144 29327 29709 29329 29710 29332 29714 29365 29753 
67 2144 30199 30582 29771 30152 29819 30207 30167 30556 30189 30578 29752 30135 29754 30136 29757 30143 29797 30185 
68 2176 30646 31042 30215 30602 30275 30669 30619 31014 30651 31054 30201 30590 30200 30589 30209 30603 30252 30648 
69 2208 31086 31476 30646 31030 30715 31104 31058 31443 31098 31491 30635 31017 30633 31015 30648 31031 30700 31094 
70 2240 31520 31908 31074 31457 31148 31538 31487 31868 31535 31922 31062 31444 31060 31454 31076 31458 31140 31529 
71 2272 31951 32332 31500 31880 31581 31962 31911 32302 31965 32361 31488 31869 31497 31879 31502 31888 31572 31961 
72 2304 32395 32786 31945 32336 32026 32416 32367 32754 32427 32819 31933 32327 31942 32330 31953 32337 32026 32415 
73 2336 32830 33216 32382 32769 32461 32844 32798 33183 32863 33248 32371 32751 32374 32758 32382 32759 32459 32839 
74 2368 33260 33648 32813 33197 32888 33266 33227 33611 33292 33678 32795 33179 32802 33184 32804 33187 32883 33265 
