0 0 8087 8766 7838 8490 8942 9606 0 621 101750 102447 102865 103467 106666 107382 83172 83866 212757 213324 219971 220585 207319 207888 197458 198198 390844 391623 395511 396016 393044 393717 356836 357340 676797 677210 679331 679743 677916 678316 614116 614761 996090 996781 998319 999003 1004274 1004518 909771 910253 1250450 1250747 1252619 1252887 1238644 1239231 1106828 1107083 1400616 1401324 1397660 1398326 1394403 1394695 
1 32 8818 9529 8536 9275 9653 10394 679 1550 102504 103235 103526 104237 107436 108283 83929 84644 213378 213982 220642 221311 207947 208708 198243 199120 391670 392398 396075 396957 393762 394478 357400 358180 677294 678064 679814 680527 678382 679272 614805 615490 996826 997523 999049 999584 1004578 1005115 910297 910991 1250794 1251525 1252934 1253610 1239278 1239975 1107127 1107794 1401370 1402017 1398371 1399071 1394739 1395424 
2 64 9594 10223 9324 10029 10460 11060 1605 2132 103287 103892 104297 105046 108329 109094 84693 85427 214050 214717 221360 222084 208755 209412 199178 199787 392455 393011 397015 397761 394524 395426 358224 358719 678121 678485 680572 680838 679326 679750 615534 616091 997568 998267 999629 1000344 1005163 1005428 911035 911450 1251609 1251963 1253668 1253950 1240019 1240544 1107838 1108195 1402061 1402508 1399115 1399379 1395468 1395727 
3 96 10279 11052 10097 10854 11117 11849 2183 2883 103954 104691 105092 105812 109147 109717 85479 86431 214763 215559 222142 222952 209462 210026 199843 200555 393080 393791 397823 398395 395484 396301 358779 359490 678547 679291 680905 681506 679809 680513 616137 616845 998311 999002 1000396 1000934 1005475 1006000 911494 912295 1252016 1252720 1254000 1254638 1240592 1241328 1108239 1108908 1402553 1403252 1399423 1400327 1395771 1396456 
4 128 11186 11925 10988 11577 11963 12819 2999 3592 104819 105550 105942 106590 109828 110452 86524 87199 215653 216393 223063 223773 210123 210852 200635 201221 393875 394489 398529 399215 396384 396985 359598 360194 679419 679834 681627 682180 680599 681404 616923 617543 999079 999580 1001017 1001737 1006081 1006778 912368 912851 1252808 1253106 1254720 1255372 1241423 1241923 1108982 1109670 1403326 1403985 1400400 1401045 1396529 1397227 
5 160 11978 12808 11634 12489 12874 13622 3659 4340 105617 106336 106639 107375 110508 111261 87247 88055 216453 217171 223826 224541 210901 211598 201269 201827 394552 395438 399287 399812 397039 397771 360244 361000 679884 680651 682249 682942 681461 682172 617588 618300 999624 1000345 1001787 1002319 1006823 1007351 912898 913600 1253170 1253889 1255419 1256097 1241969 1242657 1109714 1110389 1404031 1404717 1401090 1401784 1397272 1397969 
6 192 12863 13588 12538 13270 13676 14410 4393 5115 106400 107091 107427 108273 111325 112006 88111 88878 217238 217838 224594 225330 211647 212362 201881 202499 395486 395894 399873 400550 397825 398344 361050 361740 680706 681437 683001 683695 682269 682923 618354 618970 1000397 1000935 1002364 1002739 1007395 1007765 913652 914252 1253943 1254629 1256143 1256401 1242702 1243395 1110433 1110784 1404762 1405024 1401828 1402505 1398013 1398331 
7 224 13649 14403 13317 14051 14464 15234 5173 5859 107143 107971 108327 109093 112063 112872 88931 89610 217886 218844 225392 226064 212413 213147 202552 203278 395942 396506 400605 401271 398407 399196 361791 362532 681483 682165 683750 684662 682973 683657 619023 619766 1000984 1001727 1002790 1003327 1007809 1008391 914298 915005 1254676 1255372 1256452 1257339 1243441 1244219 1110828 1111488 1405069 1405764 1402550 1403251 1398375 1399072 
8 256 14501 15233 14170 14877 15374 16052 5960 6631 108082 108781 109177 109902 112999 113711 89715 90741 218982 219635 226186 226855 213250 213955 203391 204140 396618 397255 401408 402039 399303 399984 362639 363331 682239 682920 684765 685429 683766 684673 619851 620637 1001818 1002321 1003422 1003696 1008472 1008891 915082 915434 1255475 1256098 1257415 1257679 1244306 1245230 1111562 1111897 1405838 1406313 1403325 1403982 1399147 1399831 
9 288 15286 16050 14929 15650 16105 16832 6693 7413 108847 109702 109959 110681 113763 114480 90794 91334 219696 220417 226904 227610 214004 214697 204198 204839 397337 398147 402085 402782 400041 400979 363389 364176 682969 683655 685481 686127 684733 685431 620682 621393 1002367 1003077 1003755 1004337 1008956 1009584 915478 916175 1256145 1256842 1257724 1258412 1245274 1245790 1111941 1112614 1406361 1407060 1404027 1404716 1399876 1400561 
