0 0 6 93 26 126 24 125 22 117 28 131 4 86 2 86 0 86 24 121 22 119 20 111 18 112 19 108 17 114 15 107 13 100 14 103 12 101 10 94 8 96 
1 32 137 218 171 258 169 251 161 242 178 254 137 216 133 215 135 211 165 240 165 248 155 234 157 237 153 233 159 236 151 230 146 224 149 228 148 223 139 219 142 220 
2 64 265 342 306 383 295 376 288 374 298 381 262 346 261 339 257 336 287 366 293 369 280 360 284 364 281 362 282 359 276 355 272 354 276 352 271 351 265 343 268 347 
3 96 385 470 427 502 419 494 420 503 428 511 390 474 383 465 380 464 410 491 414 489 404 487 408 485 406 486 404 484 400 480 398 478 396 476 394 479 387 472 394 470 
4 128 539 627 575 671 565 655 567 660 576 672 562 646 529 614 531 613 567 663 571 667 570 665 558 643 560 644 569 661 550 634 553 639 552 633 553 635 541 626 537 625 
5 160 676 765 721 804 701 779 705 788 722 806 693 771 659 743 667 750 709 784 717 797 712 793 687 770 691 773 709 787 680 761 683 766 680 769 682 767 676 757 671 754 
6 192 811 895 848 931 823 905 837 920 854 932 819 899 788 867 795 876 829 910 842 921 842 928 817 895 823 905 831 906 806 888 811 890 818 901 815 893 802 884 799 883 
7 224 942 1023 977 1053 948 1033 965 1051 979 1063 942 1029 911 992 924 1004 957 1043 965 1040 973 1056 939 1025 953 1038 953 1033 934 1020 935 1019 949 1034 938 1024 930 1015 929 1010 
8 256 1090 1173 1122 1214 1098 1194 1118 1213 1126 1217 1094 1177 1058 1152 1085 1175 1112 1200 1110 1198 1126 1211 1095 1187 1106 1194 1112 1204 1095 1190 1091 1179 1117 1206 1102 1186 1085 1166 1080 1171 
9 288 1221 1307 1259 1341 1242 1327 1259 1336 1267 1343 1226 1305 1198 1287 1226 1306 1247 1328 1244 1323 1257 1335 1234 1315 1240 1319 1248 1329 1236 1316 1230 1311 1251 1332 1230 1309 1213 1299 1217 1300 
10 320 1354 1433 1387 1476 1374 1452 1383 1466 1388 1474 1351 1432 1331 1415 1352 1433 1375 1456 1367 1442 1387 1476 1363 1443 1365 1440 1376 1454 1361 1438 1359 1438 1379 1461 1355 1436 1344 1427 1347 1428 
