0 0 0 419 6 421 12 423 26 436 17 430 23 433 29 439 13 425 13 428 19 431 25 435 22 431 8 424 14 427 20 430 
1 32 465 716 467 712 467 717 490 739 483 735 488 743 493 746 473 725 479 729 484 734 489 740 479 729 472 720 473 721 478 724 
2 64 760 1168 756 1167 762 1170 784 1180 780 1182 789 1183 790 1186 771 1174 776 1178 778 1176 786 1182 775 1178 764 1172 767 1171 768 1174 
3 96 1214 1465 1212 1461 1216 1468 1232 1485 1232 1486 1236 1481 1240 1493 1222 1476 1228 1480 1226 1473 1236 1488 1228 1480 1218 1469 1216 1466 1220 1472 
4 128 1531 1944 1528 1943 1539 1947 1555 1959 1551 1956 1553 1956 1565 1962 1548 1951 1546 1952 1546 1952 1557 1955 1557 1963 1537 1948 1537 1947 1544 1951 
5 160 1991 2239 1987 2235 1993 2240 2011 2264 2009 2260 2009 2263 2013 2266 1999 2247 2005 2256 2005 2257 2007 2259 2015 2271 1998 2244 1991 2243 1999 2251 
6 192 2284 2695 2279 2692 2286 2693 2311 2709 2306 2705 2308 2706 2313 2708 2292 2698 2302 2701 2302 2702 2304 2703 2315 2713 2290 2699 2290 2696 2298 2699 
7 224 2741 2986 2737 2985 2737 2980 2761 3013 2757 3007 2757 3009 2759 3010 2743 2989 2753 3002 2753 3005 2755 3001 2765 3019 2747 2997 2741 2990 2748 2993 
8 256 3053 3467 3059 3473 3044 3466 3080 3481 3076 3481 3080 3479 3076 3476 3052 3468 3074 3477 3072 3475 3064 3474 3087 3485 3069 3473 3054 3469 3056 3470 
9 288 3514 3770 3526 3778 3512 3758 3534 3789 3536 3790 3534 3787 3530 3783 3514 3759 3532 3785 3530 3782 3526 3779 3538 3793 3520 3774 3520 3771 3522 3775 
10 320 3814 4214 3823 4219 3802 4212 3834 4224 3836 4227 3834 4225 3829 4224 3804 4213 3830 4222 3828 4223 3825 4220 3838 4228 3818 4218 3816 4215 3820 4216 
11 352 4261 4508 4269 4518 4255 4500 4279 4523 4281 4529 4283 4530 4275 4525 4257 4501 4271 4522 4273 4524 4271 4519 4283 4537 4267 4515 4263 4507 4265 4514 
12 384 4579 4985 4587 4988 4567 4982 4588 4988 4598 4997 4600 4997 4598 4995 4567 4983 4588 4993 4595 4993 4591 4991 4600 4995 4586 4989 4571 4984 4582 4986 
13 416 5034 5281 5042 5291 5028 5276 5036 5285 5052 5305 5054 5309 5048 5304 5030 5277 5048 5299 5048 5295 5044 5294 5050 5300 5041 5290 5030 5280 5036 5284 
14 448 5326 5733 5336 5738 5320 5730 5331 5735 5350 5745 5353 5746 5349 5743 5322 5731 5344 5741 5340 5742 5340 5738 5345 5740 5335 5737 5324 5732 5329 5734 
15 480 5781 6032 5787 6033 5773 6018 5787 6041 5799 6051 5801 6056 5797 6050 5775 6019 5795 6047 5797 6042 5791 6037 5791 6045 5785 6036 5777 6028 5784 6029 
16 512 6107 6505 6102 6503 6081 6495 6115 6507 6123 6514 6120 6511 6113 6506 6084 6496 6116 6509 6111 6507 6101 6501 6110 6502 6102 6501 6095 6499 6093 6499 
17 544 6557 6802 6559 6813 6543 6789 6559 6812 6568 6821 6567 6825 6558 6807 6541 6784 6564 6815 6563 6817 6554 6803 6555 6806 6549 6793 6543 6788 6547 6798 
18 576 6848 7249 6858 7250 6836 7242 6856 7253 6865 7257 6869 7260 6853 7252 6828 7241 6861 7253 6863 7256 6849 7250 6850 7249 6837 7245 6834 7244 6842 7246 
19 608 7296 7549 7298 7545 7288 7540 7304 7550 7310 7562 7312 7566 7306 7558 7284 7531 7306 7555 7308 7559 7302 7554 7294 7541 7292 7536 7288 7535 7292 7544 
20 640 7618 8019 7612 8017 7609 8016 7614 8020 7631 8028 7635 8030 7630 8028 7594 8011 7626 8023 7628 8021 7623 8024 7606 8015 7602 8014 7599 8012 7614 8020 
21 672 8069 8320 8067 8316 8065 8308 8072 8317 8080 8330 8084 8333 8082 8336 8057 8306 8076 8325 8073 8321 8078 8329 8061 8312 8061 8313 8059 8302 8071 8324 
