0 0 27 440 15 425 9 424 7 422 23 436 37 447 31 443 29 440 0 420 33 443 27 439 25 436 18 434 28 439 22 434 20 432 8 426 23 435 17 430 15 428 13 430 
1 32 498 752 470 717 468 716 468 720 494 747 505 761 502 753 496 749 466 711 501 755 496 745 490 739 487 740 494 743 488 735 482 730 473 722 486 731 482 727 476 726 480 734 
2 64 799 1195 765 1176 762 1171 766 1175 792 1191 807 1198 800 1190 794 1189 756 1172 801 1194 789 1186 783 1187 785 1187 788 1184 783 1182 777 1183 767 1178 777 1180 773 1177 771 1179 779 1182 
3 96 1257 1515 1220 1469 1214 1460 1218 1465 1250 1503 1254 1510 1244 1499 1246 1500 1216 1473 1250 1502 1240 1488 1242 1494 1244 1498 1236 1490 1230 1481 1232 1482 1226 1477 1232 1485 1226 1474 1228 1478 1238 1492 
4 128 1583 1967 1537 1943 1528 1940 1530 1941 1570 1958 1577 1962 1568 1957 1575 1959 1545 1945 1572 1958 1560 1953 1567 1954 1573 1963 1559 1951 1553 1948 1555 1950 1556 1952 1553 1947 1544 1944 1546 1946 1564 1956 
5 160 2029 2284 1990 2236 1986 2235 1988 2231 2021 2273 2020 2270 2014 2264 2016 2265 1992 2247 2016 2266 2008 2254 2010 2259 2025 2277 2002 2250 2000 2249 2002 2253 2006 2258 1998 2246 1992 2242 1996 2241 2012 2262 
6 192 2329 2716 2281 2693 2279 2688 2276 2689 2318 2710 2319 2709 2308 2705 2311 2705 2295 2696 2315 2705 2302 2701 2305 2703 2325 2714 2297 2699 2295 2697 2300 2699 2306 2702 2293 2697 2289 2692 2287 2693 2313 2706 
7 224 2775 3035 2739 2987 2731 2977 2733 2981 2769 3022 2767 3016 2759 3011 2761 3014 2741 3000 2757 3005 2753 2996 2757 3009 2773 3026 2751 3001 2746 2991 2747 2992 2753 3004 2744 2995 2735 2982 2737 2986 2767 3018 
8 256 3102 3490 3057 3466 3046 3461 3049 3463 3109 3486 3085 3482 3078 3477 3087 3481 3077 3476 3083 3478 3069 3475 3080 3477 3107 3484 3076 3474 3062 3471 3064 3471 3071 3472 3062 3470 3054 3467 3053 3467 3090 3480 
9 288 3553 3812 3512 3759 3508 3753 3510 3758 3549 3805 3542 3794 3532 3785 3538 3792 3531 3778 3538 3788 3528 3781 3534 3782 3547 3800 3524 3773 3524 3777 3521 3767 3524 3772 3518 3766 3515 3762 3517 3763 3540 3789 
10 320 3863 4242 3806 4218 3797 4213 3804 4215 3850 4238 3839 4233 3832 4231 3838 4231 3827 4228 3833 4228 3828 4227 3829 4227 3846 4236 3819 4224 3821 4223 3813 4223 3816 4224 3810 4222 3808 4217 3809 4219 3836 4232 
11 352 4304 4556 4262 4515 4256 4506 4260 4511 4300 4552 4292 4543 4286 4536 4286 4540 4284 4538 4282 4534 4276 4527 4282 4533 4296 4548 4278 4528 4272 4523 4270 4520 4272 4527 4266 4519 4260 4512 4266 4516 4291 4544 
12 384 4628 5020 4589 5004 4579 4995 4583 4997 4626 5018 4610 5014 4609 5012 4609 5014 4621 5014 4598 5008 4604 5008 4602 5010 4637 5026 4606 5012 4591 5004 4593 5006 4593 5006 4584 5000 4581 4999 4590 5002 4631 5024 
13 416 5086 5343 5051 5302 5039 5285 5043 5291 5084 5339 5071 5325 5065 5317 5068 5323 5071 5320 5059 5308 5061 5313 5064 5315 5090 5347 5065 5318 5053 5303 5057 5307 5055 5312 5045 5292 5045 5296 5050 5297 5080 5335 
14 448 5391 5766 5347 5748 5329 5740 5335 5742 5386 5764 5371 5760 5364 5755 5369 5758 5369 5756 5353 5752 5360 5753 5363 5754 5395 5770 5365 5756 5349 5749 5351 5750 5358 5751 5338 5744 5340 5745 5345 5746 5381 5760 
15 480 5829 6087 5793 6044 5785 6031 5787 6036 5823 6079 5817 6067 5809 6061 5815 6065 5811 6059 5803 6053 5805 6054 5805 6058 5827 6083 5813 6063 5795 6045 5799 6048 5799 6049 5789 6037 5791 6040 5792 6041 5821 6075 
16 512 6167 6545 6113 6523 6096 6516 6104 6517 6163 6541 6141 6537 6133 6532 6136 6533 6132 6530 6124 6527 6126 6528 6127 6529 6161 6539 6136 6533 6114 6524 6116 6525 6125 6526 6108 6519 6110 6520 6112 6521 6156 6535 
17 544 6608 6867 6572 6819 6562 6810 6564 6814 6604 6858 6594 6846 6588 6839 6590 6844 6586 6837 6580 6828 6582 6832 6584 6835 6602 6854 6588 6841 6576 6824 6578 6827 6578 6831 6566 6815 6569 6818 6571 6823 6595 6848 
18 576 6912 7294 6866 7271 6854 7264 6858 7265 6906 7290 6891 7283 6883 7280 6891 7282 6887 7280 6875 7273 6877 7276 6880 7278 6901 7288 6887 7279 6871 7272 6874 7274 6881 7276 6862 7267 6866 7268 6869 7270 6894 7284 
