0 0 34 459 32 458 38 467 31 461 30 449 28 451 34 458 27 452 25 445 0 403 6 409 4 408 2 405 23 441 29 448 22 441 20 433 18 435 24 442 17 437 15 428 13 422 19 431 12 421 10 415 8 416 14 427 
1 32 515 916 511 912 523 925 515 919 500 912 500 904 515 914 503 909 493 901 447 858 454 862 454 871 451 863 485 897 495 905 489 900 479 892 481 893 491 899 485 894 475 885 469 882 478 890 465 881 463 877 465 876 474 883 
2 64 971 1376 966 1369 981 1385 975 1373 967 1371 955 1360 967 1369 959 1362 949 1356 908 1319 909 1315 915 1320 910 1314 942 1356 955 1365 947 1358 936 1351 938 1348 947 1355 941 1351 932 1343 927 1337 936 1346 928 1333 925 1338 921 1332 930 1341 
3 96 1431 1840 1421 1821 1440 1842 1429 1824 1424 1825 1411 1817 1422 1827 1416 1819 1403 1812 1364 1772 1361 1767 1366 1773 1358 1766 1403 1812 1418 1821 1404 1817 1396 1808 1391 1797 1398 1817 1394 1800 1386 1796 1380 1793 1392 1808 1377 1787 1382 1791 1376 1786 1387 1801 
4 128 1917 2327 1904 2313 1921 2335 1905 2315 1912 2320 1899 2307 1918 2324 1895 2297 1880 2287 1837 2245 1833 2253 1845 2246 1835 2254 1891 2296 1911 2313 1903 2308 1883 2291 1872 2285 1888 2295 1864 2275 1872 2280 1870 2278 1878 2288 1854 2266 1863 2267 1865 2273 1873 2283 
5 160 2383 2779 2359 2762 2387 2792 2369 2771 2367 2767 2353 2758 2379 2777 2349 2749 2336 2752 2289 2704 2299 2711 2291 2696 2302 2710 2347 2752 2362 2764 2353 2757 2340 2756 2339 2744 2351 2762 2321 2734 2329 2748 2324 2733 2337 2754 2317 2728 2313 2720 2320 2727 2331 2742 
6 192 2834 3232 2815 3220 2846 3251 2827 3227 2825 3222 2809 3212 2835 3232 2796 3200 2799 3210 2748 3150 2758 3171 2740 3149 2761 3172 2803 3204 2822 3223 2807 3207 2805 3215 2791 3196 2818 3219 2784 3196 2793 3203 2778 3188 2803 3211 2776 3188 2765 3180 2774 3181 2788 3199 
7 224 3291 3688 3269 3669 3302 3702 3273 3672 3277 3682 3259 3665 3281 3687 3249 3648 3259 3665 3194 3593 3215 3623 3192 3592 3217 3631 3249 3652 3271 3676 3253 3653 3263 3675 3245 3646 3267 3671 3243 3644 3253 3661 3235 3641 3255 3667 3231 3636 3228 3640 3227 3635 3244 3645 
8 256 3769 4179 3740 4156 3780 4193 3745 4156 3767 4172 3747 4150 3768 4180 3729 4137 3737 4143 3658 4094 3689 4111 3657 4081 3695 4110 3727 4136 3766 4176 3722 4122 3758 4164 3722 4134 3759 4168 3731 4141 3730 4139 3716 4124 3751 4152 3706 4106 3712 4123 3700 4105 3715 4125 
9 288 4229 4627 4209 4604 4244 4646 4206 4601 4225 4623 4198 4599 4231 4630 4184 4585 4192 4600 4140 4550 4156 4557 4126 4534 4154 4556 4185 4589 4227 4626 4167 4568 4210 4606 4179 4584 4213 4613 4188 4592 4188 4596 4172 4571 4197 4609 4152 4551 4168 4569 4152 4564 4172 4572 
10 320 4679 5080 4658 5054 4695 5098 4650 5050 4675 5076 4647 5047 4684 5086 4632 5040 4649 5051 4595 4998 4602 5006 4579 4979 4602 5007 4636 5041 4680 5082 4612 5017 4660 5060 4629 5037 4669 5073 4639 5044 4643 5046 4617 5022 4662 5062 4596 4999 4617 5021 4611 5017 4622 5034 
11 352 5128 5529 5109 5506 5145 5543 5101 5501 5124 5525 5097 5496 5135 5538 5085 5493 5106 5505 5043 5449 5049 5453 5023 5428 5053 5455 5087 5490 5131 5532 5062 5469 5113 5510 5081 5482 5125 5526 5089 5495 5091 5499 5066 5478 5111 5513 5046 5450 5064 5480 5062 5467 5077 5483 
12 384 5614 6022 5579 5990 5621 6033 5577 5981 5609 6013 5566 5984 5632 6042 5579 5991 5587 5992 5522 5929 5516 5963 5497 5925 5520 5930 5574 5980 5616 6025 5536 5948 5591 6007 5561 5962 5611 6017 5568 5973 5582 5986 5553 5958 5582 5987 5521 5938 5546 5957 5537 5939 5550 5975 
13 416 6068 6472 6047 6444 6082 6482 6027 6425 6064 6461 6033 6430 6088 6493 6047 6440 6049 6445 5973 6370 6008 6404 5969 6369 5977 6383 6026 6424 6075 6478 5995 6403 6057 6456 6008 6416 6069 6462 6023 6418 6033 6437 6004 6406 6037 6453 5987 6390 6003 6405 5986 6391 6021 6428 
14 448 6518 6919 6490 6885 6532 6933 6470 6869 6509 6906 6476 6875 6538 6942 6491 6890 6494 6891 6418 6826 6449 6847 6414 6816 6427 6827 6472 6871 6527 6929 6449 6848 6505 6901 6462 6863 6513 6907 6464 6865 6483 6882 6456 6855 6502 6898 6436 6837 6451 6854 6436 6846 6474 6873 
15 480 6965 7364 6931 7330 6979 7385 6914 7316 6953 7350 6924 7325 6988 7390 6937 7328 6939 7344 6869 7271 6892 7296 6859 7261 6873 7275 6918 7315 6974 7376 6894 7294 6949 7348 6906 7310 6952 7357 6910 7309 6930 7329 6900 7303 6948 7346 6880 7276 6897 7298 6889 7295 6918 7314 
16 512 7436 7846 7407 7826 7471 7886 7384 7787 7424 7835 7402 7818 7469 7882 7399 7802 7441 7848 7338 7749 7363 7786 7330 7746 7339 7765 7390 7801 7460 7868 7361 7767 7422 7825 7383 7799 7429 7836 7373 7777 7400 7805 7374 7780 7413 7828 7342 7750 7366 7781 7366 7775 7378 7812 
17 544 7892 8296 7877 8275 7932 8334 7840 8237 7888 8292 7864 8259 7926 8329 7855 8253 7899 8298 7795 8201 7832 8258 7794 8202 7809 8218 7850 8255 7912 8314 7813 8219 7872 8270 7846 8251 7892 8306 7824 8225 7855 8260 7828 8245 7888 8296 7798 8212 7827 8236 7822 8226 7857 8262 
18 576 8343 8744 8327 8731 8382 8779 8282 8681 8338 8740 8311 8712 8375 8775 8302 8701 8347 8748 8247 8651 8302 8707 8248 8650 8264 8674 8307 8708 8364 8767 8265 8673 8326 8722 8302 8699 8358 8763 8271 8677 8309 8712 8291 8689 8340 8745 8260 8669 8281 8688 8271 8678 8316 8723 
19 608 8793 9194 8778 9182 8825 9232 8726 9133 8787 9188 8759 9162 8821 9222 8744 9144 8797 9198 8701 9106 8751 9154 8694 9100 8718 9121 8755 9158 8814 9220 8720 9119 8776 9178 8744 9152 8806 9209 8724 9125 8763 9168 8736 9141 8789 9189 8712 9107 8732 9135 8722 9127 8771 9173 
20 640 9277 9691 9255 9660 9308 9719 9202 9612 9258 9659 9237 9649 9304 9717 9217 9630 9283 9689 9174 9588 9224 9646 9165 9578 9184 9611 9235 9642 9298 9709 9194 9600 9270 9679 9227 9638 9279 9678 9199 9607 9237 9639 9207 9618 9255 9668 9178 9587 9201 9629 9199 9608 9261 9664 
21 672 9741 10147 9710 10109 9776 10173 9658 10057 9713 10115 9697 10103 9768 10168 9678 10076 9737 10140 9634 10029 9690 10092 9623 10028 9655 10052 9691 10091 9757 10156 9647 10048 9735 10134 9684 10078 9730 10141 9654 10052 9685 10086 9664 10072 9726 10131 9634 10044 9673 10071 9653 10058 9713 10114 
22 704 10193 10600 10155 10556 10223 10622 10104 10509 10163 10561 10149 10552 10216 10617 10128 10525 10187 10587 10076 10486 10137 10547 10072 10478 10097 10500 10135 10537 10205 10605 10093 10498 10182 10583 10131 10533 10192 10587 10100 10500 10130 10532 10118 10523 10181 10582 10088 10494 10117 10528 10105 10510 10160 10563 
23 736 10645 11045 10602 11008 10668 11066 10554 10964 10604 11004 10596 10997 10661 11064 10570 10971 10633 11031 10529 10934 10593 10996 10521 10929 10543 10951 10584 10993 10651 11046 10548 10950 10629 11027 10580 10982 10632 11035 10550 10960 10575 10980 10570 10976 10628 11028 10537 10936 10571 10973 10558 10968 10607 11015 
24 768 11125 11527 11086 11489 11143 11552 11040 11455 11080 11479 11071 11479 11139 11545 11043 11457 11110 11519 11000 11422 11060 11480 10999 11411 11019 11434 11066 11473 11120 11525 11019 11423 11104 11509 11052 11464 11107 11516 11035 11443 11051 11464 11045 11460 11103 11509 11006 11415 11043 11459 11040 11441 11083 11488 
25 800 11575 11976 11539 11944 11599 11996 11499 11896 11529 11937 11533 11934 11592 11992 11506 11900 11568 11966 11468 11878 11529 11931 11466 11876 11481 11896 11525 11930 11573 11970 11470 11878 11557 11957 11517 11922 11566 11966 11487 11892 11513 11914 11509 11913 11559 11962 11464 11872 11505 11908 11485 11899 11540 11936 
26 832 12022 12418 11994 12389 12042 12441 11943 12346 11989 12386 11981 12385 12038 12439 11947 12350 12013 12414 11926 12327 11980 12384 11921 12322 11941 12352 11977 12381 12027 12425 11925 12326 12007 12406 11970 12368 12018 12419 11936 12338 11961 12363 11957 12363 12007 12406 11916 12318 11952 12356 11946 12359 11984 12388 
27 864 12466 12867 12438 12840 12493 12891 12391 12799 12436 12832 12434 12835 12487 12887 12395 12803 12462 12865 12374 12778 12431 12834 12371 12778 12396 12798 12428 12831 12471 12867 12369 12774 12458 12858 12414 12821 12464 12863 12381 12786 12408 12819 12410 12814 12451 12857 12365 12770 12402 12802 12404 12810 12435 12839 
