0 0 34 445 32 441 38 446 36 448 30 438 28 437 34 442 32 442 25 434 0 415 6 420 4 419 2 417 23 432 29 437 27 438 20 430 18 430 24 433 22 434 15 426 13 426 19 429 17 430 10 421 8 422 14 425 12 423 
1 32 508 771 512 773 512 774 516 777 502 762 504 764 506 767 508 768 494 754 459 723 468 731 463 727 464 724 496 757 498 759 500 760 486 747 488 746 490 752 492 750 478 739 480 736 482 744 484 743 470 732 472 728 476 738 476 735 
2 64 817 1212 827 1209 827 1218 835 1216 811 1207 811 1205 813 1214 817 1209 801 1203 769 1185 779 1190 772 1186 775 1188 805 1201 807 1206 809 1207 795 1198 795 1197 797 1202 799 1203 786 1194 789 1193 791 1198 793 1199 780 1192 777 1189 786 1194 781 1195 
3 96 1281 1547 1274 1537 1282 1546 1286 1555 1271 1540 1268 1526 1276 1538 1278 1548 1267 1530 1230 1497 1239 1501 1230 1503 1233 1498 1257 1519 1271 1532 1273 1540 1255 1518 1253 1514 1259 1522 1261 1528 1251 1511 1241 1508 1255 1515 1257 1524 1239 1504 1235 1501 1243 1510 1245 1507 
4 128 1629 2020 1607 2006 1625 2016 1626 2018 1623 2014 1619 2012 1623 2012 1623 2014 1617 2006 1570 1988 1571 1987 1590 1996 1580 1994 1610 2010 1618 2007 1616 2010 1590 2002 1602 2002 1597 2003 1614 2004 1593 1998 1583 1996 1595 1999 1603 2000 1574 1990 1578 1992 1590 1995 1582 1992 
5 160 2080 2341 2068 2326 2086 2348 2086 2354 2074 2333 2084 2344 2078 2339 2080 2345 2066 2328 2034 2302 2032 2297 2048 2310 2044 2307 2076 2335 2070 2331 2072 2337 2058 2324 2062 2320 2062 2321 2064 2330 2052 2316 2049 2313 2054 2312 2056 2317 2038 2298 2038 2309 2046 2306 2042 2301 
6 192 2390 2793 2375 2786 2403 2795 2412 2801 2384 2789 2392 2794 2386 2790 2398 2797 2379 2787 2349 2767 2343 2766 2358 2775 2354 2774 2386 2790 2382 2786 2390 2787 2374 2783 2371 2781 2370 2782 2378 2783 2363 2778 2366 2777 2359 2778 2367 2779 2345 2770 2355 2772 2353 2773 2349 2769 
7 224 2864 3126 2845 3105 2864 3119 2869 3133 2858 3118 2862 3122 2851 3109 2865 3129 2847 3107 2813 3073 2809 3074 2833 3096 2827 3086 2849 3114 2847 3103 2853 3125 2843 3100 2833 3091 2835 3098 2849 3113 2831 3095 2829 3087 2831 3090 2837 3104 2815 3078 2817 3079 2819 3082 2821 3083 
8 256 3199 3585 3192 3579 3197 3587 3219 3598 3196 3581 3199 3584 3182 3581 3214 3594 3176 3575 3158 3569 3139 3560 3181 3574 3155 3567 3202 3588 3180 3579 3210 3592 3181 3577 3169 3575 3177 3575 3206 3588 3171 3571 3166 3571 3189 3585 3198 3580 3150 3563 3153 3565 3167 3569 3149 3568 
9 288 3648 3912 3639 3902 3659 3919 3666 3927 3642 3905 3646 3909 3646 3904 3664 3922 3629 3889 3619 3880 3605 3875 3625 3892 3611 3876 3650 3913 3638 3894 3657 3917 3636 3897 3632 3892 3632 3890 3648 3907 3622 3884 3628 3888 3653 3915 3640 3898 3607 3869 3612 3870 3618 3881 3614 3885 
10 320 3960 4362 3952 4356 3973 4369 3984 4373 3956 4358 3959 4360 3953 4361 3976 4369 3938 4350 3924 4344 3924 4345 3938 4350 3924 4342 3966 4364 3947 4357 3966 4364 3944 4354 3940 4352 3942 4353 3954 4360 3928 4346 3936 4348 3964 4365 3950 4356 3917 4337 3918 4340 3928 4349 3932 4346 
